Aspect,Esperanto,Ido,Example
Alphabet,uses diacritics (?  ?  ?  ?  ?  ?) and digraphs,uses digraphs (ch  sh  qu),Translation of "chamber"  "shoe"  and "square": ?ambro / ?uo / kvadrato (Esp.) chambro / shuo / quadrato (Ido)
Gender,masculine by default; feminine optional,gender-neutral by default; masculine and feminine optional,Gender of "elephant": elefanto (default) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)
Antonyms,formed by mal- prefix,come from natural vocabulary,Translation of "warm" and "cold": varma / malvarma (Esp.) varma / kolda (Ido)
Infinitives,-i suffix,-ar suffix,Translation of "to go": iri (Esp.) irar (Ido)
Imperative,-u suffix,-ez suffix,Translation of "go!": iru! (Esp.) irez! (Ido)
Plural noun,-oj suffix (agglutinative),-i suffix (synthetic),Plural of domo ("house"): domoj (Esp.) domi (Ido)
Adjectives,Agree with nouns,Not declined,Translation of "big dogs": grandaj hundoj (Esp.) granda hundi (Ido)
Accusative declination,Mandatory,Only when object precedes subject,Translation of "I drink milk" / "I milk drink": "mi trinkas lakton" / "mi lakton trinkas" (Esp.) "me drinkas lakto" / "me lakton drinkas" (Ido)
Proper nouns,Sometimes rendered,Never rendered,Translation of "Europe": E?ropo (Esp.) Europa (Ido)
No. of speakers,c. 100.000–2.000.000,c. 100–1.000,[empty]
Esperanto,a,b,c,?,d,e,f,g,?,h,?,i,j,?,k,l,m,n,o,p,kv,r,s,?,t,u,?,v,-,-,z
Esperanto1894,a,b,z,-,d,e,f,g,-,h,-,i,j,-,k,l,m,n,o,p,kv,r,s,c,t,u,-,v,-,-,-
Ido,a,b,c,ch,d,e,f,g,j,h,-,i,y,j,k,l,m,n,o,p,qu,r,s,sh,t,u,-,v,w,x,z
IPA phonemes,a,b,t?s,t??,d,e,f,g,d??,h,/x/,i,j,?,k,l,m,n,o,p,/kw/ /kv/,r,s,?,t,u,u? (in diphthongs),?,w,/ks/ /?z/,z
Esperanto,Ido,English,French,German,Italian,Spanish,Portuguese
bubalo,bufalo,buffalo,buffle,Büffel,bufalo,búfalo,búfalo
?elo,celulo,cell,cellule,Zelle,cellula,célula,célula
?irka?,cirkum,around/circa,autour de,ungefähr/circa,circa,alrededor  cerca,ao redor de  em volta de
dedi?i,dedikar,to dedicate,dédier,widmen,dedicare,dedicar,dedicar
edzo,spoz(ul)o,husband/spouse,époux,Ehemann,sposo,esposo,esposo/marido
elasta,elastika,elastic,élastique,elastisch,elastico,elástico,elástico
estonteco,futuro,future,futur,Zukunft,futuro,futuro,futuro
kaj,e(d),and,et,und,e(d),y/e,e
lernejo,skolo,school,école,Schule,scuola,escuela,escola
limo,limito,limit,limite,Limit,limite,límite,limite
ma?i,mastikar,to chew/masticate,mâcher,kauen,masticare,masticar,mastigar
mencii,mencionar,to mention,mentionner,erwähnen,menzionare,mencionar,mencionar
nacio,naciono,nation,nation,Nation,nazione,nación,nação
penti,repentar,to repent,repentir,bereuen,pentirsi,arrepentirse,arrepender-se
?ipo,navo,boat/ship,bateau/navire,Schiff,barca/nave,barco/nave/navío,bote/barca/barco/nave/nau/navio
ta?mento,detachmento,detachment,détachement,Abteilung,distaccamento,destacamento,destacamento
vipuro,vipero,viper,vipère,Viper,vipera,víbora,víbora
Esperanto,La malbela maljunulino malla?te malfermis la pordon al sia kelo kaj malrapide malsupreniris la ?tuparon.
Ido,La leda oldino silence apertis la pordo a sua kelero e lente decensis l'eskalero.
English,The ugly old woman quietly opened the door to her basement and slowly descended the stairs.
Esperanto,Prenu ?iujn tiujn  kiujn vi volos  kaj lasu ?iujn tiujn  kiuj ne pla?os al vi.
Ido,Prenez ti omna  quin vu volos  e lasez ti omna  qui ne plezos a vu.
English,Take all those  which you want  and leave all those  which you don't like.
Esperanto Patro nia  kiu estas en la ?ielo  Via nomo estu sanktigita. Venu Via regno  plenumi?u Via volo  kiel en la ?ielo  tiel anka? sur la tero. Nian panon ?iutagan donu al ni hodia?. Kaj pardonu al ni niajn ?uldojn  kiel anka? ni pardonas al niaj ?uldantoj. Kaj ne konduku nin en tenton  sed liberigu nin de la malbono.,Ido Patro nia qua esas en la cieli  Vua nomo santigesez; Vua regno arivez; Vua volo esez obediata  Quale en la cielo  anke (tale) sur la tero. Nia singladi’ panon donez a ni cadie  E remisez a ni nia debaji  Quale anke ni remisas a nia debanti  E ne duktez ni aden la tento  Ma liberigez ni de lo mala.,Esperanto1894 Patro nose  kvu esten in ciele  Sankte estan tue nomo. Venan reksito tue  estan vulo tue  kom in cielo  sik anku sur tero. Pano nose omnudie donan al nos hodiu e pardonan al nos debi nose  kom nos anku pardonen al nose debenti; ne kondukan nos versu tento  sed liberigan nos de malbono.,English Our Father in heaven  hallowed be your name. Your kingdom come  your will be done  on earth as it is in heaven. Give us this day our daily bread  and forgive us our debts  as we also have forgiven our debtors. And lead us not into temptation  but deliver us from evil.
