American,British
math,maths
trapezoid,trapezium
buck (slang for a dollar),quid (slang for multiple pounds)
British English,American English
not touch something with a bargepole,not touch something with a ten-foot pole
sweep under the carpet,sweep under the rug*
touch wood,knock on wood
see the wood for the trees,see the forest for the trees
put a spanner in the works,throw a (monkey) wrench in(to) (a situation)
put (or stick) your oar in[15] but it won't make a ha'porth of difference[16] to put your two penn'orth (or tuppence worth) in,to put your two cents (or two cents' worth) in[17]
skeleton in the cupboard,skeleton in the closet
a home from home,a home away from home
blow one's own trumpet,blow (or toot) one's own horn
a drop in the ocean,a drop in the bucket [18]
flogging a dead horse,beating a dead horse
haven't (got) a clue,don't have a clue or have no clue (the British forms are also acceptable)
couldn't care less,could care less or couldn't care less[19]
a new lease of life,a new lease on life
lie of the land,lay of the land
take it with a pinch of salt,take it with a grain of salt
a storm in a teacup,a tempest in a teapot (rare)
slowcoach,slowpoke[20]
UK,US
accelerator,gas [pedal]  accelerator
bonnet,hood[27]
boot,trunk[27][28]
mudguard  wheel arch  wing,fender[29]
hood  soft/hard top,convertible top  soft/hard top
car park,parking lot[30]
driving licence,driver's license[31]
dual carriageway,divided highway[27]
estate car,station wagon[30]
flyover,overpass [30] flyover
gearbox,transmission[27]
hard shoulder,shoulder
hired car  hire car,rental car  rental
juggernaut  lorry,semi  semi-truck  18 wheeler  tractor-trailer[32]
lorry,truck[28]
articulated lorry,trailer truck  semi[30]
manual,stick shift  manual
motorway,freeway [32] highway or expressway
pavement  footpath,sidewalk[32]
roadworks,construction zone  roadwork
petrol,gasoline or gas[27]
saloon,sedan[33]
shield,bumper
silencer,muffler[27]
spanner,wrench[27][28]
ticking over,idling[32]
windscreen,windshield[27]
car valeting,auto detailing
