– Indigenous manned missions,[empty],– Manned missions,[empty],– Lunar or Interplanetary missions,[empty],– Other missions
Date,Nation,Name,Asian First,World achievements
4 October 1957,Soviet Union (now under Kazakhstan),Baikonur Cosmodrome,Satellite launch pad,The first satellite  Sputnik 1  was launched.
11 February 1970,Japan,Ohsumi,Satellite,The smallest satellite launch vehicle (L-4S; 9.4t weight  1.4m diameter)
24 February 1975,Japan,Taiyo,Solar probe,[empty]
26 October 1975,China,FSW-0,Satellite recovery[51],[empty]
26 October 1975,China,FSW-0: – 10m (1975) FSW-1B: – 4m (1992)[52] Beidou: – 0.5m (till 2007)[53],High resolution imaging satellite,[empty]
8 July 1976,Indonesia,Palapa A1,Geosynchronous satellite (launched by NASA),[empty]
23 February 1977,Japan,N-I,Geosynchronous launch,[empty]
21 February 1979,Japan,Hakucho,Space observatory,[empty]
23 July 1980,Vietnam,Ph?m Tuân,Asian in space (Soyuz 37),[empty]
20 September 1981,China,FB-1,Simultaneous satellite launch[54],[empty]
8 January 1985,Japan,Sakigake,Leaving Earth orbit,The first interplanetary launch by solid rocket (M-3SII)
19 March 1990,Japan,Hagoromo,Reach lunar orbit (assumed),[empty]
7 April 1990,China,CZ-3,Commercial launch (AsiaSat 1),[empty]
10 April 1993,Japan,Hiten,Intentional lunar impact,The first aerobraking test[55]
8 July 1994,Japan,Chiaki Mukai,Asian woman in space (STS-65),[empty]
19 November 1997,Japan,Takao Doi,Spacework (STS-87),[empty]
28 November 1997,Japan,ETS-VII,Rendezvous docking,[empty]
3 July 1998,Japan,Nozomi,Martian mission (Failure),[empty]
30 October 2000,China,Beidou,Satellite navigation system,[empty]
10 September 2002,Japan,Kodama[56],Data relay satellite (with ESA),[empty]
15 October 2003,China,Yang Liwei,First man in space launched by an Asian space program,[empty]
15 October 2003,China,Shenzhou 5,Manned spacecraft,[empty]
19 November 2005,Japan,Hayabusa,Soft-landed probe on extraterrestrial object,The first asteroid ascent  sample return from an asteroid
11 January 2007,China,FY-1C,ASAT test,Highest in history with altitude 865 km  also the fastest with speed 18k miles
23 February 2008,Japan,WINDS,Internet satellite,The fastest internet satellite[57]
