Country,Name,Initialisms/Acronym,Founded,Terminated,Capabilities of the space agency,Remarks
Astronauts,Operates Satellites,Sounding Rockets capable,Recoverable Biological Sounding Rockets capable,[added],[added],[added]
Bangladesh,Space Research and Remote Sensing Organization,SPARRSO,1980,—,No,No
People's Republic of China,China National Space Administration (Chinese: ?????),CNSA,22 April 1993,—,Yes,Yes
India,Indian Space Research Organisation (Hindi: ?????? ???????? ???????? ?????),ISRO ????,15 August 1969,—,Yes,Yes
Indonesia,Indonesian: Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space),LAPAN,27 November 1964,—,Yes,Yes
Iran,Iranian Space Agency (Persian: ?????? ????? ??????),ISA,2003,—,No,Yes
Israel,Israeli Space Agency (Hebrew: ?????? ???? ?????????),ISA ??"?,April 1983,—,Yes,Yes
Japan,Japan Aerospace Exploration Agency (Japanese: ??????????),JAXA,1 October 2003,—,Yes,Yes
Malaysia,Malaysian National Space Agency (Malay: Agensi Angkasa Negara),ANGKASA,2002,—,Yes,Yes
North Korea,Korean Committee of Space Technology (Korean: ???????????),KCST,1980s,2013,No,Yes
Pakistan,Pakistan Space and Upper Atmosphere Research Commission (Urdu: ??????? ????? ? ???? ????? ???????? ??????),SUPARCO ??????,16 September 1961,—,No,Yes
Philippines,Philippine Space Agency,PhilSA,8 August 2019,—,No,Yes
South Korea,Korea Aerospace Research Institute (Korean: ?????????),KARI,10 October 1989,—,Yes,Yes
Republic of China,National Space Organization (Chinese: ??????),NSPO,3 October 1991,—,No,Yes
Thailand,Geo-Informatics and Space Technology Development Agency (Thai: ??????????????????????????????????????????),GISTDA ????,3 November 2002,—,No,Yes
