Launch system,Country of origin,Class and type,Payload capacity,Maiden flight,Manufacturer,Status,Ref
LEO (Orbit),GTO,Other,[added],[added],[added],[added],[added]
Al-Abid,Iraq,Small lift expendable launch vehicle,100 kg (220 lb) to 300 kg (660 lb) (200 km (120 mi) to 500 km (310 mi),N/A,[empty],1989,Space Research Center  Baghdad
Augmented Satellite Launch Vehicle,India,Small lift expendable launch vehicle,150 kg (330 lb) (400 km (250 mi)),N/A,[empty],1987,ISRO
Epsilon,Japan,Medium lift expendable launch vehicle,1.500 kg (3.300 lb) (250 km (160 mi)x500 km (310 mi)) 700 kg (1.500 lb) (500 km (310 mi)),[empty],590 kg (1.300 lb) to 500 km (310 mi) (SSO),2013,JAXA
Feng Bao 1,China,Medium lift expendable launch vehicle,2.500 kg (5.500 lb),[empty],[empty],1972,Shanghai Bureau ?2
Geosynchronous Satellite Launch Vehicle,GSLV Mk I,India,Medium lift expendable launch vehicle,5.000 kg (11.000 lb),2.150 kg (4.740 lb),[empty],2001
GSLV Mk II,5.000 kg (11.000 lb),2.700 kg (6.000 lb),[empty],2010,ISRO,In service,[added]
Geosynchronous Satellite Launch Vehicle Mark III,India,Medium lift expendable launch vehicle,10.000 kg (22.000 lb),4.000 kg (8.800 lb),[empty],2014 (Suborbital) 2017 (Orbital),ISRO
GX,Japan United States,Medium lift expendable launch vehicle,3.600 kg (7.900 lb),[empty],1.814 kg (3.999 lb) to 800 km (500 mi) SSO,N/A,JAXA/ULA/IHI
H-I,Japan,Medium lift expendable launch vehicle,3.200 kg (7.100 lb),1.100 kg (2.400 lb),[empty],1986,Mitsubishi Heavy Industries
H-II,H-II,Japan,Medium lift expendable launch vehicle,10.060 kg (22.180 lb),3.930 kg (8.660 lb),[empty],1994
H-IIA,10.000 kg (22.000 lb) to 15.000 kg (33.000 lb),4.100 kg (9.000 lb) to 6.000 kg (13.000 lb),[empty],2001,Mitsubishi Heavy Industries/ATK,In service,[111]
H-IIB,16.500 kg (36.400 lb),8.000 kg (18.000 lb),[empty],2009,Mitsubishi Heavy Industries,In service,[112]
H3,Japan,Medium lift expendable launch vehicle,[empty],>8.000 kg (18.000 lb),>4.000 kg (8.800 lb) to SSO (Minimum configuration),2020 (Planned),Mitsubishi Heavy Industries
J-I,Japan,Experimental expendable launch vehicle,-,-,1.054 kg (2.324 lb) along 1.300 km (810 mi) downrange.,1996,NASDA/ISAS
Jielong-1,China,Small lift expendable launch vehicle,[empty],N/A,150 kg (330 lb) to 700 km (430 mi) (SSO),2019,CALT
Kaituozhe,Kaituozhe-1,China,Small lift expendable launch vehicle,100 kg (220 lb),Not applicable,[empty],2002
Kaituozhe-2,Small lift expendable launch vehicle,800 kg (1.800 lb),[empty],[empty],2017,In service,[117]
