Systems,Creator,Last Stable Version,Release Date,License,Implementation language(s),Server Operating System,Database backend,First Release Date
Act! CRM,Pat Sullivan and Mike Muhney,21.1,May 2019,SaaS or Proprietary,C#  .NET,Windows  Web  iOS  Android,MS SQL,1987
Adempiere,Jorg Janke,[empty],[empty],GPLv2,Java,Windows  Linux  Unix  Mac,[empty],2006
Base CRM,Base CRM,2016,2009,SaaS,Ruby on Rails  Python,Cloud Computing  iOS  Android  Windows Phone,MySQL,2009
CiviCRM,Dave Greenberg  Donald Lobo  Michal Mach,5.11.0,2019 March 7,AGPLv3,PHP 5.6.x  7.x,Cross-platform,MySQL & MariaDB,2004
Dolibarr,Rodolphe Quiedeville  Laurent Destailleur,7.0,2018,GPLv3 or SaaS,PHP 5.3.x,Cross-platform,MySQL or PostgreSQL,2003
Dynamics CRM,Microsoft,Dynamics 365 9.1,July 2019,Proprietary or SaaS,.NET  ASP.NET,Windows,MS SQL,2003
Epesi CRM,Telaxus LLC,1.8.0,2016 September 26,MIT,PHP 5.x,Cross-platform,MySQL  PostgreSQL  AdoDB  others,2006
GNU Enterprise,FSF,[empty],[empty],GPLv3,Python,Linux  Unix  Mac OS X  Windows,Firebird/Interbase  MySQL  MaxDB  MS ADO (MS SQL-Server/MS Access)  Oracle  PostgreSQL  SQLite  SQLite3  CSV files DBF files (DBase  XBase etc.)  INI style configuration files,2003
Group-Office,Intermesh BV,6.2.4,2016,AGPLv3  SaaS and proprietary,PHP/JavaScript,Windows  Linux  Unix  Mac OS,MySQL,2003
HubSpot CRM Free,HubSpot,N/A,N/A,SaaS[1],Java [2],Cloud computing,HBase,2014[3]
Neolane,Adobe,v6,2012,Proprietary or SaaS,C++  JavaScript,Windows  Linux,MS SQL  Oracle  PostgreSQL  MySQL,2001
Nutshell CRM,Nutshell CRM,2017,2017,SaaS,PHP,Web  iOS  Android,MySQL,2010
Pega CRM[4],Chordiant,?,?,Proprietary,?,Windows  Linux  Mac  web browser,?,?
Pipedrive,Pipedrive,2018,2018,SaaS,JavaScript  PHP,Web  iOS  Android,MySQL,2011
Pivotal CRM,Aptean,6.6,January 2019,Proprietary,.NET,Windows,MS SQL  Oracle,1996
Really Simple Systems,Really Simple Systems,2016,2006,SaaS,VBScript  JavaScript  ASP,Cloud Computing,MySQL,2006
SageCRM,Sage Group,Sage CRM 2019 R1,February 2019,Proprietary or SaaS,ASP.NET  ASP,Windows,MS SQL  ORACLE  DB2,1981
Salesbox CRM,Salesbox CRM,2019,2019,SaaS,JS  React,Web  iOS  Android,PostgreSQL,2014
Salesforce.com,Marc Benioff,Summer '19,June 2019,Proprietary,APEX (Proprietary Language Java-like),Cloud Computing,Proprietary,1999
SAP CRM,SAP SE,7.0 EHP4 SP11,2018,Proprietary,ABAP,Windows  Linux  Unix,SAP HANA  MS SQL  Oracle,2000
SAP Cloud for Customer,SAP SE,1811,2018,Proprietary,ABAP,Linux,SAP HANA,2009
Streak,Aleem Mawani  Omar Ismail,[empty],[empty],Proprietary,Java,Windows  Mac,Google App Engine,2012
SugarCRM,John Roberts  Clint Oram  Jacob Taylor,9.0.1[5],June 2019,Proprietary or SaaS,PHP,Cross-platform,MySQL  Microsoft SQL Server  IBM DB2  and Oracle (IBM DB2 and Oracle only available for Sugar Enterprise edition),2004
SuiteCRM,SalesAgility,7.11.6,July 2019,AGPLv3,PHP,Cross-platform,MariaDB  MySQL  Microsoft SQL Server,2013
SuperOffice CRM,SuperOffice,7.5,2014,Proprietary,C++ C# and ASP.NET,Windows,SQL Server,1990
TeamLab,Ascensio System SIA,[empty],2011,GPLv3  SaaS,ASP.NET,Windows,Microsoft SQL Server  Amazon Server,2010
Tryton,Tryton,4.0,2016 April,GPLv3,Python  JavaScript,Cross-platform,PostgreSQL  MySQL  SQLite,2008
WORKetc,Daniel Barnett,v4.0,2013,SaaS,C#  .NET,Windows,Microsoft SQL Server  Amazon Server,2009
Zoho CRM,Zoho CRM,Zoho CRM 2018,2018,SaaS,Java,Cloud Computing  Cross Platform,Proprietary,1999
System,Office Integration,Multi Lingual,Languages Supported,Web-Based,Time Tracking,Attaching Emails to Business Objects,Desktop Environment,Global Search,LDAP Support
Act! CRM,Yes,Yes,en  de  fr,Yes,[empty],[empty],Yes,Yes,No
Adempiere,?,?,?,?,?,?,?,?,?
Base CRM,Yes,Yes,de  en  es  fr  nl  pl  pt,Yes,Yes,Yes,No,Yes,No
CiviCRM,?,Yes,Yes Over 40,Yes Integrated with Drupal  Wordpress  Joomla! or Backdrop,?,Yes (when email is sent from software),?,Yes,?
Dolibarr,A module google is available for customer and agenda sync,Yes,Over 30,Yes,Yes,Yes (when email is sent from software),?,Yes,Yes
Microsoft Dynamics CRM,Yes,Yes,Yes over 40,Yes,Yes,Yes,No,Yes,Yes with ADFS
Epesi CRM,Any type of file attachments,Yes,ar  bg  cs  da  de  el  en  es  et  fa  fi  fr  he  hr  hu  id  in  it  jp  ko  lt  nl  no  pl  pt  ro  ru  sk  sl  sr  sv  th  tr  vi  zh,Yes,Yes,Yes,?,?,?
GNU Enterprise,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Group-Office,Yes,Yes,Over 20 languages,Yes,Yes,?,?,?,?
HubSpot CRM Free,Gmail  G Suite  Outlook  Office 365 for Windows[6],Yes,en  fr  jp  de  pt  es[7],Yes[6],No,Yes[8],Yes[9],Yes,No
Neolane,?,?,?,?,?,?,?,?,?
Nutshell CRM,Google Apps  Microsoft Exchange,No,(in English),Yes,No,Yes,?,Yes,?
Pega CRM[4],?,?,?,?,?,?,?,Maybe[10],Yes[11]
Pipedrive,Yes,Yes,de  en  es  et  fi  fr  it  no  nl  pl  pt  ru  tr  ko  ja,Yes,Yes,Yes,Yes,Yes,Yes
Pivotal CRM,Yes,Yes,Yes,Web/Windows,?,Yes,?,Yes,Yes
Really Simple Systems,Yes,No,en,Yes,No,?,?,?,?
SageCRM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Salesbox CRM,Yes,Yes,de  en  es  fr  nl  pt  se  no  fi  tr  ro  ru  jp  ch  ko  hu,Yes,Yes,Yes,Yes,Yes,No
Salesforce.com[12],Yes,Yes,en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl,Yes,No,No,No,Yes,No
Siebel,Yes,Yes,Yes,Yes,No,Yes,?,?,Yes
SAP CRM,Yes,Yes,Yes,Yes,No,Yes,Yes|,Yes,Yes
SAP Cloud for Customer,Yes,Yes,Yes,Yes,No,Yes,Yes|,Yes,Yes
Streak,via Google Docs,Yes,de  en  es  fr  it  nl  pl  pt  pt-br  ru  zh-cn,Yes,No,?,?,?,?
SugarCRM,Yes - Outlook  Excel  Word Plugins[1],Yes,sq_AL  ar_SA  bg_BG  ca_ES  zh_CN  hr_HR  cs_CZ  da_DK  nl_NL  en_UK  en_us  et_EE  fi_FI  fr_FR  de_DE  el_EL  he_IL  hu_HU  it_it  ja_JP  ko_KR  lv_LV  lt_LT  nb_NO  pl_PL  pt_PT  pt_BR  ro_RO  ru_RU  sr_RS  sk_SK  es_ES  es_LA  sv_SE  th_TH  zh_TW  tr_TR  uk_UA,Yes,Yes,Yes,?,Yes,Yes
SuiteCRM,Via Plugin,Yes,20 languages,Yes,Yes,Yes,No,Yes,Yes
SuperOfficeCRM,Yes,Yes,cn  de  dk  en  es  fi  fr  it  jp  nl  no  ru  se  zh,Yes,Yes,?,?,?,?
TeamLab,Yes,Yes,en  de  fr  es  it  ru  lat,Yes,Yes,?,?,?,?
Tryton,?,Yes,bg  ca  cs  de  en  es-ar  es-co  es-es  fr  nl  ru  sl,Yes,Yes,Yes,Yes,Yes,Yes
WORKetc,Outlook Addon and Google Docs,Yes,de  en  es  fr  it  nl,Yes,Yes,Yes,?,Yes,?
Zoho CRM,Outlook & MS Office,Yes,en  fi  fr  de  es  it  ja  ko  pt-br  ru  sv  th  zh-cn  zh-tw  da  nl-nl  pl,Yes,Yes,Yes,?,Yes,Yes
