Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit[1],Interface
cURL,Daniel Stenberg,1998,7.67.0 (6 November 2019; 8 days ago (2019-11-06)[2]) [±],MIT,Yes,CLI
Cyberduck,David V. Kocher,2001,6.0.4 June 2  2017; 2 years ago (2017-06-02),GPL,Yes,GUI and CLI
FAR Manager,Eugene Roshal / FAR Group,1996,3.0 build 5000 (7 August 2017; 2 years ago (2017-08-07)) [±],BSD,Yes,TUI
*FileZilla,Community,2001 (January),3.45.1 (25 September 2019; 50 days ago (2019-09-25)) [±][3],GPL,Yes,GUI
FireFTP,Mime ?uvalo,2004 (September),2.0.32 (February 1  2019; 9 months ago (2019-02-01)) [±],MPL 1.1  Charityware,Yes (since version 2.0.5),Waterfox  Firefox pre-version 57 addon
Fugu,University of Michigan Research Systems Unix Group,2003,1.2.0 May 2  2005; 14 years ago (2005-05-02),BSD,?,GUI
gFTP,Brian Masney,1998,2.0.19 November 30  2008; 10 years ago (2008-11-30),GPL,Yes,GTK+
lftp,Alexander V. Lukyanov,1996 (August),4.8.4 (August 1  2018; 15 months ago (2018-08-01)[4]) [±],GPL,Yes,CLI
Macfusion,Michael Gorbach,0 ?,2.0.4,BSD,?,GUI
NcFTP,NcFTP Software Inc.,1991,3.2.6 November 27  2016; 2 years ago (2016-11-27),Clarified Artistic License,Yes,CLI
net2ftp,David C. Gartner,2003 (January),0.98 March 1  2013; 6 years ago (2013-03-01),GPL,?,Web application
tnftp,Luke Mewburn,1999,20151004 October 4  2015; 4 years ago (2015-10-04),BSD,?,CLI
WinSCP,Martin P?ikryl,2000,5.15.5[5] (October 16  2019; 29 days ago (2019-10-16)) [±],GPL,Yes,GUI and CLI
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1],Interface
CrossFTP,CrossFTP Software,2006,1.98.7,Proprietary,Yes,GUI
Classic FTP,NCH Software,2007,2.52,Proprietary,Yes,GUI
Fling FTP (free version contains adware),NCH Software,2007,1.0.7,Proprietary,Yes,Windows Explorer shell extension
LeechFTP,Jan Debis,1998,1.3 (Discontinued),Proprietary,No,GUI
pbFtpClient,Level5Software,2007,6.1,Proprietary,?,Windows GUI
FTP Voyager,Rhino Software  Inc,1997 (January),16.1.0.0 (August 20  2013; 6 years ago (2013-08-20)),Proprietary,Yes,GUI
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
CoreFTP,CoreFTP.com,2003,2.2 (build 1751) June 27  2012; 7 years ago (2012-06-27),Freeware,Yes
Fetch,Fetch Softworks,1989,5.7.7 December 2  2017; 23 months ago (2017-12-02),Proprietary,Yes
Secure FTP,Glub Tech,1999,2.6.2 July 27  2013; 6 years ago (2013-07-27),Apache,Yes
Sysax FTP Automation,Codeorigin  LLC,2005,5.31 April 12  2012; 7 years ago (2012-04-12),Proprietary,Yes
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
AbsoluteTelnet,Celestial Software,1996,9.49 July 2  2012; 7 years ago (2012-07-02),Proprietary,Yes
Beyond Compare,Scooter Software,1996,4.3.2 November 1  2019; 13 days ago (2019-11-01),Proprietary,Yes
Commander One,Eltima Software,2015,1.1 September 29  2015; 4 years ago (2015-09-29),Proprietary,Yes
CrossFTP Pro,CrossFTP Software,2006,1.98.7 December 19  2017; 22 months ago (2017-12-19),Proprietary,Yes
CuteFTP,Alex Kunadze/Globalscape,1994,9.3.0 (Windows) July 11  2018; 16 months ago (2018-07-11) / 3.1.3 (Mac) May 2  2014; 5 years ago (2014-05-02),Proprietary,Yes
Directory Opus,GPSoftware,1990,11.10 December 19  2014; 4 years ago (2014-12-19),Proprietary,Yes
FlashFXP,OpenSight Software  LLC,1999,5.4.0.3970 April 1  2017; 2 years ago (2017-04-01),Proprietary,Yes
FTP Client,Vicomsoft,1997,5.0.1,Proprietary,Yes
SmartFTP,SmartSoft Ltd,1998,6.0.2155.0 July 23  2015; 4 years ago (2015-07-23),Proprietary,Yes
Total Commander,Christian Ghisler,1993,9.21a August 21  2018; 14 months ago (2018-08-21),Proprietary,Yes
WebDrive,South River Technologies  Inc.,1998,2017 June 16  2017; 2 years ago (2017-06-16),Proprietary,Yes
WS_FTP,Ipswitch  Inc.,1996,12.7 November 27  2018; 11 months ago (2018-11-27),Proprietary,Yes
Yummy FTP,Yummy Software,2004,1.9.0 May 10  2018; 18 months ago (2018-05-10),Proprietary  Setapp,?
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
ALFTP,ESTsoft,2000,5.31 February 1  2012; 7 years ago (2012-02-01),Proprietary,?
ExpanDrive (Mac),ExpanDrive  Inc,2008,macOS: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[7]) [±] Windows: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[8]) [±] Linux: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[9]) [±],Proprietary,Yes
ExpanDrive (Windows) (formerly SFTPDrive),ExpanDrive  Inc,2005,macOS: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[10]) [±] Windows: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[11]) [±] Linux: 7.2.6 (September 3  2019; 2 months ago (2019-09-03)[12]) [±],Proprietary,Yes
ForkLift,BinaryNights  LLC,2007,3.2.2 April 10  2018; 19 months ago (2018-04-10),Proprietary,Yes
FTP Commander,Internetsoft Corporation,1997,9.21 November 8  2010; 9 years ago (2010-11-08),Proprietary,Yes
FTP Explorer,FTPx Corp.,October  1996,1.0.1.53; January 2012,Proprietary,?
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),10.0.6 August 18  2014; 5 years ago (2014-08-18),Proprietary,Yes
Steed,French Fry  SAS,2012,1.2.1.1169 June 27  2017; 2 years ago (2017-06-27),Proprietary,Yes
Transmit,Panic  Inc.,1998,5.0.4 October 2  2017; 2 years ago (2017-10-02),Proprietary,Yes
WISE-FTP,AceBIT,1998,7.0 (Build 7.0.4) March 16  2012; 7 years ago (2012-03-16),Proprietary,?
edtFTPj,Bruce P. Blackshaw,2000,2.3.0 August 26  2011; 8 years ago (2011-08-26),Proprietary,Yes
edtFTPnet,Bruce P. Blackshaw,2003,2.2.1 August 26  2011; 8 years ago (2011-08-26),Proprietary,Yes
