[empty],Creator,Latest release date,Current stable version,Programming language,License
bbPress[1],WordPress Foundation,2019-09-04,5.2.3,PHP[2],GPL[3]
Beehive Forum[4],Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
Discourse[5],Civilized Discourse Construction Kit  Inc.,2019-02-08,2.2.1,Ruby  JavaScript,GPL
Discuz![6],Comsenz Inc.,2018-01-01,X3.4,PHP,Discuz! EULA (proprietary  gratis for non-commercial use)
FluxBB[7],FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
FUDforum[8],Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
Ikonboard[9],Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
Invision Power Board[10],Invision Power Services Inc.,2019-06-12,4.4.4,PHP,Proprietary
MyBB[11],MyBB Group,2019-06-10,1.8.21,PHP,LGPL  moving to BSD in 2.0[12]
Phorum[13],Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
phpBB[14],phpBB Ltd.,2019-05-05,3.2.8,PHP,GPL
PunBB[15],PunBB,2015-10-14,1.4.4,PHP,GPL
Simple Machines Forum[16],Simple Machines,2017-11-19[17],2.0.15[17],PHP,BSD License
Syndie[18],Anonymous (related to I2P),2014-08-14,1.107b,Java,Open source  multiple licenses
Thredded[19],Joel Oliveira  Gleb Mazovetskiy  et al.,2019-08-17,0.16.13,Ruby,MIT
Vanilla Forums[20],Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary/GPL[21]
vBulletin[22],vBulletin Solutions Inc.,2019-05-14,5.5.2,PHP[23],Proprietary[24]
XenForo,XenForo Limited  Kier Darby  Mike Sullivan.,2019-03-12,2.1.1,PHP[25],Proprietary
[empty],Creator,Latest release date,Current stable version,Programming language,License
[empty],Flat,Threaded,User selectable themes,Unread message tracking,WYSIWYG Editor,Export  portability,Email / NNTP interface,Languages,SSO
bbPress,Yes[26],[empty],[empty],[empty],[empty],No[27],Plugin[28][29],Yes[30],[empty]
Beehive Forum,Yes[26],Yes[26],Partial[26],Full[26],Yes[26] (using TinyMCE),Partial[31],[empty],[empty],[empty]
Discourse,Yes,No[32],Yes[33],Full,Real-time side-by-side preview,Full[34],Partial[35],Yes[36][37],OAuth2[38]  Custom[39]
Discuz!,[empty],[empty],Yes[40],[empty],[empty],[empty],[empty],[empty],[added]
FluxBB,Yes[26],No[26],Partial[26],Session[26],No[26],[empty],[empty],Yes[41],[empty]
FUDforum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Partial[42],Yes[43],Yes[44],[added]
Invision Power Board,Yes[26],[empty],Yes[26],Full[26],Yes[26],[empty],No[45],[empty],No[46]
MyBB[47],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],No[48],No[49][50],Yes[51],[empty]
Phorum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[52],[empty],No[53],[empty]
phpBB[54],Yes[26],No[26],Yes[26],Full[26],No[26],No[55],No[56][57],Yes[58],Yes (LDAP  OAuth)[59]
PunBB[60],Yes[26],[empty],Yes[26],Session[26],[empty],[empty],[empty],No[61][62],[empty]
Simple Machines Forum,Yes[26],No[26],Yes[26],Full[26],Yes[26],Partial [63],No[64],Yes[65],[empty]
Thredded,Yes[19],No[19],Yes[19],Full[19],No[19],No[19],Read-only[19],Yes[19],Custom[19]
Vanilla Forums,Yes[26],[empty],Yes[26],Yes[26],Plugin[26],Plugin [66][67],[empty],Yes[68],Yes[69]
vBulletin[70],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[71][72],[empty],No[73],[empty]
XenForo,Yes[26],[empty],Yes[26],Full[26],Yes[26],Yes[74],[empty],Yes[75],Yes[76]
[empty],MySQL,PostgreSQL,MSSQL,Oracle,SQLite,Firebird,Flat file
bbPress[2],Yes,No,No,No,No,No,No
Beehive Forum,Yes,No,No,No,No,No,No
Discourse,No,Yes,No,No,No,No,No
Discuz!,Yes,Yes,No,No,No,No,No
FluxBB,Yes,Yes,No,No,SQLite 2[85],No,No
FUDforum,Yes,Yes,Yes,Yes,Yes,Yes,No
Iko,Yes,No,No,No,No,No,No
Ikonboard,Yes,Yes,No,Yes,No,No,Yes
Invision Power Board,Yes,No,Discontinued [86],No,No,No,No
kusaba,Yes,No,No,No,No,No,No
MyBB[47],Yes,Yes,No,No,Yes,No,No
Phorum,Yes,No,No,No,No,No,No
phpBB[54],Yes,v8.2 or newer[87][88],Yes,Yes,Yes,Discontinued,No
PunBB[60],Yes,Yes,No,No,Yes,No,No
Simple Machines Forum,Yes,Yes,No,No,Yes,No,No
Syndie,Yes (HSQLDB),No,No,No,No,No,No
Thredded[19],Yes,Yes,No,No,Yes,No,No
Vanilla Forums,Yes,No,No,No,No,No,No
vBulletin[70],Yes,No,No,No,No,No,No
XenForo,Yes,No,No,No,No,No,No
