[empty],AngularJS,Apache Royale,Dojo,Ember.js,Enyo,Ext JS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[11],qooxdoo,SmartClient and SmartGWT,SproutCore,Vue,Wakanda,ZK,Webix
Feature detection[13],Yes,[empty],Yes[14],Yes,[empty],Yes[15],No[16][17],Yes[18],Yes,Yes[19],[empty],No[20],Yes,Partial [21],Yes,[empty],Partial,No[22],Yes
DOM wrapped[23],Yes,[empty],Yes,No,Yes,Yes,Yes,Yes,[empty],No[24],[empty],No[25][26],Yes,Yes,No,[empty],Yes,Yes,Yes
XMLHttpRequest data retrieval,Yes,Yes,Yes[27],[empty],Yes,Yes,Yes,Yes,Yes[28],Yes[29],Yes,Yes,Yes,Yes,Yes,[empty],Yes,[empty],Yes
WebSocket,[empty],[empty],Yes[27],[empty],Yes,Yes,Yes,Yes,No,Yes[29],Yes[30],Yes,Yes,Yes,Via Plugin,[empty],Yes,[empty],Yes[31]
Server push data retrieval,[empty],[empty],Yes[32],[empty],[empty],Yes[33],Yes[34],Yes[32],No,[empty],[empty],[empty],[empty],Yes[35],Via Plugin,[empty],[empty],Yes[36],Yes
Other data retrieval,[empty],Yes: XML  HTML  CSV  ATOM  AMF  JSON,Yes: XML  HTML  CSV  ATOM[37],[empty],[empty],Yes: XML  SOAP  AMF  Ext.Direct,Yes: RPC  RequestFactory,Yes: XML  HTML,Yes: XML  JSON  CSV  TSV[28],Yes: XML  HTML,[empty],[empty],[empty],Yes: XML  WSDL  RSS  and Java-based SQL  Hibernate  POJO adapters,[empty],[empty],Yes: JSON-RPC  Wakanda REST,[empty],Yes: XML  HTML  CS  JSON  JSArray  CSV
Drag and drop,[empty],Yes,Yes[38],[empty],[empty],Yes,With plugin[39],With plugins[40],Yes[41],Yes[42],Yes[43],Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes[44]
Simple visual effects,Yes,Yes,Yes[45],[empty],Yes,Yes,Yes,Yes,Yes,Yes[46],Yes,Yes,Yes,Yes,Yes[47],[empty],Yes,Yes,Yes
Animation / advanced visual effects,Yes,[empty],Yes[48],[empty],Yes[49],Yes,Yes,Yes,Yes,Yes[50],[empty],Yes,Yes,Yes,Yes[47],[empty],Yes,Yes,Yes[51]
Back button support / history management,[empty],[empty],Yes[52],Yes,Yes[53],Yes[54],Yes,With plugins[55],No,With plugin[56],[empty],Yes,Yes,Yes,Yes,[empty],[empty],Yes,Yes
Input form widgets & validation,Yes,Yes,Yes[57],[empty],Yes,Yes,Yes  Validation requires plugin[58],With plugins[59],Yes[60],Yes,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes,Yes [61][62]
[empty],AngularJS,Apache Royale,Dojo,Ember.js,Enyo,ExtJS,Google Web Toolkit,jQuery,jQWidgets,MooTools,OpenUI5,Prototype & script. aculo.us[11],qooxdoo,SmartClient and SmartGWT,SproutCore,Vue,Wakanda,ZK,Webix
Grid,[empty],Yes,Yes[63],[empty],[empty],Yes,Yes,With plugins[64],Yes[65],With plugin[66],Yes,[empty],Yes,Yes,Yes,[empty],Yes[67],Yes,Yes[68]
