Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,2006,3.10[2],?,2019-06-13,X,LEAF Project,security  lightweight  general,Gratis,Active
ALT Linux,ALT Linux Team,ALT Linux Team  ALT Linux LLC,2001,8.2[3],?,2013-07-10,X,Mandrake Linux,general  school,Gratis,Active
antiX,Anticapitalista,Anticapitalista,2007,17.4.1[4],?,2017-08-24,X,Debian  MEPIS,old computers,Some editions are gratis,Active
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,?,X,Arch Linux (UKM Edition),general,Gratis,Active
Arch Linux,Judd Vinet,dev team,2002,Rolling,Rolling,Rolling,X,Independent  inspired from CRUX,general,Gratis,Active
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,2002,140k,?,2011-05-04,100% Free: GNU FSDG,Fedora,desktop,Gratis,Inactive
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,2011,5.0.0[5],?,2018-08-22,X,Debian  Ubuntu,desktop  lightweight,Gratis,Active
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,2007,6.0[6],?,2018-03-19,X,Debian  Ubuntu,Government of Venezuela,Gratis,Active
CentOS,CentOS Project,CentOS Project,2003,7.7-1909,10 years[7],2019-09-17,X,Red Hat Enterprise Linux (RHEL),server  workstation,Gratis,Active
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,2010,Rolling,Rolling,?,X,Arch Linux[8],desktop,Gratis,Active
Chrome OS,Sundar Pichai,Google,2009,75.0.3770.129[9],6.5 years[10],2019-07-09,X,Chromium OS,web applications,Gratis,Active
ClearOS,Peter Baldwin,ClearFoundation,2000,7.6.0[11],?,2019-05-09,X,RHEL  CentOS,server  gateway  network,Some editions are gratis,Active
CrunchBang Linux,Philip Newborough,Philip Newborough,2008,11[12],?,2013-05-06,X,Debian,desktop,Gratis,Inactive
Damn Small Linux,John Andrews,dev team,2003,4.4.10[13],?,2008-11-18,X,Debian  Knoppix,lightweight  portable,Gratis,Active
Debian,Ian Murdock,Debian Project,1993,10.1[14],~3 years[g 1],2019-09-07,Debian Social Contract and DFSG (main is 100% free  non-free packages are optional)[15],Softlanding Linux System (SLS)[16],general  server  desktop,Gratis,Active
Debian Edu,[empty],Debian Project,2004,9.0+edu0[17],~3 years[g 1],2017-06-18,Debian Social Contract and DFSG,Debian,schools,Gratis,Active
Devuan,The "Veteran Unix Admins" (VUA),The "Veteran Unix Admins" (VUA),2016,2.0.0[18],?,2018-09-16,X [19],Debian,general,Gratis,Active
Deepin,Wuhan Deepin Technology Co.  Ltd.,Wuhan Deepin Technology Co.  Ltd.,2004,15.10.2[20],?,2019-07-05,?,Debian(current)  Ubuntu  Morphix(formerly),general,Gratis,Active
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,2009,3.0-alpha2[21],?,2018-09-28,100% Free: GNU FSDG,Independent  inspired from Slackware,general,Gratis,Active
dyne:bolic,Jaromil,Jaromilx,2005,3.0.0,?,2011-09-08,100% Free: GNU FSDG,Debian,multimedia,Gratis,Inactive
Elementary OS,Daniel Foré,elementary LLC,2011,5.0[22],?,2018-10-16,X,Ubuntu  Debian,general,Gratis,Active
ELinOS,SYSGO,SYSGO,1999,6.2[23],?,2017-10-01,X,–,embedded systems,Partial,Active
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,2009,3.1,End-of-life,2013-06-15,X,Debian,embedded systems,Gratis,Inactive
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,2019,Rolling,Rolling,2019-07-15,X,Arch Linux,general,Gratis,Active
Fedora,Fedora Project,Fedora Project,2003,31[24],1 year,2019-10-29,Fedora Licensing Guidelines[25],Red Hat Linux,general,Gratis,Active
Freespire,Lindows.com  Inc.,PC/OpenSystems LLC,2001,4.8[26],?,2018-12-20,X,Ubuntu,desktop,Gratis,Active
Gentoo Linux,Daniel Robbins,Gentoo Foundation  Inc.,2002,Rolling,Rolling,Rolling,Gentoo Social Contract,Enoch Linux,general,Gratis,Active
Guix,Ludovic Courtès,Ludovic Courtès  Ricardo Wurmus  the Guix community,2012,1.0.1[27],Rolling,2019-05-02,100% Free: GNU FSDG,–,general,Gratis,Active
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,2006,4.0 (Ucclia)[28],?,2016-05-02,100% Free: GNU FSDG,Debian,general  server,Gratis,Active
gnuLinEx,Regional Government of Extremadura,dev team,2002,LinEx 2013,?,2013-02-11,X,Debian,desktop,Gratis,Inactive
Grml,Michael Prokop,The Grml Team,2005,2018.12[29],?,2018-12-31,X,Debian,live  maintenance  security  network  forensic  accessibility,Gratis,Active
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,2017,0.3[30],3 years (stable)  5 years (old stable)[31],2019-09-23,100% Free: GNU FSDG followed in Hyperbola Social Contract,Arch Linux,general,Gratis,Active
Instant WebKiosk,Marco Buratto,Binary Emotions,2012,16.0[32],?,2017-04-05,X,Debian,web kiosks  digital signage  personal web navigation,Gratis,Active
Kali Linux,Max Moser  Mati Aharoni  Martin J. Muench,Offensive Security,2013,2019.2[33],?,2019-05-21,X,Debian,auditing  forensic  security  network,Gratis,Active
Knoppix,Klaus Knopper,dev team,2000,8.6[34],?,2019-08-08,X,Debian,live,Gratis,Active
