Model,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),Memory,Max. memory,AGP,Southbridge,Features,Notes
nForce 220,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 single channel,1.5 GB,AGP 4×,MCP MCP-D,[empty],[empty]
nForce 220-D,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 single channel,1.5 GB,AGP 4×,MCP MCP-D,Geforce 2 MX IGP,[empty]
nForce 415-D,January 8  2002,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 dual channel,1.5 GB,AGP 4×,MCP MCP-D,[empty],[empty]
nForce 420-D,2001,Athlon XP  Athlon  Duron,[empty],266 MHz  200 MHz,DDR266 dual channel,1.5 GB,AGP 4×,MCP MCP-D,Geforce 2 MX IGP,[empty]
Model,Release Date,Fabrication process (nm),PCI,USB,FireWire (IEEE1394),PATA,SATA,LAN,Sound,Features,Notes
MCP,2001,[empty],5 Ports,6 Ports Rev 1.1,No,2 Ports UDMA 100,No,100 Mbit/s,AC'97 2.1,[empty],[empty]
MCP-D,2001,[empty],5 Ports,6 Ports Rev 1.1,No,2 Ports UDMA 100,No,100 Mbit/s,AC'97 2.1 NVAPU SoundStorm,[empty],[empty]
Model,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),Memory,Max. memory,AGP,Southbridge,Features,Notes
nForce2 SPP,2002,Athlon XP  Athlon  Sempron  Duron,[empty],333 MHz  266 MHz  200 MHz,DDR266/333 dual channel,3 GB,AGP 8×,MCP2 MCP2-T,[empty],[empty]
nForce2 IGP,2002,Athlon XP  Athlon  Sempron  Duron,[empty],333 MHz  266 MHz  200 MHz,DDR266/333 dual channel,3 GB,AGP 8×,MCP2 MCP2-T,GeForce 4 MX IGP,[empty]
nForce2 400,2003,Athlon XP  Athlon  Sempron  Duron,[empty],400 MHz  333 MHz  266 MHz  200 MHz,DDR266/333/400 single channel,3 GB,AGP 8×,MCP2 MCP2-T MCP2-S/R/GB,[empty],[empty]
nForce2 Ultra 400,2003,Athlon XP  Athlon  Sempron  Duron,[empty],400 MHz  333 MHz  266 MHz  200 MHz,DDR266/333/400 dual channel,3 GB,AGP 8×,MCP2 MCP2-T MCP2-S/R/GB,[empty],[empty]
Model,Release Date,Fabrication process (nm),PCI,USB,FireWire (IEEE1394),PATA,SATA,LAN,Sound,Features,Notes
MCP2,2002,[empty],5 Ports,6 Ports Rev 2.0,No,2 Ports UDMA 133,No,100 Mbit/s,AC'97 2.1,[empty],[empty]
MCP2-T,2002,[empty],5 Ports,6 Ports Rev 2.0,2 Ports,2 Ports UDMA 133,No,2× 100 Mbit/s,AC'97 2.1 NVAPU SoundStorm,additional 100 Mbit/s LAN by 3Com,[empty]
MCP2-S/R,2004,[empty],6 Ports,8 Ports Rev 2.0,No,2 Ports UDMA 133,2 Ports 1.5 Gbit/s,100 Mbit/s,AC'97 2.1,RAID 0  1  0+1 (MCP2-R),[empty]
MCP2-GB,2004,[empty],6 Ports,8 Ports Rev 2.0,No,2 Ports UDMA 133,2 Ports 1.5 Gbit/s,1000 Mbit/s,AC'97 2.1,RAID 0  1  0+1 Gigabit LAN with nVidia Firewall,[empty]
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),AGP,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce3 150,CK8,September 23  2003,Athlon 64  Sempron 64 Socket 939  754,[empty],HT 800 MHz,AGP 8×,6 Ports,6 Ports Rev 2.0,2 Ports UDMA 133,2 Ports 1.5 Gbit/s,100 Mbit/s,AC'97 2.1,[empty],[empty]
nForce3 250,CK8,September 23  2003,Athlon 64  Sempron 64 Socket 939  754,[empty],HT 800 MHz,AGP 8×,6 Ports,8 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5 Gbit/s,100 Mbit/s,AC'97 2.3,[empty],GB variant includes gigabit LAN
nForce3 Ultra,CK8,June 1  2004,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket 939  754,[empty],HT 1 GHz,AGP 8×,6 Ports,8 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],[empty]
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce4-4x,CK8-04,October  2004,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket AM2  939  754,[empty],HT 800 MHz,1.0a 20 lanes,No,6 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],[empty]
nForce4,CK8-04,October  2004,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket AM2  939  754,[empty],HT 1 GHz,1.0a 20 lanes,No,6 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],[empty]
nForce4 Ultra,CK8-04,October  2004,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket AM2  939  754,[empty],HT 1 GHz,1.0a 20 lanes,No,6 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],Same chipset as nForce4 SLI but with some resistors removed thus disabling SLI
nForce4 SLI,CK8-04,October  2004,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket AM2  939  754,[empty],HT 1 GHz,1.0a 20 lanes,x8+x8,6 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],[empty]
nForce4 SLI X16,Crush51 + CK8-04,November  2005,Athlon 64 FX  Athlon 64 X2  Athlon 64  Sempron 64 Socket 939,[empty],HT 1 GHz,1.0a 38 lanes,x16+x16,6 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0 Gbit/s,1000 Mbit/s,AC'97 2.3,[empty],[empty]
Model,Code Name,Release Date,CPU Sockets,Processors Supported,Fabrication process (nm),HyperTransport (MHz),PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce 980a SLI,MCP72 + nForce200,2009,Socket AM3,Phenom  Athlon II  Phenom II  Athlon 64 X2  Athlon 64  Sempron 64,[empty],HT 3.0 2.6 GHz,2.0 51 lanes,x16+x16 x16+x16+x8 x8+x8+x8,5 Ports,12 Ports Rev 2.0,1 Ports UDMA 133,6 Ports 3.0Gbit/s,1000 Mbit/s,HDA,GeForce 8200 PureVideo HD  GeForceBoost  HybridPower  SLI-Memory Ready  FirstPacket,Rebranded nForce 780a SLI
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),AGP,PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce3 Professional 150/250,CK8,08/2003,AMD Opteron,150nm,HT 1.0 1.6 GHz,AGP 3.0 533 MT/s,No,No,6 Ports,8 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 1.5Gbit/s,1000 Mbit/s,AC'97 2.1,MediaShield,[empty]
nForce Professional 2200 MCP,CK8-04,01/2005,AMD Opteron,150nm,HT 1 GHz 2000 MT/s,No,1.0a 20 lanes  4 links flexible x16: 2 slots,x8+x8,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,AC'97 2.3,MediaShield RAID 0.1.0+1.5,[empty]
nForce Professional 2200 and 2050,CK8-04,01/2005,AMD Opteron,150nm,HT 1 GHz 2000 MT/s,No,1.0a 40 lanes  8 links flexible x16: 2 slots,x16+x16,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,8 Ports 3.0Gbit/s,2*1000 Mbit/s,AC'97 2.3,MediaShield RAID 0.1.0+1.5,[empty]
nForce Professional 3400 MCP,MCP55 Pro,2006,AMD Opteron,[empty],HT 1 GHz 2000 MT/s,No,1.0a 28 lanes  6 links fixed x16: 2 slots,x8+x8,5 Ports,10 Ports Rev 2.0,1 Ports UDMA 133,6 Ports 3.0Gbit/s,2*1000 Mbit/s,HDA,MediaShield RAID 0.1.0+1.5,[empty]
nForce Professional 3600 MCP,MCP55 Pro,2006,AMD Opteron,[empty],HT 1 GHz 2000 MT/s,No,1.0a 28 lanes  6 links fixed x16: 2 slots,x8+x8,5 Ports,10 Ports Rev 2.0,1 Ports UDMA 133,6 Ports 3.0Gbit/s,2*1000 Mbit/s,HDA,MediaShield RAID 0.1.0+1.5,[empty]
nForce Professional 3600 and 3050,MCP55 Pro,2006,AMD Opteron,[empty],HT 1 GHz 2000 MT/s,No,1.0a 56 lanes  12 links flexible x16: 2 slots,x16+x16,5 Ports,10 Ports Rev 2.0,2 Ports UDMA 133,12 Ports 3.0Gbit/s,4*1000 Mbit/s,HDA,MediaShield RAID 0.1.0+1.5,[empty]
Model,Code Name,Release Date,Processors Supported,Fabrication process (nm),FSB/HT Frequency (MHz),AGP,PCI-Express,SLI,PCI,USB,PATA,SATA,LAN,Sound,Features,Notes
nForce3 Go 120,[empty],2003,Turion 64,[empty],HT 400 MHz,AGP4X,No,No,6 Ports,6 Ports Rev 2.0,2 Ports UDMA 133,No,100 Mbit/s,AC'97 2.1,[empty],[empty]
nForce3 Go 150,[empty],2003,Turion 64,[empty],HT 600 MHz,AGP8X,No,No,6 Ports,6 Ports Rev 2.0,3 Ports UDMA 133,No,1000 Mbit/s,AC'97 2.1,[empty],[empty]
nForce 430 Go,[empty],2005,Turion 64  Sempron 64,[empty],HT 800 MHz,No,1.0a 18 lanes,No,6 Ports,8 Ports Rev 2.0,2 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,RAID 0.1.0+1.5,[empty]
nForce 610m,[empty],2007,Turion 64  Sempron 64,[empty],HT 1 GHz,No,1.1 4 lanes,No,5 Ports,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0Gbit/s,100 Mbit/s,HDA,Onboard GeForce 7000M,[empty]
nForce 630m,[empty],2007,Turion 64  Sempron 64,[empty],HT 1 GHz,No,1.1 20 lanes,No,5 Ports,10 Ports Rev 2.0,1 Ports UDMA 133,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 7150M,[empty]
nForce 8200M,[empty],2008,Turion 64  Sempron 64,[empty],HT3.0 2.6 GHz,No,2.0 4 lanes,No,5 Ports,10 Ports Rev 2.0,No,4 Ports 3.0Gbit/s,1000 Mbit/s,HDA,Onboard GeForce 8200M,[empty]
