OLAP Server,Company,Website,Latest stable version,Software license,License Pricing
Apache Kylin,Apache Software Foundation,[1],2.5.1,Apache 2.0,free
Druid,Open source community,[2],0.11.0,Apache 2.0,free
Apache Pinot (Incubating),Apache Software Foundation,[3],0.1.0,Apache 2.0,free
Essbase,Oracle,[4],11.1.2.4,Proprietary,[1]
IBM Cognos TM1,IBM,[5],10.2.2 FP7,Proprietary,-
icCube,icCube,[6],6.8.9,Proprietary,community/[2]
Infor BI OLAP Server,Infor,[7],10.6.0,Proprietary,-
Jedox OLAP Server,Jedox,[8],2019.3,Proprietary,[3]
Kyligence,Kyligence,[9],3.2.1,Proprietary,-
Kyvos,Kyvos Insights,[10],5.2,Proprietary,-
Microsoft Analysis Services,Microsoft,[11],2016,Proprietary,[4]
MicroStrategy Intelligence Server,MicroStrategy,[12],10.11,Proprietary,-
Mondrian OLAP server,Pentaho,[13],3.7,EPL,free
Oracle Database OLAP Option,Oracle,[14],11g R2,Proprietary,[5]
SAP NetWeaver BW,SAP,[15],7.30,Proprietary,-
SAS OLAP Server,SAS Institute,[16],9.4,Proprietary,-
OLAP Server,MOLAP,ROLAP,HOLAP,Offline
Apache Kylin,Yes,No,No,Yes
Druid,Yes,Yes,Yes,Yes
Apache Pinot (Incubating),Yes,Yes,Yes,Yes
Essbase,Yes,No,No,[empty]
IBM Cognos BI,Yes,Yes,Yes,[empty]
IBM Cognos TM1,Yes,No,No,Cognos Insight Distributed mode
icCube,Yes,No,No,Offline Cubes
Infor BI OLAP Server,Yes,No,No,Local cubes
Jedox OLAP Server,Yes,No,No,No
Kyligence,Yes,Yes,Yes,Yes
Kyvos,Yes,Yes,Yes,Yes
Microsoft Analysis Services,Yes,Yes,Yes,Local cubes  PowerPivot for Excel  Power BI Desktop
MicroStrategy Intelligence Server,Yes,Yes,Yes,MicroStrategy Office  Dynamic Dashboards
Mondrian OLAP server,No,Yes,No,[empty]
Oracle Database OLAP Option,No,Yes,No,[empty]
SAP NetWeaver BW,Yes,Yes,No,[empty]
SAS OLAP Server,Yes,Yes,Yes,[empty]
