OLAP server,Issue Tracking System,Forum/Blog,Roadmap,Source code
Apache Kylin,Jira,[41],[empty],Open
Druid,Druid – Github Issues,[42],[empty],Open
Apache Pinot (Incubating),Jira,[43],[empty],Open
Essbase,myOracle Support,[6],[7],Closed
IBM Cognos TM1,IBM Service Request,[8],[empty],Closed
icCube,YouTrack,[9],[empty],Closed
Infor BI OLAP Server,Infor Xtreme,[empty],Available upon request,Closed
Jedox OLAP Server,Mantis,[10],Available upon request,Open
Kyligence,Zendesk,[44],[empty],Closed
Kyvos,Zendesk,[empty],Available upon request,Open
Microsoft Analysis Services,Connect,[11],-,Closed
MicroStrategy Intelligence Server,MicroStrategy Resource Center,[12],-,Closed
Mondrian OLAP server,Jira,[13],[14],Open
Oracle Database OLAP Option,myOracle Support,[15],[empty],Closed
SAP NetWeaver BW,OSS,[16],[17],Closed
SAS OLAP Server,Support,[18],[empty],Closed
