Spanish,Portuguese,English
cola (< Lat. cauda),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. bestius; < Lat. cauda; < Lat. rapum; < Lat. linea),queue  file  tail
vaso (< Lat. vasum),copo (< Lat. cuppa),glass  cup
copo (< Lat. cuppa),floco (< Lat. floccus),flake
competencia (< Lat. competentia),concorrência  competição (< Lat. concurrentia; competitio),competition
despido (< Lat. expetere),demissão (< Lat. dimiss?o),dismissal  firing
oso (< Lat. ursus),urso (< Lat. ursus),bear
pez (< Lat. piscis),peixe (< Lat. piscis < Indo-European peisk),fish
polvo (< Lat. pulvis),pó (< Lat. pulv(er)is),dust
tienda (< Lat. tenda < tend?re),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish laubja; < Lat. negotium; < Fr. boutique < Lat. apotheca; < Lat. stabilire; < Lat. depositum),shop  business  depot
ganancia (< Gothic ganan),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish waidanjan; < Lat. lucrum; < Lat. interesse; < Lat. re- + dare; < Lat. profectus; < Lat. vincere; < Lat. accrescere + suffix -imo),profit  gain  interest
inversión (< Lat. inversionis),investimento (< Lat. investire),investment
embarazada (< Port. embaraçada),grávida (< Lat. grav? + -idus/-ida),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat. fraudis; < probably Lat. burr?la),swindle  fraud  trickery
exquisito (< Lat. exquisitus),refinado; esmerado (< Lat. re + finis; < Lat. exmerare),exquisite
molestia (< Lat. moles),incómodo  inconveniência  maçada (< Lat. incommodus; < Lat. inconvenientis; < Lat. matea + Port. -ada),inconvenience  disturbance
servicios (< Lat. servitium),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. lavabo; < Lat. lavatorium; < Fr. toilette; < Eng. water closet; < Lat. sanitas),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. canis)  cachorro (< Lat. catulus + Basque -orro),dog
berro (< Celt. beruros),agrião (< Gr. ágrios),watercress
aceite (< Ar. az-zayt),óleo (< Lat. oleum),oil
oficina (< Lat. offic?na < officium < opus + ficium),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. scriptor?um; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. carta + suffix -ório; < Fr. atelier; < Lat. departimentum; < Lat. + Gr departimentum; < Eng. workshop; < Fr. garage + Gr. ???? + Lat. mechanicus),office  workshop
firma (< Lat. firmus),assinatura (< Lat. signator),signature
presunto (< Lat. praesumptus),presumível  suspeito  provável (< Lat. praesumptus; < Lat. suspectum; < Lat. probabilis),presumed  suspect
risco (< Lat. resecare),falésia (< Fr. falaise),cliff
topo (< Lat. talpa),toupeira (< Lat. talpa + Port. -eira),mole  moleskin
Portuguese,Spanish,English
cola (< Lat. coloere),pegamento  cola (< Lat. pix  < Lat. coloere),glue
vaso (< Lat. vasum),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. testu),vase  flowerpot
floco (< Lat. floccus),copo (< Lat. cuppa),flake
competência (< Lat. competentia),aptitud  capacidad (< Lat. aptit?do; capac?t?tis),competence  competency
despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
osso (< Lat. ossum),hueso (< Lat. ossum),bone
pez (< Lat. pix),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ????????),pulpo (< Gr. ????????),octopus
tenda (< Lat. tenda < tend?re),tienda  lona  toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ganan),codicia  avaricia  afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae),greed  avarice  covetousness
inversão (< Lat. inversionis),inversión (< Lat. inversionis),inversion
embaraçada (< Lat. in + O.Port. baraça  of uncertain origin),avergonzada (< Lat. verecundia),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat. gutta; < Lat. fatig?re; < Lat. extenu?re),exhaustion  tiredness  wear out
esquisito (< Lat. exquisitus),raro  extraño  peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris),odd  strange  peculiar
moléstia (< Lat. molestiae),enfermedad  achaque  plaga  peste (< Lat. infirmitas; < Ar. šak?; < Lat. plaga; < Lat. pestis ),disease  plague
serviço (< Lat. servitium),servicio (< Lat. servitium),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek oxis + Lat. suffix -tatus),rusty
berro (< Lat. barrire),chillido  berrido (< Lat. cisclare; < Lat. barrire),screech  shriek
aceite (< Lat. accept?re),aceptado (< Lat. accept?re),accepted
oficina (< Lat. offic?na < officium),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????),auto repair centre  repair garage  workshop
firma (< Lat. firmus),empresa; compañía; sociedad  negocio (< Lat. prenhendere; companio; societas; nec otium),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. persuctus),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),risk  line
topo (< Gr. tópos),cumbre (< Lat. columen or culmen),top
Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat. coarctare,álibi < Lat. alibi,[empty]
store  shop,tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,[empty]
knee,rodilla < Lat. rotellam ('little wheel'),joelho < Lat. genuculum,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. e focus,Lar < Lat. Lar,[added]
street,calle < Lat. callem,rua < Lat. [viam] r?gam,[empty]
(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,[added]
highway  road,carretera < carreta + ?era < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,[empty]
retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,Brazilian Port. uses varejista
sales,rebajas < Lat. prefix 're' + bassus,saldos  liquidação < Ita. saldo < soldo  Lat. liquidus,[empty]
grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,[empty]
organic food,comida orgánica < Lat. + Greek comeder+organ?cum < órganon,alimentação biológica  Bio < Lat. + Greek alere + ????+?????,Brazilian Port. tends to use orgânica.
leather,piel < Lat. pellis,couro  coiro < Lat. c?r?um,Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'.
fight  brawl,pelea < Lat. pilus,briga < Ita. or Occitan briga,[empty]
riff-raff  mob,chusma < Genoese ciüsma < Gr. ????????,canalha < Occitan canalha,Brazilian Port. tends to use ralé  gentalha
police station,comisaría (de policía) < Lat. + Gr. comissarius + politia < ????????,esquadra  posto de polícia < Lat. + Gr. ex-quadrata  positus + politia < ????????,Brazilian Port. tends to use delegacia (de polícia)
litter  rubbish,basura < Lat. vers?ra,lixo < Lat. l?x < l?cis,[empty]
hole,agujero < Lat. + suffix acuc?la + ero,buraco < Proto-Germanic bur?  bur?n?[9],[empty]
drill,taladro < Lat. taratrum,berbequim < Fr. vilebrequin < Dutch wimmelkijn,Brazilian Por. uses furadeira
demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,[empty]
sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,[empty]
plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,[empty]
camshaft  camshaft tree,árbol de levas < Lat. arb?s + levare,árvore de cames < Lat. + Germanic arb?s + kamm,[empty]
gills,branquias < Lat. < Gr. branch?a < ???????,guelras < Proto-Germanic gelunaz,In zoology  Port. also uses brânquias (branchiae).
goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
chicken,pollo < Lat. pullus,frango < Probably Fr. francolin < Ita. francolino  all of uncertain origin,[empty]
lamp,lámpara < Lat. lamp?da,'candeeiro < Lat. candelae,Portuguese lâmpada usually means 'light bulb' (except in certain idioms  like lâmpada de Aladino  i.e.  'Aladdin's lamp')
meal,comida < Lat. comedere,refeição  repasto (arch.) < Lat. refectionis  re+pastus,Portuguese 'comida' means food
owl,búho < Lat. bubo,coruja (*maybe from Lat. cunicularis) of uncertain origin,[empty]
kennel,perrera < uncertain origin  perhaps Pre-Roman. perro + era,canil < Lat. canis + il,[empty]
cattery,criadero < Lat. cre?re + era,gatil < Proto-Ger. kattuz + il,[empty]
ground,suelo < Lat. solum,chão < Lat. planus,Port. also has solo.
office,despacho < Lat. dispactus,gabinete  escritório < Occitan  Lat. cabana  script?rium,[empty]
ground floor,planta baja < Lat. planta + bassus,rés-do-chão  rés-de-chão< Lat. r?sus + planus,Brazilian Port. tends to use térreo
buoy,flotador < Fr. + Sp. suffix flotter + dor,boia < Old Fr. bouée < Frankish baukan,[empty]
nappy  diaper (baby),pañal < Lat. pannus,fralda < Gothic falthan/faldan,[empty]
performance,representación < Lat. representatio,performance < Eng 'performance' < Anglo-French performer < parfornir,[empty]
preemptive,preventivo < Lat. praeventus,preemptivo < Eng 'preemptive' < Lat praeemptio,[empty]
report,informe < Lat. informis,relatório < Lat. relatus + ório suffix < refferre,[empty]
highlight,realce < Lat. + prefix re + altiare,destaque < Germanic stak,[empty]
prison,cárcel < Lat. carcer,prisão< Lat. prehensionis,Span. also has prisión and Port. archaic cárcere.
squirrel,ardilla < Pre-Roman harda or probably Berber a?árda,esquilo Lat. sc?r??lus < Gr. ????????,[empty]
garret  mansard,zaquizamí [10] buhardilla < Hisp-Ar. ??? ?? ?????? (saqf fassam?)  < Lat. bufus < buharda,água-furtada  mansarda < Lat. aquam + furtus  < Fr. mansarde < François Mansart (architect),[empty]
watercress,berro < Celtic b?r?ro,agrião < Gr. ??????,[empty]
mint,menta < Lat. mentha < Gr. ?????,hortelã < Lat. hortus,Port. also has menta.
sour cherry,cereza gordal < Lat. cerasium + gurdus,ginja < Frankish w?hsina,[empty]
stepchild,hijastro(a) < Lat. filiaster,enteado(a) < Lat. ante + natum,[empty]
step-brother,hermanastro(a) < Lat. + suffix germanus + astro,meio-irmã(o) < Lat. medius + germ?nus,[empty]
stump  amputated limb,muñón < Pre-Roman/Basque muno,coto < Celtic-Goidelic cotach < cuid,[empty]
baby changing (area),cambiador (infantil) < Lat + dor cambium,fraldário < Gothic + arius faldan,[empty]
