Spanish,Portuguese,English
cola (< Lat. cauda),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. bestius; < Lat. cauda; < Lat. rapum; < Lat. linea),queue  file  tail
vaso (< Lat. vasum),copo (< Lat. cuppa),glass  cup
copo (< Lat. cuppa),floco (< Lat. floccus),flake
competencia (< Lat. competentia),concorrência  competição (< Lat. concurrentia; competitio),competition
despido (< Lat. expetere),demissão (< Lat. dimiss?o),dismissal  firing
oso (< Lat. ursus),urso (< Lat. ursus),bear
pez (< Lat. piscis),peixe (< Lat. piscis < Indo-European peisk),fish
polvo (< Lat. pulvis),pó (< Lat. pulv(er)is),dust
tienda (< Lat. tenda < tend?re),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish laubja; < Lat. negotium; < Fr. boutique < Lat. apotheca; < Lat. stabilire; < Lat. depositum),shop  business  depot
ganancia (< Gothic ganan),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish waidanjan; < Lat. lucrum; < Lat. interesse; < Lat. re- + dare; < Lat. profectus; < Lat. vincere; < Lat. accrescere + suffix -imo),profit  gain  interest
inversión (< Lat. inversionis),investimento (< Lat. investire),investment
embarazada (< Port. embaraçada),grávida (< Lat. grav? + -idus/-ida),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat. fraudis; < probably Lat. burr?la),swindle  fraud  trickery
exquisito (< Lat. exquisitus),refinado; esmerado (< Lat. re + finis; < Lat. exmerare),exquisite
molestia (< Lat. moles),incómodo  inconveniência  maçada (< Lat. incommodus; < Lat. inconvenientis; < Lat. matea + Port. -ada),inconvenience  disturbance
servicios (< Lat. servitium),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. lavabo; < Lat. lavatorium; < Fr. toilette; < Eng. water closet; < Lat. sanitas),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. canis)  cachorro (< Lat. catulus + Basque -orro),dog
berro (< Celt. beruros),agrião (< Gr. ágrios),watercress
aceite (< Ar. az-zayt),óleo (< Lat. oleum),oil
oficina (< Lat. offic?na < officium < opus + ficium),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. scriptor?um; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. carta + suffix -ório; < Fr. atelier; < Lat. departimentum; < Lat. + Gr departimentum; < Eng. workshop; < Fr. garage + Gr. ???? + Lat. mechanicus),office  workshop
firma (< Lat. firmus),assinatura (< Lat. signator),signature
presunto (< Lat. praesumptus),presumível  suspeito  provável (< Lat. praesumptus; < Lat. suspectum; < Lat. probabilis),presumed  suspect
risco (< Lat. resecare),falésia (< Fr. falaise),cliff
topo (< Lat. talpa),toupeira (< Lat. talpa + Port. -eira),mole  moleskin
Portuguese,Spanish,English
cola (< Lat. coloere),pegamento  cola (< Lat. pix  < Lat. coloere),glue
vaso (< Lat. vasum),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. testu),vase  flowerpot
floco (< Lat. floccus),copo (< Lat. cuppa),flake
competência (< Lat. competentia),aptitud  capacidad (< Lat. aptit?do; capac?t?tis),competence  competency
despido (< Lat. expedire),desnudo (< Lat. ex + nudus),naked
osso (< Lat. ossum),hueso (< Lat. ossum),bone
pez (< Lat. pix),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ????????),pulpo (< Gr. ????????),octopus
tenda (< Lat. tenda < tend?re),tienda  lona  toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ganan),codicia  avaricia  afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae),greed  avarice  covetousness
inversão (< Lat. inversionis),inversión (< Lat. inversionis),inversion
embaraçada (< Lat. in + O.Port. baraça  of uncertain origin),avergonzada (< Lat. verecundia),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat. gutta; < Lat. fatig?re; < Lat. extenu?re),exhaustion  tiredness  wear out
esquisito (< Lat. exquisitus),raro  extraño  peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris),odd  strange  peculiar
moléstia (< Lat. molestiae),enfermedad  achaque  plaga  peste (< Lat. infirmitas; < Ar. šak?; < Lat. plaga; < Lat. pestis ),disease  plague
serviço (< Lat. servitium),servicio (< Lat. servitium),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek oxis + Lat. suffix -tatus),rusty
berro (< Lat. barrire),chillido  berrido (< Lat. cisclare; < Lat. barrire),screech  shriek
aceite (< Lat. accept?re),aceptado (< Lat. accept?re),accepted
oficina (< Lat. offic?na < officium),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????),auto repair centre  repair garage  workshop
firma (< Lat. firmus),empresa; compañía; sociedad  negocio (< Lat. prenhendere; companio; societas; nec otium),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. persuctus),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio}}),risk  line
topo (< Gr. tópos),cumbre (< Lat. columen or culmen),top
