Name,Type checker,Determinacy checker,Call-pattern checker
Ciao,Yes,Yes,Yes
GNU Prolog,[empty],[empty],[empty]
Jekejeke Prolog,[empty],[empty],[empty]
SICStus Prolog,[empty],Yes,[empty]
SWI-Prolog,[empty],Yes,[empty]
Visual Prolog,Yes,Yes,Yes
XSB,[empty],[empty],[empty]
YAP-Prolog,[empty],[empty],[empty]
Name,Tail-Call Optimization,Choice Point Elimination,Environment Trimming,Just-in-Time Indexing
Ciao,Yes,Yes,Yes,?
ECLiPSe,Yes,Yes,Yes,multi-argument (compile time)
GNU Prolog,Yes,Yes,Yes,?
Jekejeke Prolog,Yes (runtime),Yes (runtime),Yes (runtime),Yes
SICStus Prolog,Yes,Yes,Yes,[empty]
SWI-Prolog,Yes,Yes,Yes,Yes
Visual Prolog,Yes (compile time),Yes (compile time),N/A,N/A (compile time)
XSB,Yes,Yes,Yes,?
YAP-Prolog,Yes,Yes,Yes,Yes
