Name,Developer,Status,First release,Latest release,Current version,Based on,License,Source available
AbsoluteTelnet,Celestial Software (Brian Pence),Active,1996,2016-10-12,10.16[1],[empty],Proprietary,No
ConnectBot,Kenny Root / Jeffrey Sharkey,Active,2007-11,2018-11-09,1.9.2 [2],Trilead SSH-2 for Java,Apache,Yes
CRAX Commander,Soft4U2 Marcin S?owik,Active,2013-09,2015-12-01,1.10.6,libSSH2,Proprietary,Yes
Dropbear,Matt Johnston,Active,2003-04-06,2017-05-18,2017.75,[empty],MIT,Yes
eSSH Client,Ecode Software,Inactive,2002-07,[empty],[empty],[empty],Proprietary,No
lsh,Niels Möller,Active,1999-05-23,2013-06-26,2.1,[empty],GPL,Yes
OpenSSH (OpenBSD Secure Shell),The OpenBSD project,Active,1999-12-01,2019-4-17,8.0,ossh,BSD,Yes
PuTTY,Simon Tatham,Active,1999-01-22,2019-03-16,0.73[3],[empty],MIT,Yes
SecureCRT,VanDyke Software,Active,1998-06,2018-11-15,8.5.2[4],[empty],Proprietary,No
SSH Tectia Client/ConnectSecure,SSH Communications Security (former Tectia),Active,1995-07,2017-06-22,6.4.15,Own implementation in C,Proprietary,No
SSH Secure Shell Client,SSH Communications Security Corp.,Inactive,2000,2003,3.2.9[5],[empty],Proprietary,No
Tera Term,TeraTerm Project,Active,2004,2018-08-31,4.100[6],Tera Term Pro 2.3 (1994–1998),BSD,Yes
TN3270 Plus,SDI USA  Inc.,Active,2006,[empty],[empty],[empty],Proprietary,No
TtyEmulator,FCS Software,Active,2002-05,[empty],[empty],[empty],Proprietary,No
ZOC Terminal,EmTec  Innovative Software,Active,1995-07-01,2018-10-17,7.21.1[7],[empty],Proprietary,No
Name,macOS,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
AbsoluteTelnet,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
ConnectBot,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
CRAX Commander,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Dropbear,Yes,No,Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes[Note 1],No,Yes,?
eSSH Client,Yes,Yes,?,Yes,Yes,Yes,?,?,?,No,No,No,No,No,?
lsh,Yes,No,No,Partial[Note 2],Yes,Yes,?,?,?,No,No,No,No,No,?
OpenSSH (OpenBSD Secure Shell),Included,Included[Note 3],Included,Included,Included[Note 4],Yes,?,Yes,Yes,Yes,Yes,Yes[Note 1],Yes,Yes,?
PuTTY,Partial,Yes,?,Yes,Yes,Yes,No,?,?,No,No,No,No,No,Beta
SecureCRT,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,?
SmartFTP,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
SSH Tectia Client/ConnectSecure,No,Yes,No,No,Yes,Yes,Yes[Note 5],No,Yes,Yes,Yes,No,No,No,?
Tera Term,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
TN3270 Plus,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
TtyEmulator,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
WinSCP,No,Yes,No,No,No,No,No,No,No,No,No,Yes[Note 1],No,No,?
ZOC,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
Name,OS X,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HP-UX,iOS,Android,Maemo,Windows Phone
Name,Keyboard mapping,Session tabs,ZMODEM transfers,Find text in buffer,Mouse input support[Note 1],Unicode support,URL hyperlinking,Public key authentication,Smart card support,Hardware encryption,FIPS 140-2 validation,Scripting,Shared Database,Auto-reconnect,CA Certificates
AbsoluteTelnet,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,?,?
OpenSSH (OpenBSD Secure Shell),?,No,No,?,Yes[Note 2],Yes,not native[Note 3],Yes,Yes[Note 4],Yes,Partial[Note 5],No,No,?,Yes[Note 6]
PuTTY,No,No[Note 7],No,No,Yes,Yes,No[Note 8],Yes,No[Note 9],Yes,No,No,No,No,No[Note 10]
SecureCRT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,?,?
SmartFTP,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,AES-NI,Yes,No,?,?,?
Tera Term,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,?,?
TN3270 Plus,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,?,?,?
TtyEmulator,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,?,?,?
ZOC,full,Yes,Yes,Alt+F,Yes,UTF-8,Yes,Yes,pkcs#11,No,No,Yes,?,?,?
