Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB)[1],Initial Release,Latest Stable Release
2bwm,C,[empty],Stacking,[empty],No,Yes,[empty],[empty],[empty],Yes,[empty],[empty],[added]
9wm,C,MIT,Stacking,No,No,No,[empty],Yes,No,No,0.4,1994,[added]
aewm,C,MIT,Stacking,No,No,No,Yes,Yes,No,No,[empty],[empty],[added]
awesome,C  Lua,GPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,9,2007-09-18,[added]
Blackbox,C++,MIT,Stacking,No,third-party,with bbkeys,through 0.65 / from 0.70[2],Yes,No,Yes,3,[empty],[added]
bspwm,C,BSD[3],Tiling,No,No,with sxhkd,Partial,No,No,No,[empty],2013-04-23,[added]
Compiz,C (OpenGL),MIT,Compositing,Yes,Yes,Yes,Yes,third-party,Yes,Yes,[empty],2006,2016-11-11
cwm,C,ISC,Stacking,no titlebar buttons,No,Yes,[empty],No,No,Yes,[empty],2004-07-10,[added]
dwm,C,MIT,Dynamic,no titlebar buttons,No,Yes,[empty],Yes,No,Yes,1,2006-07-14,[added]
Enlightenment,C,BSD,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,[empty],1997,2019-08[4]
evilwm,C,MIT[5],Stacking,no titlebar buttons,No,Yes,Partial[6],No,No,Yes,No[citation needed],[empty],[added]
EXWM,Emacs Lisp,GPL,Tiling,No,No,Yes,Partial,No,No,Yes,[empty],[added],[added]
Fluxbox,C++,MIT,Stacking,Yes,third-party,Yes,Yes[7],Yes,Yes,Yes,16,[empty],[added]
FLWM,C++ (FLTK),GPL,Stacking,[empty],No,Yes,[empty],There is a window list menu,No,No,[empty],1998,[added]
FVWM,C,GPL,Dynamic,Yes,No,Yes,Yes,Yes,Yes[8],third-party[9][10],4,1993-06-01,[added]
i3,C,BSD,Dynamic,no titlebar buttons,No,Yes,Yes,No,Yes,Yes,3,2009-03-15,[added]
IceWM,C++,LGPL,Stacking,Yes,third-party,Yes,Yes,Yes,No,Yes,4.5,1997,2019-03-27
Ion,C  Lua,LGPL with naming restrictions on modified versions,Tiling,no titlebar buttons,No,Yes,[empty],No,Yes,Yes,[empty],2000,2009-01-10
JWM,C,MIT (Formerly GPL),Stacking,Yes,third-party,Yes,EWMH,Yes,No,Yes,3,2003,[added]
KWin (KDE),C++ (Qt),GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,41,[empty],2019-01
Matchbox,C,GPL,Stacking,[empty],[empty],[empty],EWMH compliance,No,No,Yes,[empty],2007-04-13,[added]
Metacity (GNOME),C  C++ (GTK+),GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,[empty],2002-10,2016-09
Mutter (GNOME/MeeGo),C (Clutter),GPL,Compositing,Yes,Yes,Yes,Yes,Gnome Shell,No,Yes,18.6,2011-04,2018-09
mwm (Motif Window Manager),C,The Open Group Public License,Stacking,No,No,Yes,[empty],[empty],[empty],can change colours,[empty],1989,[added]
Openbox,C,GPL,Stacking,Yes,third-party,Yes,Yes,third-party,No,Yes,7,2002-09-18,[added]
PekWM,C++,GPL,Stacking,Yes,No,Yes,Partial,No,Yes,Yes,5.3,[empty],[added]
PlayWM,C,GPL,Stacking,Yes,No,Yes,Yes,Yes,No,Yes,[empty],[empty],[added]
Ratpoison,C,GPL,Tiling,No,No,Yes,No,No,No,No,1,2000-12-04,[added]
Sawfish,Lisp  C,GPL,Stacking,Yes,Yes,Yes,Partial,Yes,primitive,Yes,3.1,2000-01-01,[added]
sithWM,C,GPL,Stacking,no titlebar buttons,No,Yes,[empty],No,No,Yes,[empty],[empty],[added]
spectrwm,C,ISC,Dynamic,no titlebar buttons,No,Yes,Yes,No,No,solid colors,[empty],[empty],[added]
steamcompmgr,unknown,BSD-2-clause,Compositing,No,No,Yes,[empty],No,No,No,[empty],2013,[added]
StumpWM,Common Lisp,GPL,Tiling,No,No,Yes,No,No,No,No,[empty],[empty],[added]
twm,C,MIT,Stacking,Yes,No,Yes,[empty],Yes,No,solid colors,1.2,1987,[added]
WMFS,C,BSD,Tiling,Yes,No,Yes,Yes,Yes,Yes,Yes,[empty],[empty],[added]
Window Maker,C,GPL,Stacking,No,Yes,Yes,Partial,Yes,Yes,Yes,7,1997,2017-03-11
Wingo,Go,WTFPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,[empty],[empty],[added]
wmii,C,MIT,Dynamic,Yes,No,Yes,Yes,No,Yes,Yes,[empty],2005-06-01,[added]
Xfwm (Xfce),C  C++ (GTK+),GPL  LGPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,70,1996,2019-08-12
xmonad,Haskell,BSD,Dynamic,Yes,No,Yes,Yes / ?,third-party,Yes,Yes,2,2007-03-06,[added]
uwm,C,Similar to BSD license,Stacking,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],1985,[added]
Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB),Initial release,Last Stable Release
