Assembler,License,Instruction set,Host platform
Atari Assembler Editor,Proprietary,MOS Technology 6502,Atari 8-bit family
Atari Macro Assembler,Proprietary,MOS Technology 6502,Atari 8-bit family
Lisa,Proprietary,MOS Technology 6502,Apple II series
MAC/65,Proprietary,MOS Technology 6502  WDC 65C02,Atari 8-bit family
Merlin,Free,MOS Technology 6502  WDC 65C02,Apple II series
vasm,Free,MOS Technology 6502,various
k2asm,Artistic License,MOS Technology 6502,Linux  Windows  macOS  possibly other Unices
Assembler,Open source,License,Instruction set,Host platform,Development active
ASM-One Macro Assembler,No,Free,Motorola 680x0,Commodore Amiga,No
vasm,No,Proprietary,Motorola 680x0,various,Yes
Assembler,License,Instruction set,Host platform
GNU Assembler,Free,ARM,various
vasm,Free,ARM,various
Assembler,License,Instruction set,Host platform
BAL,Free,IBM System/360,IBM BPS/360
HLASM,Proprietary,z/Architecture,numerous
IBM Assembler D,Free,IBM System/360,IBM DOS/360
IBM Assembler E,Free,IBM System/360,IBM OS/360
IBM Assembler F,Free,IBM System/360,IBM OS/360 and CP-67/CMS
IBM Assembler H,Proprietary,IBM System/360 and System/370,IBM OS/360 and successors
IBM Assembler XF,Free,IBM System/370,numerous
PL360,Free,IBM System/360,IBM OS/360
Assembler,License,Instruction set,Host platform
IBM AIX assembler,Proprietary,POWER,IBM AIX
vasm,Free,PowerPC,various
Assembler,Operating system,FLOSS,License,Development active
A86/A386,Windows  DOS,No,Proprietary,No
ACK,Linux  MINIX  Unix-like,Yes,BSD since 2003,1985-? [1]
IBM ALP,OS/2,No,Proprietary,No
AT&T,Unix System V,No,Proprietary,1985-?[2]
Digital Research ASM86,CP/M-86  DOS  Intel's ISIS and iRMX,No,Proprietary,1978-1992
FASM,Windows  DOS  Linux  Unix-like,Yes,BSD with added Copyleft,Yes
GAS,Unix-like  Windows  DOS  OS/2,Yes,GNU GPL,Since 1987
HLA,Windows  Linux  FreeBSD  macOS,Yes,Public domain,Yes
Open Watcom Assembler (HJWASM a.k.a. UASM  JWASM  WASM),Linux  Windows  DOS  FreeBSD  OS/2,approved by OSI  but not by FSF,Sybase Open Watcom Public,Yes
MASM,Windows  DOS  OS/2,No,Microsoft EULA,Since 1981[3]
NASM,Linux  macOS  Windows  DOS  OS/2,Yes,BSD,Yes
Tim Paterson's ASM,86-DOS  DOS DEBUG,No,Proprietary,1979-1983
TASM,Windows  DOS,No,Proprietary,?[4][5]
TCCASM,Unix-like  Windows,Yes,LGPL,Yes
vasm,various,Yes,Free,Yes
Xenix,Xenix 2.3 and 3.0 (before 1985),No,Proprietary,1982-1984
Yasm,Windows  DOS  Linux  Unix-like,Yes,BSD,No[6]
Assembler,Operating system,Open source,License,Development active
FASM,Windows  DOS  Unix-like,Yes,BSD,Yes
GAS,Unix-like  Windows  DOS  OS/2,Yes,GNU GPL,Yes
MASM,Windows  DOS  OS/2,No,Commercial,Yes
NASM,Windows  Linux  macOS  DOS  OS/2,Yes,BSD,Yes
Open Watcom Assembler,Windows  DOS  Linux  FreeBSD  OS/2,Yes,Sybase Open Watcom Public,Yes
POASM,Windows  Windows Mobile,No,Freeware,Yes
TCCASM,Unix-like  Windows,Yes,GNU LGPL,Yes
Yasm,Windows  DOS  Unix-like,Yes,BSD,No
Assembler,License,Instruction set,Host platform
Assembly Language for Multics (ALM),MIT,GE-645 Honeywell 6180,GE-645 Honeywell 6180
The Macroassembler AS,Free,29xxx  AVR  65816  ACE  F2MC-8L  F2MC-16L  HMCS400  6301  6309  H8/300(H)  H8/500  SH7000 / SH7600 / SH7700  HuC6280  PPC403GA  4004/4040  8008  MCS-48  MCS-41  MCS-51  MCS-251  MCS-96/196/296  8080/8085  8086/80186  i960  CDP1802(A)/1804(A)/1805(A)  LatticeMico8  PIC 16C5x  PIC 16C8x  PIC 17C42  MELPS-740  MELPS-7700  MELPS-4500  M16  M16C  68000 (up to 68040)  ColdFire  DSP56000  DSP56300  PowerPC 601/505  M-Core  6800  68HC11(K4)  6805  68HC(S)08  6809  68HC12 incl. XGATE  68HC16  68RS08  SC/MP  INS807x  COP4  COP8  SC14xxx  µpD7720/7725  µpD77230  µpD78C1x  75K0  78K0  78K2  78K3  78K4  V30/35  OLMS-40  OLMS-50  XA  6502  (W)65(S)C02  65C19  80C382  80C166/167  2650  8X30x  ST6  ST7  ST9  6804  SYM53C8xx  TMS3201x  TMS320C2x  TMS320C20x  TMS320C3x  TMS320C4x  TMS320C5x  TMS320C54x  TMS320C6x  TMS7000  TMS9900  TMS370xxx  MSP430(X)  TLCS-900  TLCS-90  TLCS-870  TLCS-47  TLCS-9000  TC9331  KCPSM/KCPSM3 ('PicoBlaze')  Z80  Z180  Z380  Z8  eZ8  MIL STD 1750,Win32  DOS/DPMI  DOS (no longer maintained)  OS/2 (no longer maintained)  Linux
Babbage,Proprietary,GEC 4000 series,GEC 4000 series
