Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
Ardour,The Ardour Community,GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
AudioDesk,Mark of the Unicorn,Proprietary,No,Yes,No,No,[empty],[empty],[empty]
Audition,Adobe Systems,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Bitwig Studio,Bitwig,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Cakewalk by BandLab[1],BandLab Technologies,Proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Cubase,Steinberg,Proprietary,Yes,Yes,No,Yes,[empty],[empty],Requires hardware dongle
Digital Performer,Mark of the Unicorn,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
FL Studio,Image-Line,Proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
GarageBand,Apple,Proprietary,No,Yes,No,Yes,[empty],[empty],[empty]
Harrison Mixbus,Harrison Consoles,Proprietary,Yes,Yes,Yes,No,[empty],NFS,[empty]
Kristal,Kreatives,Proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Live,Ableton,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
LMMS,Tobias Doerffel,GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
Logic Pro,Apple,Proprietary,Discontinued (last version: 5.5.1),Yes,No,No,[empty],[empty],[empty]
Mixcraft,Acoustica,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
mp3DirectCut,Martin Pesch,Proprietary Freeware,Yes,No,No,No,[empty],[empty],[empty]
MuLab,MuTools,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
MultitrackStudio,Bremmers Audio Design,Proprietary,Yes,Yes,No,Yes,[empty],[empty],[empty]
MusE,MuseE,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
n-Track,Fasoft,Proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
Nuendo,Steinberg,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Podium,Zynewave,Proprietary / Freemium,Yes,No,No,No,[empty],[empty],[empty]
Pro Tools,Avid,Proprietary,Yes,Yes,No,No,[empty],MediaNet (proprietary),Yes
Qtractor,Qtractor,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
REAPER,Cockos,Proprietary,Yes,Yes,Yes (pre-beta),Yes,[empty],[empty],[empty]
Reason,Propellerhead Software,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Record,Propellerhead Software,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Renoise,Renoise Team,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Rosegarden,Rosegarden,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
Samplitude/Sequoia,Magix,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
Soundscape 32,Mackie,Proprietary,Yes,No,No,No,[empty],[empty],External 2U rack unit
Studio One,PreSonus,Proprietary,Yes,Yes,No,No,[empty],SoundCloud,[empty]
Tracktion,Tracktion Software Inc,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,[empty],Network storage,External hardware
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,Proprietary,Yes,Yes,No,No,No,No,Unknown,Unknown
Audacity,Audacity Team,GNU GPL,Yes,Yes,Yes,Yes,Yes,No,NFS,[empty]
Audiotool,Hobnox,Proprietary,Yes,Yes,Not officially supported,Yes,No,Yes,NFS,Optional MIDI support
BIAS Peak,BIAS,Proprietary,No,Yes,No,No,No,No,[empty],[empty]
Diamond Cut ART,Diamond Cut Productions,Proprietary,Yes,No,No,No,No,No,Unknown,Unknown
Ecasound,Kai Vehmanen,GNU GPL,No,Yes,No,Yes,Yes,No,Unknown,Unknown
Goldwave,Goldwave Inc.,Proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Jokosher,Jokosher,GNU GPL,Yes,No,No,Yes,No,No,NFS,[empty]
NU-Tech,Leaff Engineering,Proprietary,Yes,No,No,No,No,No,[empty],[empty]
RiffWorks,Sonoma Wire Works,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sound Forge,Magix,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Soundbooth,Adobe Systems,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
SoX,Chris Bagwell  et al.,GNU GPL,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
SpectraLayers,Sony,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sweep,Conrad Parker,GNU GPL,No,No,No,Yes,Yes,No,[empty],[empty]
Total Recorder,HighCriteria,Proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Traverso DAW,Traverso,GNU GPL,Yes,Yes,No,Yes,No,No,NFS,[empty]
WaveLab,Steinberg,Proprietary,Yes,Yes,No,No,No,No,[empty],External gear  MIDI
WavePad,NCH Software,Proprietary / Freemium,Yes,Yes,Yes,No,No,No,[empty],[empty]
WaveSurfer,Centre for Speech Technology at KTH,BSD-like,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
