Format:,Sony media
Published as:,.lrf; .lrx
Format:,compressed images
Published as:,.cbr (RAR); .cbz (ZIP); .cb7 (7z); .cbt (TAR); .cba (ACE)
Format:,Microsoft Compiled HTML Help
Published as:,.chm
Format:,DAISY
Published as:,[empty]
Format:,DjVu
Published as:,.djvu
Format:,Microsoft Word
Published as:,.DOC
Format:,Microsoft Word (XML)
Published as:,.DOCX
Format:,Palm Media
Published as:,.pdb
Format:,FictionBook
Published as:,.fb2
Format:,Apabi Reader
Published as:,.xeb; .ceb
Format:,Hypertext
Published as:,.htm; .html and typically auxiliary images  js and css
Format:,iBook
Published as:,.ibooks
Format:,IEC 62448
Published as:,[empty]
Format:,IBM & Open Source
Published as:,.inf
Format:,Kindle
Published as:,.azw; .azw3 or .kf8; .kfx
Format:,Microsoft Reader
Published as:,.lit
Format:,Mobipocket
Published as:,.prc; .mobi
Format:,Eveda
Published as:,.exe or .html
Format:,Newton Digital Book
Published as:,.pkg
Format:,Open eBook
Published as:,.opf
Format:,Portable Document Format
Published as:,.pdf
Format:,text
Published as:,.txt
Format:,Plucker
Published as:,.pdb
Format:,PostScript
Published as:,.ps
Format:,Rich Text Format
Published as:,.rtf
Format:,SSReader
Published as:,.pdg
Format:,TEI Lite
Published as:,.xml[citation needed]
Format:,TomeRaider
Published as:,.tr2; .tr3
