Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Akregator,No,Yes,Yes,Yes,Yes,No,No,No
Amarok,Yes,Yes,Yes,Yes,Yes,No,No,No
AOL Explorer,Yes,No,No,No,No,No,No,No
Avant,Yes,No,No,No,No,No,No,No
Awasu,Yes,No,No,No,No,No,No,No
BlogBridge,Yes,Yes,Yes,No,No,No,No,No
Canto,No,No,Yes,No,No,No,No,No
Claws Mail,Yes,Yes,Yes,Yes,Yes,No,No,Maemo
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Client side: every platform with a web browser Server side: every platform with Java
Cooliris,Yes,Yes,No,No,No,No,No,No
Feed Viewer,Yes,No,No,No,No,No,No,Windows Phone
FeedDemon,Yes,No,No,No,No,No,No,No
Feedreader,Yes,No,No,No,No,No,No,No
Flock,Yes,Yes,Yes,Yes,No,No,No,No
Gnus,Yes,Yes,Yes,Yes,Yes,Yes,No,DOS
IBM Lotus Notes,Yes,Yes,Yes,No,No,No,No,No
Inoreader,Yes,Yes,Yes,No,No,Yes,Yes,No
Internet Explorer,Included,No,No,No,No,No,No,No
iTunes,Yes,Included,No,No,No,No,No,No
Juice,Yes,Yes,No,No,No,No,No,No
K-Meleon,Yes,No,No,No,No,No,No,No
Kazehakase,No,No,Yes,Yes,No,No,No,No
Liferea,No,No,Yes,Yes,No,No,No,No
Mail (OS X),No,Included,No,No,No,No,No,No
Maxthon,Yes,No,No,No,No,No,No,No
MediaMonkey,Yes,No,No,No,No,No,No,No
Microsoft Office Outlook,Yes,Yes,No,No,No,No,No,Windows Mobile
Mozilla Firefox,Add-on,Add-on,Add-on,Add-on,No,No,No,No
Mozilla Thunderbird,Yes,Yes,Yes,Yes,No,No,No,No
NetNewsWire,No,Yes,No,No,No,No,No,No
Netscape Browser,Yes,No,No,No,No,No,No,No
Netscape Navigator 9,Yes,Yes,Yes,No,No,No,No,No
NewsAccess,No,Yes,No,No,No,No,No,No
NewsBlur,Web based,Web based,Web based,Web based,Web based,Yes,Yes,every platform with a web browser
NewsFire,No,Yes,No,No,No,No,No,No
OmniWeb,No,Yes,No,No,No,No,No,No
Opera Mail,Yes,Yes,Yes,Yes[37],Dropped,No,No,BeOS  QNX  OS/2
Pegasus Mail,Yes,No,No,No,No,No,No,No
Protopage,Web based,Web based,Web based,Web based,Web based,Dedicated Web App,Dedicated Web App,every platform with a Web browser
Pulse,Web based,Web based,Web based,Web based,Web based,Dedicated App,Dedicated App,every platform with a Web browser
QuiteRSS,Yes,Yes,Yes,No,No,No,No,Source code available
Rhythmbox,No,No,Yes,Yes,Yes,No,No,No
RSS Bandit,Yes,No,No,No,No,No,No,No
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,No,every platform with Java and SWT
Safari,Yes,Included,No,No,No,No,No,No
Sage,Yes,Yes,Yes,No,No,No,No,No
SeaMonkey Mail & Newsgroups,Yes,Yes,Yes,Yes,No,No,No,No
Shiira,No,Yes,No,No,No,No,No,No
Sleipnir,Yes,No,No,No,No,No,No,No
Songbird,Yes,Yes,Yes,No,Yes,No,No,No
The Bat!,Yes,No,No,No,No,No,No,No
The Old Reader,Web based,Web based,Yes,Web based,Web based,Multiple apps,Multiple apps,Windows Phone  Symbian  WebOS  Firefox OS
Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,every platform with a web browser
Winamp,Yes,No,Obsolete,No,No,No,No,No
Windows Live Mail,Yes,No,No,No,No,No,No,No
Zimbra,Yes,Yes,Yes,Yes,No,No,No,No
Zune,Yes,No,No,No,No,No,No,Windows Mobile
Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
Akregator,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Amarok,?,?,Yes,Yes,Yes,?,Yes,?,No,?,Yes
AOL Explorer,?,?,?,?,?,?,Yes,?,?,Yes,?
Avant,?,?,?,?,?,?,Yes,?,?,Yes,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,any XML format (via XSL),?,Yes,Yes
BlogBridge,?,?,?,?,?,?,?,?,?,?,?
Canto,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,Yes
Claws Mail,?,No,Yes,Yes,?,?,Yes,?,No,Yes,Yes
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0[38],No,Yes,Yes
Cooliris,?,?,?,?,Yes,Yes,?,?,No,?,?
Feed Viewer,?,Yes,Yes,Yes,Yes,Yes,Yes,CDF  RDF,No,Yes,Yes
FeedDemon,Yes,?,?,?,?,?,?,?,Yes,?,?
Feedreader,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes
Flock,Yes,?,?,?,?,Yes,Yes,?,?,Yes,Yes
Gnus,?,Yes,Yes,Yes,?,?,No,Newsgroups,?,Yes,No
IBM Lotus Notes,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
Internet Explorer,No,Yes,Yes,Yes,Yes,?,Yes,Web Slice,Yes,Yes,Yes
iTunes,?,?,?,Yes,Yes,?,Yes,?,No,?,Yes
Juice,?,?,?,?,Yes,?,?,?,No,?,?
K-Meleon,?,?,?,?,?,?,Yes,?,?,Yes,?
Kazehakase,?,?,?,?,?,?,?,LIRS  HINA-DI,?,Yes,?
Liferea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes[39],Yes
Mail (OS X),?,?,?,Yes,?,?,Yes,?,No,Yes,Yes
Maxthon,?,?,?,?,?,?,Yes,?,Yes,Yes,?
MediaMonkey,?,?,?,?,Yes,?,?,?,?,?,?
Microsoft Office Outlook,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Miro,?,?,?,?,Yes,Yes,?,?,?,?,?
Mozilla Firefox,?,Add-on,Add-on,Add-on,?,Add-on,Add-on,?,No,Add-on,Add-on
Mozilla Thunderbird,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,No,Yes,Yes
NetNewsWire,Yes,?,?,?,?,?,?,?,No,?,?
Netscape Browser,?,?,?,?,?,?,Yes,?,No,Yes,Yes
Netscape Navigator 9,?,?,?,?,?,?,Yes,?,No,Yes,Yes
NewsAccess,?,?,?,?,?,?,?,?,No,?,?
NewsBlur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0,Yes,Yes,Yes
NewsFire,?,?,?,?,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,Yes,?,?,Yes,?
Opera Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RDF  Newsgroup,?,Yes,Yes
Pegasus Mail,?,Yes,Yes,Yes,?,?,?,?,?,?,?
Protopage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0,?,Yes,Yes
Pulse,?,?,?,?,?,?,?,?,?,?,?
Quiterss,?,?,Yes,Yes,?,?,Yes,?,?,?,Yes
Rhythmbox,?,?,?,?,Yes,?,?,?,No,?,Yes
RSS Bandit,?,?,?,?,?,?,?,?,No,?,?
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newsgroup,No,Yes,Yes
Safari,Yes,?,Yes,Yes,?,?,Yes,?,No,Yes,Yes
