Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
@MAX SyncUp,Windows,Limited,No,[empty],Yes,Yes,Yes,[empty],No,No,[empty],Yes,[empty],Yes,Yes
Allway Sync,Windows,Limited,Yes,Yes,Yes,[empty],Yes,Yes,No,No,Yes,Yes,[empty],[empty],Yes
AIMstor (discontinued),Windows,Limited,Yes,[empty],Yes,Yes,Yes,Yes through VSS,Yes,Yes,Yes,Yes,Case preserving only,[empty],[empty]
Argentum Backup,Windows,No,Yes,[empty],[empty],[empty],No,Yes,[empty],[empty],[empty],[empty],Yes,[empty],[empty]
BackupAssist,Windows,No,[empty],[empty],No,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Backup4all,Windows,Limited,Yes,Yes,No,[empty],Yes,Yes,[empty],[empty],[empty],Yes,[empty],Yes,[empty]
Beyond Compare,Windows  OS X  Linux,Limited,Yes,No,Yes,[empty],Yes,Yes,[empty],[empty],[empty],Yes,[empty],[empty],[empty]
Box Sync,Windows [24] OS X [24] Android  BlackBerry  iOS[24],Limited,[empty],[empty],Yes,?,?,Yes,?,?,?,Yes,?,[empty],No
ChronoSync,OS X,No,No,Yes,Yes,Yes,Yes (only with APFS),Yes,No,No,Yes,Yes,Yes,No,Yes
Cloudike,Windows  OS X  iPhone  Android,Yes,No,[empty],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[empty],[empty]
CloudMe,Windows  OS X  Linux  iPhone  Android  Google TV  Samsung TV,Yes,No,[empty],Yes,?,?,No,Yes,No,?,?,Yes,?,No
Cubby - Free (discontinued),Windows  OS X,No,No,[empty],Renames older and keeps both,No,[empty],Yes,Yes,Yes,?,Yes,[empty],No,No
Cubby - Pro (discontinued),Windows  OS X,No,No,[empty],Renames older and keeps both,No,[empty],Yes,Yes,Yes,?,Yes,[empty],LAN Sync only,Yes
Distributed Storage,Windows  Linux,No,[empty],[empty],Yes,Yes,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Dmailer Sync (discontinued),Windows,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Dropbox,Windows  OS X  Linux  Android  iPhone  BlackBerry,Yes,No,[empty],Yes,?,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Easy2Sync for Files,Windows,Yes,[empty],[empty],Yes,[empty],[empty],Yes,Yes  for folders,[empty],[empty],[empty],[empty],[empty],[empty]
Egnyte,Windows  OS X  Linux  Android  iPad  iPhone,No,No,[empty],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Case preserving only,Yes,Yes
Gladinet,Windows  OS X  Android  iPad  iPhone  Windows RT  Blackberry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GoDrive,Windows  Mac OS X  Linux  Android  iOS,Limited,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,Yes
GoodSync,Windows  OS X  Android  iPad  iPhone  USB flash drive,Yes,Yes,Yes  beta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GS RichCopy 360,Windows,Limited,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Enterprise version only,Yes
IBM Connections,Windows  OS X  Android  iOS,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
MediaFire,Windows  OS X  Android  iOS,Yes,[empty],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
Mega,Windows  OS X  Linux  Android  iPhone  BlackBerry,Yes,[empty],Yes,Yes,[empty],[empty],Yes,Yes,Yes,Yes,Yes,Yes,No[25],Yes
RepliWeb,Windows  Linux,No,[empty],[empty],Partial,[empty],[empty],Yes,Yes,Yes,Yes,Yes,Yes,[empty],[empty]
Resilio Sync (ex. BitTorrent Sync),Windows  OS X  Linux  Android  iOS  Windows Phone  Amazon Kindle Fire  FreeBSD,Limited,No,Yes  optional,No,No,No,Yes,Yes,Yes,Yes,Yes,[empty],Yes,Yes
Robocopy,Windows,Yes,No,[empty],No,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SecureSafe,Windows  OS X  Android  iOS,Yes,[empty],[empty],Yes,No,[empty],No,No,No,No,Yes,Yes,No,No
SpiderOak,Windows  OS X  Debian  Fedora  Slackware  Android  iOS,No,[empty],[empty],No,[empty],[empty],Yes[26],No,[empty],No,[empty],[empty],Yes[27],Yes
ShareFile,Windows  OS X  Android  iPhone,Yes,[empty],Yes,[empty],[empty],[empty],Yes[28],Yes,[empty],Yes,[empty],Yes,[empty],Yes
SugarSync,Windows  OS X  Android  BlackBerry  iPhone  Windows Mobile,No,No,[empty],Yes,[empty],[empty],Yes[29],Yes,Yes,[empty],Yes,[empty],[empty],[empty]
Syncdocs,Windows  web app,Beta versions only,Yes,[empty],Yes,No,Yes,Yes,Yes,Yes,Microsoft Word only[30],Yes,[empty],[empty],[empty]
Synchronize It!,Windows,No,[empty],[empty],No,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Syncplicity,Windows  OS X  Android  iPhone  Windows Mobile,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],Yes,Yes,[empty],No[31],No
Tonido,Windows  OS X  Linux  Android  BlackBerry  iPhone  Windows Phone,Yes,Yes,[empty],Yes,No,Yes,No,Yes,Yes,Yes,Yes,[empty],[empty],[empty]
Tresorit,Windows  OS X  Linux  Android  BlackBerry  iOS  Windows Phone,Limited,Yes,Yes,Yes,[empty],Yes  for Windows,Yes,[empty],[empty],[empty],Yes,Yes,No,[empty]
Ubuntu One (discontinued 2 April 2014),Windows  OS X  Ubuntu  iOS  Android[32],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Windatareflector,Windows,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
Wuala (discontinued),Windows  OS X  Debian  Ubuntu  Android  iOS,Yes,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZumoDrive (discontinued),Windows  OS X  Linux  Android  iPhone  Palm webOS,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zetta.net,Windows  OS X  Linux,No,[empty],[empty],Yes,[empty],Yes,Yes,Yes,Yes,[empty],Yes,Yes  Preserve file name case & file metadata,Yes,Yes
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
