License,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,TM grant
[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Academic Free License[10],Lawrence E. Rosen,3.0,2002,Permissive,Permissive,Permissive,Yes,Yes,Permissive,No
Affero General Public License,Affero Inc,2.0,2007,Copylefted[11],Copyleft except for the GNU AGPL[11],Copyleft[11],?,Yes[11],?,?
Apache License,Apache Software Foundation,2.0,2004,Permissive[12],Permissive[12],Permissive[12],Yes[12],Yes[12],Permissive[12],No[12]
Apple Public Source License,Apple Computer,2.0,2003August 6  2003,Permissive,?,Limited,?,?,?,?
Artistic License,Larry Wall,2.0,2000,With restrictions,With restrictions,With restrictions,No,Permissive,With restrictions,No
Beerware,Poul-Henning Kamp,42,1987,Permissive,Permissive,Permissive,No,Permissive,Permissive,No
BSD License,Regents of the University of California,3.0,?,Permissive[13],Permissive[13],Permissive[13],Manually[13],Yes[13],Permissive[13],Manually[13]
Boost Software License,?,1.0,2003August 17  2003,Permissive,?,Permissive,?,?,?,?
Creative Commons Zero,Creative Commons,1.0,2009,Public Domain[14][15],Public Domain,Public Domain,No,Public Domain,Public Domain,No
CC-BY,Creative Commons,4.0,2002,Permissive[16],Permissive,Permissive,No,Yes,Permissive,?
CC-BY-SA,Creative Commons,4.0,2002,Copylefted[16],Copylefted,Copylefted,No,Yes,No,?
CeCILL,CEA / CNRS / INRIA,2.1,2005June 21  2013,Permissive,Permissive,Permissive,No,Permissive,With restrictions,No
Common Development and Distribution License,Sun Microsystems,1.0,2004-12December 1  2004,Permissive,?,Limited,?,?,?,?
Common Public License,IBM,1.0,2001May 2001,Permissive,?,Copylefted,?,?,?,?
Cryptix General License,Cryptix Foundation,N/A,1995,Permissive,Permissive,Permissive,Manually,Yes,?,Manually
Eclipse Public License,Eclipse Foundation,2.0,August 24  2017,Limited[17],Limited[17],Limited[17],Yes[17],Yes[17],Limited[17],Manually[17]
Educational Community License,Indiana University[18],1.0,2007,Permissive,?,Permissive,?,?,?,?
European Union Public Licence,European Commission,1.2,2009May 2017,Copylefted  with an explicit compatibility list[19],Copylefted  with an explicit compatibility list[19],Copylefted  with an explicit compatibility list[19],Yes[20],Yes[20],Copylefted  with an explicit compatibility list[19],No[20]
GNU Affero General Public License,Free Software Foundation,3.0,2007,GNU GPLv3 only[21],Copylefted[22],Copylefted[22],Yes[23],No network usage[23],Copylefted[22],Yes[23]
GNU General Public License,Free Software Foundation,3.0,2007June 2007,GPLv3 compatible only[24][25],Copylefted[22],Copylefted[22],Yes[26],Yes[26],Copylefted[22],Yes[26]
GNU Lesser General Public License,Free Software Foundation,3.0,2007June 2007,With restrictions[27],Copylefted[22],Copylefted[22],Yes[28],Yes,Copylefted[22],Yes[28]
IBM Public License,IBM,1.0,1999August 1999,Copylefted,?,Copylefted,?,?,?,?
ISC license,Internet Systems Consortium,N/A,2003June 2003,Permissive,Permissive,Permissive,?,?,?,?
LaTeX Project Public License,LaTeX project,1.3c,?,Permissive,?,Permissive,?,?,?,?
Microsoft Public License,Microsoft,N/A,?,Permissive,Permissive,Permissive,No,Permissive,?,No
MIT license / X11 license,MIT,N/A,1988,Permissive[29],Permissive[29],Permissive[29],Manually[29],Yes[29],Permissive[29],Manually[29]
Mozilla Public License,Mozilla Foundation,2.0,2012January 3  2012,Permissive[30],Copylefted[30],Copylefted[30],Yes[30],Yes[30],Copylefted[30],No[30]
Netscape Public License,Netscape,1.1,?,Limited,?,Limited,?,?,?,?
Open Software License[10],Lawrence Rosen,3.0,2005,Permissive,Copylefted,Copylefted,Yes,Yes,Copylefted,?
OpenSSL license,OpenSSL Project,N/A,?,Permissive,?,Permissive,?,?,?,?
Python Software Foundation License,Python Software Foundation,2,?,Permissive,?,Permissive,?,?,?,?
Q Public License,Trolltech,?,?,Limited,?,Limited,?,?,?,?
Sleepycat License,Sleepycat Software,N/A,1996,Permissive,With restrictions,Permissive,No,Yes,No,No
Unlicense,unlicense.org,1,2010December 2010,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,?,Permissive/Public domain,Permissive/Public domain,?
W3C Software Notice and License,W3C,20021231,2002December 31  2002,Permissive,?,Permissive,?,?,?,?
Do What The Fuck You Want To Public License (WTFPL),Banlu Kemiyatorn  Sam Hocevar,2,2004December 2004,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,No,Yes,Yes,No
XCore Open Source License also separate "Hardware License Agreement",XMOS,?,2011February 2011,Permissive,Permissive,Permissive,Manually,Yes,Permissive,?
XFree86 1.1 License,The XFree86 Project  Inc,?,?,Permissive,?,Permissive,?,?,?,?
zlib/libpng license,Jean-Loup Gailly and Mark Adler,?,?,Permissive,?,Permissive,?,?,?,?
License,Author,Latest version,Publication date
[empty],[empty],[empty],[empty]
Eiffel Forum License,NICE,2,2002
freebsd,freebsd,1.0,2018
Intel Open Source License,Intel Corporation,N/A,?
PHP License,PHP Group,3.01,?
RealNetworks Public Source License,RealNetworks,?,?
Reciprocal Public License,Scott Shattuck,1.5,2007
Sun Industry Standards Source License,Sun Microsystems,?,?
Sun Public License,Sun Microsystems,?,?
Sybase Open Watcom Public License,Open Watcom,N/A,2003-01-28
Zope Public License,Zope Foundation,2.1,?
License and version,FSF approval [31],GPL (v3) compatibility [32][33][34][35][36],OSI approval [37],Debian approval [38][39],Fedora approval [40]
Academic Free License,Yes,No,Yes,No,Yes
Affero General Public License 3.0,Yes,Yes,Yes,Yes,Yes
Apache License 1.x,Yes,No,Yes,Yes,Yes
Apache License 2.0,Yes,GPLv3 only[41],Yes,Yes,Yes
Apple Public Source License 1.x,No[42],No,Yes,No,No
Apple Public Source License 2.0,Yes,No,Yes,No,Yes
Artistic License 1.0,No[note 1],No,Yes,Yes,No
Artistic License 2.0,Yes,Yes,Yes,Yes,Yes
Beerware License,see "informal license" section[43],see "informal license" section[43],No,No,Yes[44]
Original BSD license,Yes,No,No[45],Yes,Yes
Modified BSD license,Yes,Yes,Yes,Yes,Yes
Zero-Clause BSD License,?,?,Yes[46],?,?
Boost Software License,Yes,Yes,Yes,Yes,Yes
CeCILL,Yes,Yes,Yes,Yes,Yes
Common Development and Distribution License,Yes,GPLv3 (GPLv2 disputed)[47][48][49][50][51][52],Yes,Yes,Yes
Common Public License,Yes,No,Yes,Yes,Yes
Creative Commons Zero,Yes[53],Yes[53],not approved and not rejected[54],Partial[55][56],Yes[57]
Creative Commons BY-SA 4.0,Yes,GPLv3[58],?,Yes,?
Cryptix General License,Yes,Yes,Yes,Yes,Yes
Eclipse Public License,Yes,No,Yes,Yes,Yes
Educational Community License,Yes,Yes[59],Yes,No,Yes
Eiffel Forum License 2,Yes,Yes,Yes,Yes,Yes
European Union Public Licence,Yes,Yes[19],Yes,Yes,?
GNU Affero General Public License,Yes,Yes[21][60],Yes,Yes,Yes
GNU General Public License v2,Yes,No[note 2][61],Yes,Yes,Yes
GNU General Public License v3,Yes,Yes[note 3][61],Yes,Yes,Yes
GNU Lesser General Public License,Yes,Yes,Yes,Yes,Yes
GNU Free Documentation License,Yes,No[62],Yes[63],No[64],No
IBM Public License,Yes,No,Yes,Yes,Yes
Intel Open Source License,Yes,Yes,Yes,No,No
ISC license,Yes[65],Yes,Yes,Yes,Yes
LaTeX Project Public License,Yes,No,Yes,Yes,Yes
Microsoft Public License,Yes,No,Yes,No,Yes
Microsoft Reciprocal License,Yes,No,Yes,No,Yes
MIT license / X11 license,Yes,Yes,Yes,Yes,Yes
Mozilla Public License 1.1,Yes,No,Yes,Yes,Yes
Mozilla Public License 2.0,Yes,Yes[note 4][66],Yes,Yes,Yes
NASA Open Source Agreement,No,No,Yes,?,No
Netscape Public License,Yes,No,No,No,Yes
Open Software License,Yes,No,Yes,No,Yes
OpenSSL license,Yes,No,No,Yes,Yes
PHP License,Yes,No,Yes,Yes,Yes
Python Software Foundation License 2.0.1; 2.1.1 and newer,Yes,Yes,Yes,Yes,Yes
Q Public License,Yes,No,Yes,No,Yes
Reciprocal Public License 1.5,No,No,Yes,No,No
Sleepycat License,Yes,Yes,Yes,Yes,Yes
Sun Industry Standards Source License,Yes,No,Yes,No,Yes
Sun Public License,Yes,No,Yes,No,Yes
Sybase Open Watcom Public License,No,No,Yes,No,No
Unlicense,Yes[67],Yes[53],while considered free not recommended[68],?,Yes[57]
W3C Software Notice and License,Yes,Yes,Yes,Yes,Yes
Do What The Fuck You Want To Public License (WTFPL),Yes[note 5],Yes,No[69],Yes,Yes
XFree86 1.1 License,Yes,Yes[70],No,No,No
zlib/libpng license,Yes,Yes,Yes,Yes,Yes
Zope Public License 1.0,Yes,No,No,No,Yes
Zope Public License 2.0,Yes,Yes,Yes,No,Yes
