IDE,License,Windows,Linux,macOS,Other platforms,Debugger,GUI builder,Profiler,Static code analysis,MXML,Export to Mobile
Adobe Animate Formerly Adobe Flash Professional,Proprietary,Yes,No,Yes,JVM,Yes,Yes,Yes,Yes,Yes,Yes
Flash Builder,Proprietary,Yes,No,Yes,JVM,Yes,Yes,Yes,Yes,Yes,Yes
FlashDevelop,MIT License,Yes,No,No,[empty],Yes,No,Yes,No,Yes,Yes
IntelliJ IDEA,Proprietary,Yes,Yes,Yes,FreeBSD  OpenBSD  Solaris,Yes,No,Yes,Yes,Yes,Yes
Powerflasher FDT,Proprietary,Yes,Yes,Yes,JVM,Yes,No,Yes,Yes,Yes,Yes
IDE,License,Windows,Linux,macOS,Other platforms,Debugger,GUI builder,Toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release
Eclipse w/ AonixADT[1],EPL,Yes,Yes,Yes,FreeBSD  JVM  Solaris,Yes,Yes[2],No,Unknown,Unknown,Yes,Unknown,No,Yes,December 2009
GNAT Programming Studio,GPL,Yes,Yes,Yes,DragonFly BSD  FreeBSD  NetBSD  OpenBSD  Solaris,Yes,Yes[3],Yes,Yes,Yes,Yes,Yes,No,Yes,June 2014
SlickEdit,Proprietary,Yes,Yes,Yes,Solaris  Solaris SPARC  AIX  HP-UX,Yes,No,No,No,No,Yes,No,No,Yes,2018
Understand,Proprietary,Yes,Yes,Yes,Solaris,No,No,No,No,No,Yes,Yes,No,Yes,December 2015
IDE,License,Windows,Linux,macOS,Other platforms,Debugger,Assemblers,Auto-complete,Macros/templates,Latest stable release
Fresh,EUPL and 2-clause BSD,Yes,No,No,Unknown,No,FASM,Unknown,Unknown,1.73.04 / April 30  2018
SASM,GPL,Yes,Yes,No,Unknown,Yes,NASM  MASM  GAS and FASM,Yes,Yes,3.10.1 / 8 October 2018
SlickEdit,Proprietary,Yes,Yes,Yes,Solaris  Solaris SPARC  AIX  HP-UX,No,MASM  High Level Assembly  Linux Assembly  OS/390 Assembly,Yes,Yes,2018
IDE,License,Windows,Linux,macOS,Developer,Other platforms,Latest stable release
Basic4android,Proprietary,Yes,No,No,Anywhere Software,cross-compile from Windows to Android,2018-03-20
FreeBASIC,GPL,Yes,Yes,No,The FreeBASIC Development Team,Windows  FreeBSD,2019-02-18
Gambas,GPL,No,Yes,No,Benoît Minisini,FreeBSD  Cygwin,2017-01-01
Microsoft Small Basic,Proprietary,Yes,No,No,Microsoft,[empty],2015-10-01
Microsoft Visual Studio,Proprietary,Yes,Yes,Yes,Microsoft,[empty],2017-10-19
MonoDevelop,LGPL,Yes,Yes,Yes,Xamarin and the Mono community,FreeBSD  OpenBSD  Solaris,2016-01-28
PBASIC Stamp Editor,Proprietary,Yes,No,Yes,Parallax Inc,[empty],2014-07-02[4]
PureBasic,Proprietary,Yes,Yes,Yes,Fantaisie Software,AmigaOS,2015-10-16
SharpDevelop,LGPL,Yes,No,No,ICSharpCode Team,[empty],2015-07-14
SlickEdit,Proprietary,Yes,Yes,Yes,SlickEdit,Solaris  Solaris SPARC  AIX  HP-UX,2018
Xojo,Proprietary,Yes,Yes,Yes,Xojo  Inc.,Web,2015-12-17
