Value,Meaning
Yes,Fully supported
No,Has never been supported
Partial,Only some values are supported
Incorrect,Not implemented correctly in all cases
Experimental,May be incomplete or buggy
Nightly build,Currently in development; full support is expected
Depends,Only supported for the specified conditions
Dropped,No longer supported
Browser layout engine,Trident,Gecko,WebKit,Presto,Blink
Corresponding JavaScript engine,JScript/Chakra,Spidermonkey/TraceMonkey/JägerMonkey/IonMonkey,JavaScriptCore/SquirrelFish Extreme,Linear B/Futhark/Carakan,V8
ECMAScript Edition 3,Yes,0.6,Yes,1.0,Yes
ECMAScript Edition 5,5.0,2.0,Partial,Yes,Yes
ECMA Script Edition 6,[empty],[empty],[empty],[empty],[empty]
JavaScript 1.5 extensions,No,0.6,Yes,1.0,Yes
JavaScript 1.6 extensions (excluding E4X),No,1.8,Partial,Partial,Partial
JavaScript 1.7 extensions,No,1.8.1,No,Partial,No
JavaScript 1.8 extensions,No,1.9,Partial,No,Partial
JavaScript 1.8.1 extensions,No,1.9.1,No,No,No
JScript .NET extensions,No,No,No,No,No
ActionScript extensions,No,No,No,No,No
E4X,No,Dropped[1],No,No,No
