Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
To English,Arabic to English,Yes,No,No,Yes,No,No,Yes,No,Yes
Catalan to English,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Chinese (Simplified) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
Chinese (Traditional) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
Czech to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Danish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
Dutch to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Esperanto to English,No,Yes,No,Yes,Yes,No,No,No,No,No
Estonian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Finnish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
French to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Galician to English,No,Yes,No,Yes,Yes,No,No,No,No,No
German to English,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Greek to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
Haitian Creole to English,No,No,No,Yes,No,No,Yes,No,No,No
Hebrew to English,Yes,No,No,Yes,No,No,Yes,No,No,No
Hindi to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
Hungarian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Indonesian to English,No,No,No,Yes,No,No,Yes,No,No,No
Irish to English,No,No,No,Yes,Yes,No,No,No,No,No
Italian to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Japanese to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
Korean to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
Latvian to English,No,No,No,Yes,Yes,No,Yes,No,Yes,No
Lithuanian to English,No,No,Yes,Yes,No,Yes,No,Yes,No,No
Macedonian to English,No,Yes,No,Yes,Yes,No,No,No,No,No
Malay to English,No,No,No,Yes,No,No,Yes,No,No,No
Maltese to English,No,No,No,Yes,Yes,No,No,No,No,No
Norwegian to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
Persian to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
Polish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Portuguese to English,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Portuguese (Brazilian) to English,Yes,No,No,No,No,No,No,No,No,No
Romanian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Russian to English,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Serbo-Croatian to English,No,No,No,Yes,Yes,No,No,No,No,No
Slovak to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
Slovene to English,Yes,No,No,Yes,Yes,No,No,No,Yes,No
Spanish to English,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Swedish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
Tagalog to English,No,No,No,Yes,No,No,No,No,No,No
Thai to English,No,No,No,Yes,No,No,Yes,No,No,No
Turkish to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
Ukrainian to English,No,No,No,Yes,Yes,No,Yes,No,Yes,No
Welsh to English,No,Yes,No,Yes,Yes,No,Yes,No,No,No
Language,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
Chinese (Simplified),English to Chinese (Simplified),Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
