Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
agorum core,Yes,No,No,No,Yes,Yes,PLAIN  LOGIN  CRAM-MD5  NTLM
Apache James,Yes,?,?,?,Yes,Yes,PLAIN  LOGIN
Axigen,Yes,No,Yes,No,No,Yes,GSSAPI  CRAM-MD5  DIGEST-MD5  APOP  CLRTXT  LOGIN  PLAIN  LDAP  Internal
CommuniGate Pro,Yes,Yes,Yes,Yes,Yes,Yes,Active Directory (LDAP)  CLRTXT  CRAM-MD5  DIGEST-MD5  APOP  GSSAPI  NTLM  MSN  SESSIONID  External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL
Courier Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,Managed by Courier authentication library which can use PAM  Userdb  PostgreSQL(beta)  MySQL  LDAP  and EXTERNAL.
Cyrus IMAP,No,Yes,Yes,Yes,Yes,Yes,Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB  GDBM  or NDBM (sasldb)  PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  DCE  Kerberos 4 and 5  proxied IMAP auth  getpwent  shadow  SIA  Courier Authdaemon  httpform  APOP and SASL mechanisms: ANONYMOUS  CRAM-MD5  DIGEST-MD5  EXTERNAL  GSSAPI  LOGIN  NTLM  OTP  PASSDSS  PLAIN  SRP
Dovecot,Yes,Yes,Yes,Yes,Yes,Yes,Submission service supports SMTP AUTH[5]. Offers SASL to MTAs.[23][24] POP-before-SMTP via DRAC plugin. PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  Kerberos 5  proxied IMAP auth  getpwent  shadow  SIA  BSDauth  Vpopmail. APOP and SASL mechanisms: ANONYMOUS  PLAIN  LOGIN  CRAM-MD5  DIGEST-MD5  SCRAM-SHA1  EXTERNAL  GSSAPI  NTLM  OTP  SKEY  RPA.
Eudora Internet Mail Server,Yes,No,Yes,Yes,No,No,CRAM-MD5  DIGEST-MD5  PLAIN  LOGIN
Exim,Yes,Yes,Yes,Yes,Yes,Yes,Cyrus SASL  Dovecot SASL  GNU SASL  CRAM-MD5  Heimdal GSSAPI  PLAIN  LOGIN  SPA
FirstClass,Yes,?,?,Yes,Yes,Yes,[empty]
Gordano Messaging Suite,Yes,Yes,Yes,No,Yes,Yes,PLAIN  LOGIN  CRAM-MD5  DIGEST-MD5  APOP  ODBC  Active Directory  NT Domain
GroupWise,Yes,Yes,Yes,Yes,Yes,Yes,eDirectory  Any LDAPv3-compliant source
Halon,Yes,No,No,Yes,Yes,Yes,Many mechanism (SMTP callout  Dovecot SASL  REST  etc.) via script.[25]
Haraka,Yes,No,No,Yes,Yes,Yes,Proxy to other server  any other mechanism via AUTH plugins.
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,PLAIN  LOGIN  CRAM-MD5  NTLM
Ipswitch IMail Server,Yes,No,Yes,Yes,Yes,Yes,Active Directory  Windows authentication  CRAM-MD5  PLAIN  LOGIN
Kolab,Yes,Yes,Yes,Yes,Yes,Yes,Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.
Mailsite,Yes,No,Yes,Yes,Yes,Yes,NT Domain  Active Directory  PLAIN  LOGIN  NTLM  SCRAM-MD5  CRAM-MD5
Mailtraq,Yes,Yes,Yes,Yes,Yes,Yes,NT Domain  Active Directory  Local Directory
Mercury Mail Transport System,Yes,Yes,Yes,Yes,No,?,Internal  LOGIN  PLAIN  CRAM-MD5  Netware  LDAP?  partial NT Domain
Microsoft Exchange Server,Yes,?,Yes,No,No,Yes,Active Directory  LOGIN [26] NTLM
NetMail,Yes,Yes,Yes,Yes,Yes,Yes,eDirectory  LDAP
Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,Yes,Yes,Plain  Login  CRAM-MD5  Digest-MD5  Certificate
OpenSMTPD,Yes,No,No,Yes,Yes,Yes,By default PLAIN and LOGIN over SSL only  Certificates  bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends.
Postfix,Yes,No,No,Yes,Yes,Yes,Supports all Cyrus SASL authentication methods except for APOP.
Qpopper,No,Yes,Yes,Yes,Yes,Yes,Pluggable Authentication Modules  GSSAPI  CRAM-MD5  DIGEST-MD5  APOP  PLAIN  LDAP  CMU SASL library  Kerberos
qmail,with patch,with vpopmail,Yes,Yes,Yes,Yes,Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM  LDAP  and databases.
Scalix,Yes,?,Yes,Yes,Yes,Yes,Internal  LOGIN  PLAIN  X.500 (DAP)  LDAP  OpenLDAP  Active Directory  eDirectory  Kerberos  etc.
Sendmail,Yes,Yes,No,Yes,Yes,Yes,Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL.
WinGate,Yes,Yes,Yes,Yes,Yes,No,NT Domain  Active Directory  CRAM-MD5  SASL PLAIN  SASL LOGIN
Zarafa,Yes,No,No,Yes,Yes,Yes,PLAIN  LOGIN using internal backends: Internal  Active Directory  any LDAP-compatible source  Unix
Zentyal,Yes,Yes,Yes,Yes,Yes,Yes,Active Directory using Dovecot SASL mechanisms
Zimbra,Yes,No,Yes,Yes,Yes,Yes,Internal  LDAP  Open LDAP  Active Directory
Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
agorum core,No,No,No,No,No,No,No,No,No,Yes,No,No
Apache James,?,?,?,?,?,?,?,?,Yes,?,Yes ClamAV[27],Optional (Apache SpamAssassin)
Axigen,Yes,Yes[28],No,Yes,Yes,Yes,?,No,Yes  in SpamAssassin,Yes,Yes CYREN,Yes CYREN
Citadel,Yes,Yes,No,No,Optional (via SpamAssassin),?,?,No,Optional (via SpamAssassin),No,Optional (ClamAV),Optional (SpamAssassin)
Courier Mail Server,Yes,?,Yes,Yes[29],Yes,Yes[30],Yes[31],Yes,Yes[29],Yes[29],Yes Clamav,Yes[29]
Dovecot,?,?,?,?,?,?,?,?,?,?,?,?
Eudora Internet Mail Server,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?
Exim,Yes,Yes,Yes,Yes,Optional at build time,Yes,Optional at build time,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
FirstClass,Yes,Yes,No,?,Yes,?,?,Yes,Yes,Yes,Yes Symantec,?
Gordano Messaging Suite,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes CYREN  Authentium,Yes CYREN
GroupWise,Yes,?,?,?,?,?,?,?,?,?,?,?
Halon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional (via SpamAssassin),Yes,Optional (Sophos  ClamAV),Optional (CYREN  SpamAssassin)
Haraka,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Optional with spamassassin etc.,Yes,Optional ClamAV  AVG  any via plugins,Optional SpamAssassin  MessageSniffer
hMailServer,Yes,Yes,No,Yes,Yes,Yes,?,No,No,Yes,Yes ClamAV,Yes SpamAssassin
IBM Notes,Yes[32],?,?,?,No[33],?,?,?,?,?,?,?
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes
Ipswitch IMail Server,Yes,Yes,No,No,Yes,Yes[34],Yes[35],No,Yes,Yes,Yes Symantec  BitDefender,Yes CYREN
Kolab,Yes,?,?,Yes,Yes,?,?,?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
Mailsite,Yes,Yes,Yes,Yes,Yes,?,?,No,Yes,Yes,Yes,Yes
Mailtraq,?,?,?,?,?,?,?,?,?,?,?,?
Mercury Mail Transport System,Yes,?,?,Yes (GreyWall extension),?,?,?,?,Yes (SpamHalter extension),?,Yes (ClamWall extension),?
Microsoft Exchange Server,Yes (2003 & later),?,?,Yes,Yes,?,?,Yes (2003 & later),?,?,?,?
NetMail,?,?,?,?,?,?,?,?,?,?,?,?
OpenSMTPD,?,?,?,?,Yes,Yes[36],?,?,?,?,?,?
Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
Postfix,Yes,?,?,Yes,Yes,Optional[37],Optional[38],?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
qmail,?,?,?,Yes,?,?,?,?,No,?,No,No
Scalix,Yes,Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin),Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (via Scalix ZeroHour AntiVirus powered by Cyren or ClamAV),Yes
Sendmail,Yes,Yes (via milter/SA),?,Yes,Optional,Optional[37],Optional[38],?,Optional with spamassassin etc.,?,Yes ClamAV,Yes SpamAssassin
SparkEngine,?,?,?,?,?,?,?,?,?,?,?,?
UW IMAP,?,?,?,?,?,?,?,?,?,?,?,?
WinGate,?,?,?,?,?,?,?,?,?,?,?,?
Zarafa,External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11]
Zimbra,Yes,Yes (via SpamAssassin),?,Yes (via Cluebringer Policy Daemon),Yes,Yes,?,Yes,Yes,Yes (partially),Yes (via ClamAV  optionally any via Amavisd),Yes (via SpamAssassin)
Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
