Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
AndroidChat[1],[empty],Free software,GNU GPL,TUI  GUI,Java,Android,[1]
Mobile Colloquy,Kiji Roshi,US$1.99,BSD License,GUI,Objective-C,iOS,[2]
fIRC,Laurence Muller,Free software,GNU GPL,GUI,Java,Android,[3]
Igloo,Jordan Koch,US$5.99,?,GUI,Swift,iOS,[4]
IRCCloud,IRCCloud Ltd.,Freeware[2],Apache 2.0,GUI,Objective-C  Java,iOS  Android,[5]
jmIrc,Juho Vähä-Herttua,Free software,GNU GPL,GUI,Java,Java ME,[6]
k-IRC,Armond Avanes,Free software,GNU GPL,GUI,Java,Java ME,[7]
microirc,[empty],Free software,GNU GPL,GUI,C ?,Windows Mobile 5 (and above),[8]
Virca,[empty],Free software,GNU GPL,TUI,Java,Java ME,[9]
wIRC,[empty],Free software,GNU GPL,GUI,C & JavaScript,WebOS,[10]
WLIrc,Sverre Kristian Valskrå,Free software,GNU LGPL,GUI,Java,Java ME,[11]
Yaaic,Sebastian Kaspari,Free software,GNU GPL,GUI,Java,Android,[12]
Simple IRC,The Linux Geek,Free software,GNU GPL,GUI,Java,Android,[13]
zsIRC,Gargaj,Free software,3-clause BSD,GUI,C++,Windows Mobile,[14]
Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
Client,CTCP,DCC,IPv6,SSL,TLS,OCSP,CRL
AndroidChat,No,No,No,No,No,No,No
Mobile Colloquy,Yes[citation needed],No[citation needed],Yes[citation needed],Yes[citation needed],Yes[citation needed],No[citation needed],No[citation needed]
fIRC,?,?,?,?,?,?,?
jmIrc,Yes,No,No,No,No,No,No
k-IRC,Yes,No,No,No,No,No,No
Virca,?,?,?,?,?,?,?
wIRC,Yes,Yes,No,Yes,Yes,?,?
WLIrc,Yes,Yes,?,No,No,No,?
Yaaic,No[5],?,?,Yes,Yes,?,?
Simple IRC,Yes,Yes,?,Yes,Yes,?,?
zsIRC,Yes,No,No,Yes,Yes,No,No
Client,CTCP,DCC,IPv6,SSL,TLS,OCSP,CRL
Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
AndroidChat,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mobile Colloquy,Yes[citation needed],No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
fIRC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
jmIrc,No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
k-IRC,No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
Virca,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
wIRC,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
WLIrc,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Yaaic,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Simple IRC,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
zsIRC,No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
AndroidChat,?,?,?,?,?,?,?
Mobile Colloquy,Yes,Yes,No,Yes,Yes,No,Yes
fIRC,?,?,?,?,?,?,?
jmIrc,No,Yes,Yes,No,No,Yes,?
k-IRC,No,No,No,No,No,No,?
Virca,?,Yes,?,?,No,?,?
wIRC,?,?,Yes,?,?,?,?
WLIrc,?,No,?,?,No,?,?
Yaaic,Yes,Yes,No,No,Yes,No,?
Simple IRC,Yes,Yes,No,No,No,No,Yes
zsIRC,Yes,Yes,No,No,Yes,No,?
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
