Name,Lexer algorithm,Output languages,Grammar  code,Development platform,License
Alex,DFA,Haskell,Mixed,All,Free  BSD
AnnoFlex,DFA,Java,Mixed,Java virtual machine,Free  BSD
AustenX,DFA,Java,Separate,All,Free  BSD
Booze-tools,DFA,state machine is runtime-generated or saved as JSON,Mixed,Python,Free  public domain
C# Flex,DFA,C#,Mixed,.NET CLR,Free  GNU GPL
C# Lex,DFA,C#,Mixed,.NET CLR,?
CookCC,DFA,Java,Mixed,Java virtual machine,Free  Apache 2.0
DFAlex,DFA,no code generation required,Java,Java,Free  Apache 2.0
Dolphin,DFA,C++,Separate,All,Proprietary
Flex,DFA table driven,C  C++,Mixed,All,Free  BSD
gelex,DFA,Eiffel,Mixed,Eiffel,Free  MIT
golex,DFA,Go,Mixed,Go,Free  BSD-style
gplex,DFA,C#,Mixed,.NET CLR,Free  BSD-like
JFlex,DFA,Java,Mixed,Java virtual machine,Free  BSD
JLex,DFA,Java,Mixed,Java virtual machine,Free  BSD-like
lex,DFA,C,Mixed,POSIX,Partial  proprietary  CDDL
lexertl,DFA,C++,?,All,Free  GNU LGPL
LRSTAR,DFA,C++,Separate,Windows,Free  BSD
Quex,DFA direct code,C  C++,Mixed,All,Free  GNU LGPL
Ragel,DFA,C  C++  assembly,Mixed,All,Free  GNU GPL  MIT[1][1]
RE/flex,DFA direct code  DFA table driven  and NFA regex libraries,C++,Mixed,All,Free  BSD
re2c,DFA direct code,C,Mixed,All,Free  public domain
Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ANTLR4,ALL(*)[2],EBNF,C#  Java  Python  JavaScript  C++  Swift  Go,Mixed,generated,Java virtual machine,Yes,Free  BSD
ANTLR3,LL(*),EBNF,ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby,Mixed,generated,Java virtual machine,Yes,Free  BSD
APG,Recursive descent  backtracking,ABNF,C  C++  JavaScript  Java,Separate,none,All,No,Free  GNU GPL
AXE,Recursive descent,AXE/C++,C++17  C++11,Mixed,none,Any with C++17 or C++11 standard compiler,No,Free  Boost
Beaver,LALR(1),EBNF,Java,Mixed,external,Java virtual machine,No,Free  BSD
Belr,Recursive descent,ABNF,C++17  C++11,Separate,included,POSIX,No,Partial  GNU GPL  proprietary
Bison,LALR(1)  LR(1)  IELR(1)  GLR,Yacc,C  C++  Java,Mixed,external,All,No,Free  GNU GPL with exception
Bison++[note 1],LALR(1),?,C++,Mixed,external,POSIX,No,Free  GNU GPL
Bisonc++,LALR(1),?,C++,Mixed,external,POSIX,No,Free  GNU GPL
Booze-tools,LALR(1) or LR(1) canonical or minimal,BNF with macros in place of EBNF,State machine can be runtime-generated or saved as JSON,Mixed  separable,included,Python,No,Free  public domain
BtYacc,Backtracking Bottom-up,?,C++,Mixed,external,All,No,Free  public domain
byacc,LALR(1),Yacc,C,Mixed,external,All,No,Free  public domain
BYACC/J,LALR(1),Yacc,C  Java,Mixed,external,All,No,Free  public domain
CL-Yacc,LALR(1),Lisp,Common Lisp,Mixed,external,All,No,Free  MIT
Coco/R,LL(1),EBNF,C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET,Mixed,generated,Java virtual machine  .NET Framework  Windows  POSIX (depends on output language),No,Free  GNU GPL
CookCC,LALR(1),Java annotations,Java,Mixed,generated,Java virtual machine,No,Free  Apache 2.0
CppCC,LL(k),?,C++,Mixed,generated,POSIX,No,Free  GNU GPL
CSP,LR(1),?,C++,Separate,generated,POSIX,No,Free  Apache 2.0
