Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,Yes[1],Yes,Yes,Proprietary  Open source[2],Java and PHP
24SevenOffice,Yes,No,Yes,Proprietary,[empty]
Actionspace,Yes,No,Yes,Proprietary,[empty]
Apache Allura,Yes,Yes,[empty],Apache License,Python
Apache OFBiz,Yes,Yes,Yes,Apache License,Java  XML  FreeMarker  Groovy  JavaScript
Apache Bloodhound,Yes,Yes,Yes,Apache License,Python
Asana,Yes,No,Yes,Proprietary,[empty]
Assembla,Yes,Yes,Yes,Proprietary,[empty]
Axosoft,Yes,Yes,Yes,Proprietary,[empty]
Basecamp,Yes[3],No[4],Yes,Proprietary,Ruby
Calligra Plan,No,File-based,No,GPL,C++ and Java
CEITON,Yes,Yes,Yes,Proprietary,ASP.NET  JavaScript
Clarizen,Yes[5],No,Yes[5],Proprietary,[empty]
Collabtive,Yes,Yes,Yes,Open source (core only),PHP
Compuware Changepoint,Yes,Yes,Yes,Proprietary,[empty]
ConceptDraw Project,No,Yes,No,Proprietary,[empty]
ConceptDraw PLAN,Yes,No,Yes,Proprietary,PHP and Java
Concerto Project Management,Yes,Yes,Yes,Proprietary,[empty]
Copper Project,Yes,Yes,Yes,Proprietary,[empty]
dotProject,Yes,Yes,Yes,GPL,PHP
DynaRoad,No,Unknown,Unknown,Proprietary,[empty]
Easy projects,Yes[6],Yes[6],Yes[6],Proprietary,ASP.NET
Eclipse PPM software,Yes,No,Yes,Proprietary,[empty]
Endeavour Software Project Management,Yes,Unknown,Unknown,GPL,Java
eGroupWare,Yes,Unknown,Unknown,GPL,PHP
enQuire,Yes,Unknown,Yes,Proprietary,Java
FastTrack Schedule,No,Yes,No,Proprietary,[empty]
Feng Office Community Edition,Yes,Yes,Yes,AGPLv3,PHP
FinancialForce.com,Yes,Unknown,Yes,Proprietary,[empty]
FogBugz,Yes,Yes,Yes,Proprietary,ASP.NET
Fossil-scm,Yes[7],Yes[8],Yes[9],2-clause BSD license,SQLite and C
Freedcamp,Yes,No,Yes,Proprietary,[empty]
FusionForge,Yes,Yes,Unknown,GPL,PHP
GanttProject,No,Yes,Unknown,GPL,Java
Genius Project,Yes,Yes,Yes,Proprietary,[empty]
Group-Office,Yes,Yes,Yes,Proprietary,[empty]
GroveSite,Yes,Unknown,Yes,Unknown,[empty]
Hall.com,Yes,Unknown,Yes,Unknown,[empty]
Helix ALM,Yes,Yes,Yes,Proprietary,C++
HeySpace,Yes,No,Yes,Proprietary,JavaScript
HP Project & Portfolio Software,Yes,Yes,Proprietary,[empty],[added]
Huddle,Yes,Unknown,Unknown,Proprietary,[empty]
Hyperoffice,Yes,Unknown,Unknown,Proprietary,[empty]
iManageProject,Yes,Unknown,Yes,Unknown,[empty]
InLoox,Yes,Yes,Yes,Proprietary,[empty]
in-Step BLUE,Yes,Yes,No,Proprietary,[empty]
IRise,Yes,Yes,Yes,Proprietary,Java
Jira,Yes,Yes,Yes,Proprietary,Java
Launchpad,Yes,No,Yes,AGPL,Python
LibrePlan,Yes,Yes,Yes,AGPL,Java
LiquidPlanner,Yes,No,Yes,Proprietary,Ruby
LisaProject,No,Unknown,Unknown,Proprietary,[empty]
MacProject,No,Unknown,Unknown,Proprietary,[empty]
MantisBT,Yes,Yes,No,GPL,PHP
MeisterTask,Yes,No,Yes,Proprietary,Ruby on Rails  React  Redux
Métier,Yes,Yes,Yes,Proprietary,[empty]
Microsoft Dynamics AX,No,Yes,No,Proprietary,X++
Microsoft Office Project Server,Yes,Yes,Yes,Proprietary,[empty]
Microsoft Project,Yes,Yes,Yes,Proprietary,[empty]
Microsoft SharePoint Server,Yes,Yes,Yes,Proprietary,[empty]
Microsoft Team Foundation Server,Yes,Yes,Yes,Proprietary,[empty]
Milestones Professional,No,Yes,No,Proprietary,C++
Mingle,Yes,Yes,Yes,Proprietary,Ruby on Rails
MyWorkPLAN,No,Unknown,Unknown,Proprietary,[empty]
NetPoint,No,Unknown,Unknown,Proprietary,[empty]
NetSuite,Yes,Unknown,Yes,Unknown,[empty]
O3Spaces,No,Unknown,Unknown,Proprietary,[empty]
OmniPlan,No,Yes,No,Proprietary,[empty]
Onepager pro,No,Yes,No,Proprietary,ASP.NET
Open Workbench,No,Unknown,Unknown,Open source,[empty]
OpenProj,No,Unknown,Yes,CPAL,Java
OpenProject,Yes,Yes,Yes,GPL,Ruby on Rails and AngularJS
OnlyOffice,Yes,Yes,Yes,GPL,ASP.NET
Oracle Primavera EPPM (Primavera P6),Yes,Yes,Yes,Proprietary,[empty]
phpGroupWare,Yes,Unknown,Unknown,GPL,PHP
PHProjekt,Yes,Unknown,Unknown,LGPL,PHP
Pivotal Tracker,Yes,No,Yes,Unknown,Ruby
Plandora,Yes,Yes,Unknown,LGPL,Java
Planisware,Yes,Yes,Yes,Proprietary,[empty]
PLANTA Project,Yes,Yes,No,Proprietary,[empty]
Project Builder,Yes,Yes,Yes,Proprietary,[empty]
Project KickStart,No,Yes,Unknown,Proprietary,[empty]
Project Team Builder,Yes,Yes,Yes,Proprietary,[empty]
Projector PSA,Yes,Yes,Yes,Proprietary,[empty]
ProjectLibre,No (Cloud based version under development)[10],Yes,No (Included in future plans)[11],CPAL,Java
ProjectManager.com,Yes[12],No,Yes,Proprietary,[empty]
Project.net,Yes,Yes,Yes,GPL,Java
Projectplace,Yes,No,Yes,Proprietary,[empty]
Projektron BCS,Yes,Yes,Yes,Proprietary,Java
ProjeQtOr,Yes,Yes,Yes,AGPL,PHP
Proliance,Yes,Yes,Yes,Proprietary,[empty]
ProjectLink,Yes,Yes,Yes,Proprietary,[empty]
Prolog,Yes,Yes,Yes,Proprietary,[empty]
Priority Matrix,Yes,No,Yes,Proprietary,[added]
Pyrus,Yes,Yes,Yes,Proprietary,[empty]
RationalPlan,Yes,Yes,Yes,Proprietary,[empty]
Realisor,No,Yes,No,Proprietary,[empty]
Redbooth,Yes[13],Yes,Yes[13],AGPL;[14] Proprietary (version 4),Ruby on Rails
Redmine,Yes,Yes,Yes [15][16][17],GPL,Ruby
Rillsoft Project & Integration Server,Yes,Yes,Yes,Proprietary,C++ and PHP
RiskyProject,Yes,Yes,Yes,Proprietary,[empty]
SAP Business ByDesign,Yes,Unknown,Yes,Proprietary,[empty]
Sciforma,Yes,Yes,Yes,Proprietary,[empty]
Scoro,Yes,No,Yes,Proprietary,PHP[18]
Seavus Project Viewer (software),Yes,Yes,Yes,Proprietary,C++
Severa,Yes,Unknown,Yes,Unknown,[empty]
Smartsheet,Yes,Unknown,Yes,Proprietary,PHP
Spider Project,No,No,No,Proprietary,[added]
Streamtime Software,Yes,No,Yes,Proprietary,PHP
TACTIC,Yes,Yes,Yes,Eclipse Public License,Python
Talygen,Yes,No,Yes,Proprietary,ASP.NET
TaskJuggler,No,Yes,No,GPL,Ruby
Teamcenter,Yes,Yes,Yes,Proprietary,[empty]
TeamDynamixHE,Yes,Yes,Yes,Proprietary,[empty]
Teamwork.com,Yes,No,Yes,Proprietary,[empty]
Tom's Planner,Yes,Unknown,Unknown,Proprietary,[empty]
Trac,Yes,Yes,Yes,(modified) BSD license,Python
TrackerSuite.Net,Yes,Yes,Yes,Proprietary,[empty]
Traction TeamPage,Yes,Yes,Yes,Proprietary,Java
Trello,Yes,No,Yes,Proprietary,CoffeeScript  Backbone.js  HTML5  Mustache templating language  MongoDB  Node.js  Socket.io
Triskell,Yes,No,Yes,Proprietary,Java
Tuleap,Yes,Yes,Yes,GPL,[empty]
Twproject,Yes,Yes,Yes,Proprietary,[empty]
UniPhi,Yes,Yes,Yes,Proprietary,ASP.NET
Vpmi,Yes,Unknown,Unknown,Proprietary,[empty]
web2project,Yes,Unknown,Unknown,GPL,PHP
Workamajig,Yes,Yes,Yes,Proprietary,[empty]
Workfront,Yes[19],No,Yes,Proprietary,[empty]
WorkPLAN Enterprise,No,Unknown,Unknown,Proprietary,[empty]
workspace.com,Yes,Unknown,Yes,Proprietary,[empty]
Wrike,Yes,Unknown,Yes,Proprietary,[added]
Zoho Projects,Yes,No,Yes,Proprietary,PHP
Software,Collaborative software,Issue tracking system,Scheduling,Project Portfolio Management,Resource Management,Document Management,Workflow system,Reporting and Analyses
2-plan,Yes,No,Yes[20],Yes,Yes,Yes,Yes,Yes
24SevenOffice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Actionspace,Yes,Yes,Yes,No,No,No (Integrates with SharePoint),Yes,Yes
Apache Allura,Yes,Yes,No,Yes,Yes,Yes,No,No
Apache OFBiz,Unknown,No,Yes,Yes,Yes,Yes,No,Unknown
Apache Bloodhound,Yes,Yes,No,No,No,No,Yes,No
Asana,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Assembla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Axosoft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Basecamp,Yes[21],No,No,No,Yes[19],Yes,No,No
Calligra Plan,No,No,Yes,No,Yes,No,No,No
CEITON,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Clarizen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Collabtive,Yes,No,No,No,No,Yes,No,Yes
Compuware Changepoint,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ConceptDraw Project,Yes[22],Yes[23],Yes[24],Yes,Yes,Yes,Yes,Yes
Concerto Project Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Copper Project,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
dotProject,Yes,Yes,No,Yes,Yes,Yes,No,Yes
DynaRoad,No,No,Yes,No,Yes,No,Yes,Yes
Easy projects,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Eclipse PPM software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Endeavour Software Project Management,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
eGroupWare,Yes,Yes,No,Yes,Yes,Yes,No,No
enQuire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FastTrack Schedule,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Feng Office Community Edition,Yes,No,Yes,Yes,No,Yes,No,No
FinancialForce.com,No,No,Yes,No,Yes,No,No,Yes
FogBugz,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Fossil-scm,Yes,Yes,No,No,No,No,No,No
Freedcamp,Yes,Yes,Yes,No,No,Yes,Yes,Yes
GanttProject,No,No,Yes,No,Yes,No,No,No
Genius Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Group-Office,Yes,No,Yes,No,No,Yes,No,No
GroveSite,Yes,Yes,Yes,Yes,No,Yes,No,No
Hall.com,Yes,No,No,No,Yes,Yes,No,No
Helix ALM,Yes,Yes,No,No,No,No,Yes,Yes
HeySpace,Yes,Yes,Yes,Yes,No,No,No,No
HP Project & Portfolio Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Huddle,Yes,No,No,No,No,Yes,No,No
Hyperoffice,Yes,No,No,No,No,Yes,No,No
iManageProject,Yes,No,No,No,Yes,Yes,No,No
InLoox,Yes,Yes,Yes,No,Yes,Yes,No,Yes
in-Step BLUE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IRise,Yes,Yes,Yes,No,No,No,Yes,Yes
Jira,Yes,Yes,Yes,No,No,No,Yes,Yes
Launchpad,Yes,Yes,No,Yes,No,No,No,No
LibrePlan,Yes,No,Yes,No,Yes,No,No,Yes
LiquidPlanner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LisaProject,No,No,Yes,No,Yes,No,No,No
MacProject,No,No,Yes,No,Yes,No,No,No
MantisBT,No,Yes,No,No,No,No,No,No
MeisterTask,Yes,Yes,Yes,Unknown,Unknown,No,Yes,Yes
Métier,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Microsoft Dynamics AX,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Microsoft Office Project Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Microsoft Project,No,No,Yes,No,Yes,No,No,Yes
Microsoft SharePoint Server,Yes,Yes,Yes,No,No,Yes,Yes,No
Microsoft Team Foundation Server,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Milestones Professional,No,Yes,Yes,No,No,Yes,No,No
MyWorkPLAN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NetPoint,No,No,Yes,No,Yes,No,No,No
NetSuite,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
O3Spaces,Yes,No,No,No,No,Yes,No,No
OnePager Pro,Yes,No,Yes,Yes,Yes,Yes,No,Yes
OmniPlan,Yes,No,Yes,No,Yes,No,No,Yes
Open Workbench,No,No,Yes,No,Yes,No,No,No
OpenProj,No,No,Yes,No,Yes,No,No,No
OpenProject,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes (Via OpenProject plug-ins)[25]
Oracle Primavera EPPM (Primavera P6),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
phpGroupWare,Yes,Yes,No,Unknown,Yes,Yes,No,No
PHProjekt,Yes,Yes,Yes,No,No,No,No,No
Pivotal Tracker,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Plandora,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Planisware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PLANTA Project,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Project Builder,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
