[empty],Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
Adobe Streamline,Adobe Systems,1989,4.0,discontinued,Proprietary,[empty]
CorelDRAW,Corel,1989,2017,$449  $169 upgrade,Proprietary,Windows
Easy Trace,Easy Trace Group,2015,9.8,960 Euro  480 Euro upgrade,Proprietary,Windows
Macromedia FreeHand,Macromedia,1988,11.0.2 discontinued (MX),$399  $99 upgrade,Proprietary,Windows  macOS
Adobe Illustrator,Adobe Systems,1985,21.0.0 (CC2017),$19.99 per month,Proprietary,Windows  macOS
Graphic Tracer Professional,GraphicPowers.com,2016,release 5,$15 per month/ $120 per year,Proprietary,Windows  macOS due fall 2017
Inkscape (using Potrace),Inkscape.org,2003,0.92,free,GPL,Windows  macOS  Linux
ImageTracer,András Jankovics,2015,1.2.5,free,Public domain,Cross-platform   JavaScript or Java based
MagicTracer,Elgorithms,2003,2.0.012,$59,Proprietary,Windows
Potrace,Peter Selinger,2001,1.16 (Sep. 2019),free,GPL,Windows  macOS  Linux  BSD  AmigaOS/AROS
Scan2CAD,Avia Systems,1997,v10,$49 - $149 /month,Proprietary,Windows  macOS
WinTopo Freeware,SoftSoft Ltd,1999,2015 (v1.76),free,Freeware,Windows
WinTopo Pro,SoftSoft Ltd,2000,2015 (v3.6),$299,Proprietary,Windows
Xara Photo & Graphic Designer,Xara Group Ltd.,1994,2014 (v10),$89.99,Proprietary,Windows
Super Vectorizer,Effectmatrix Ltd.,2013,2016 (v1.6.6),$29.99,Proprietary,macOS
[empty],Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
NAME,Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,Adjust Image (functions),Text Recognition (OCR),Scripting support
Easy Trace,12800x,No Limit,?,Yes,Yes,Yes,No,No
FreeHand,64x,?,?,No,?,?,No,Yes
Graphic Tracer Professional,No limit,No limit,No limit,No,?,?,Yes,No
Illustrator,640x,?,?,Yes,?,?,No,Yes
Potrace,N/A,?,?,No,?,?,No,No
ImageTracer[1],N/A,No limit,No limit,No,No,?,No,Yes
Scan2CAD,64K,No limit,No limit,Yes,?,?,Yes,Yes
WinTopo Pro[2],512x,No limit,No limit,Yes,Yes,Yes,No,Yes
[empty],Maximum zoom,Object limit per document,Control point limit,Color management for print,Thumbnails,adjust image (functions),Text Recognition (OCR),Scripting support
NAME,Export universal DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
Easy Trace,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
FreeHand,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Graphic Tracer Professional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Illustrator,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Potrace,Yes,No,No,?,?,?,Yes,?
ImageTracer,No,No,Yes,No,Yes,Yes,Yes,Yes
Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WinTopo Pro,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
[empty],Export universal DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
[empty],Scanner support,Freehand sketch,Raster filters,Change color depth,Image resize,Rotate,Crop,Raster shapes
Easy Trace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FreeHand,No,No,No,No,Yes,Yes,No,No
Graphic Tracer Professional,Yes,Yes,N/A,N/A,Yes,Yes,No,N/A
Illustrator,No,No,No,No,Yes,Yes,No,No
Potrace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ImageTracer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WinTopo Pro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
[empty],Scanner Support,Freehand sketch,Raster Filters,Change color depth,Image resize,Rotate,Crop,Raster Shapes
[empty],Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,Font ID & replace
Easy Trace,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
FreeHand,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Graphic Tracer Professional,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Illustrator,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Potrace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
ImageTracer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WinTopo Pro,?,Yes,Yes,Yes,Yes,?,?,No
[empty],Fills & hatch,Vector combine,Rotate & move,Polylines,Spline curves,Lines to curves cmd. & vice versa,Vector shapes,[empty]
