Software,Developer,First public release,Latest stable release date,Latest stable version,Cost (USD),Free software,License,Notes
Bebop,ALaRI Institute,2007-11-08,2009-11-10,1.1,Free,Yes,BSD,web-based BibTeX front-end (Apache  PHP  MySQL)
BibBase,Christian Fritz,2005,2013-07,v3,Free,No,Proprietary,centrally hosted website  intended for publication pages
BibDesk,BibDesk developers,2002-04,2019-06-03,1.7.1,Free,Yes,BSD,BibTeX front-end + repository; Cocoa-based; integration with Spotlight
Biblioscape,CG Information,1997,2015-06-22,10.0.3.6,US$79-299[1],No,Proprietary,ODBC; web access in Pro ed; optional client/server; discontinued?
BibSonomy,University of Kassel,2006-01,2018-07-30,3.8.13,Free,Yes,AGPL  GPL  LGPL[2],centrally hosted website
Bibus,Bibus developers,2004-06-03,2013-05-23,1.5.1,Free,Yes,GNU GPL,discontinued?
Bookends,Sonny Software,1988 (Mac) / 1983 (Apple II+),2019-06-22,13.2.4 [3],US$59.99[1],No,Proprietary,Desktop & iOS synced via iCloud  integrated web search  pdf download  auto-completion  Word plugin  BibTex support  PDF annotations stored as notes
Citavi,Swiss Academic Software,2006-02-13,2019-01-10,6.3,US$70-949 / Free for projects up to 100 references[4],No,Proprietary,data can be saved locally on the computer  or  for team access  in the Citavi Cloud or an intranet Microsoft SQL Server;[5] search databases from interface[6]
CiteULike,Oversity Limited,2004-11,Shut down in 2019-03-30[7],[empty],Free,No,proprietary[8],centrally hosted website
colwiz,colwiz Ltd,2011,2016-05-09,[empty],Free / Online storage free up to 3 GB / Additional storage space available,No,Proprietary,Desktop (Win  Mac  Linux) & Web components  iOS and Android
EndNote,Clarivate Analytics,1988,2018-01-09,X9,US$299.95[1],No,Proprietary,The web version EndNote basic (formerly  EndNote Web) is free of charge
F1000Workspace,F1000/Science Navigation Group,2015-05,Continually updated online,[empty],Institutional access – varies with size of institute / Personal subscription $9.99/month / Free Trial Version,No,Proprietary,Web-based  Microsoft Word plug-in (Win  Mac)  Google Docs add-on  browser extension(s) Chrome  Firefox  Safari  Opera  Internet Explorer 11  mobile app available
JabRef,JabRef developers,2003-11-29,2018-06-05,4.3.1,Free,Yes,MIT license,Java BibTeX and BibLaTeX manager
KBibTeX,KBibTeX developers,2005-08,2018-06-21,0.8.1,Free,Yes,GNU GPL,BibTeX front-end  using the KDE Software Compilation
Mendeley,Elsevier,2008-08,2018,1.19,Free / Online storage free up to 2 GB / Additional storage space available,No,proprietary (OS API clients exist),Account required  Desktop & Web components  Windows  Linux  macOS  iPhone & iPad  Android
Paperpile,Stefan Washietl  Gregorgy Jordan  Andreas Gruber,2013,Continually updated online,[empty],US$2.99/month for academics  9.99/month otherwise,No,Proprietary,web-application  integrates with Google Docs  collaboration & sharing features  currently only on Google Chrome
Pybliographer,pybliographer developers,1998-10-30 (0.2),2018-04-03,1.4.0,Free,Yes,GNU GPL,Python/GTK2
Qiqqa,Qiqqa,2010-04,2016-09,v79,Free  Freemium and Premium versions,No,Proprietary,Desktop; Tablet; Web; Intranet
ReadCube Papers (now Papers),ReadCube,2011-10,2019-01-18,v.4.0.16 (Web App),US$ 3/month for students  5/month academics,No,Proprietary,Web-based  MacOS  Windows  iOS and Android Microsoft Word plug-in browser extension (Chrome  Firefox  Edge)
refbase,refbase developers,2003-06-03,2014-02-28,0.9.6,Free,Yes,GNU GPL,web-based for institutional repositories/self-archiving[9]
RefDB,refdb developers,2001-04-25,2007-11-05,0.9.9,Free,Yes,GNU GPL,network-transparent; XML/SGML bibliographies
Reference Manager,Thomson Reuters,1984,2010,12.0.3,Not for sale anymore  sales ceased December 31  2015,No,Proprietary,network version; built-in web publishing tool; discontinued
Referencer,Referencer developers,2008-03-15,2014-02-27,1.2.2,Free,Yes,GNU GPL,BibTeX front-end
RefWorks,Ex Libris / ProQuest,2001,2018,3,Institutional subscription,No,Proprietary,web-based  browser-accessed  Word & Google Docs
RefME,RefME,2014,Shut down in 2017,[empty],Free,No,Proprietary,Web  iOS and Android; Chrome and Safari Extensions available; discontinued
SciRef,Scientific Programs,2012,2015-07-26,1.5,US$38.90 / Free trial version,No,Proprietary,[empty]
Sente,Third Street Software  Inc.,2004,Shut down in 2017,6.7.9,US$60–80[1] / Free for libraries up to 100 refs,No,Proprietary,Desktop and iPad  centralized backup/synching; discontinued
Wikindx,Mark Grimshaw,2004-02,2019-08-20,5.8.2,Free,Yes,CC-BY-NC-SA,web-based
WizFolio,WizPatent,2008-06,Shut down in 2017,Avatara,US$25 / Free Basic version,No,Proprietary,centrally hosted website; discontinued
Zotero,Roy Rosenzweig Center for History and New Media at GMU,2006,2019-06-14,5.0.67 [10],Free / Online storage free up to 300 MB / Additional storage space available,Yes,AGPL,Multi-platform desktop version with connectors for Firefox  Chrome and Safari. Web-based access to reference library also available.
Software,Windows,macOS,Linux,ChromeOS,BSD,Unix,iOS App,Android App,Windows App
Bebop,Yes,Yes,Yes,?,Yes,Yes,No,No,No
BibBase,N/A,N/A,N/A,N/A,N/A,N/A,?,?,?
BibDesk,No,Yes,No,?,No,No,Third-party - PocketBib,?,?
BibSonomy,N/A,N/A,N/A,N/A,N/A,N/A,?,?,?
Bibus,Yes,Experimental,Yes,?,Yes,Yes,No,No,No
Bookends,No,Yes,No,?,No,No,Yes,?,?
Citavi,Yes,No,No,No,No,No,No,No,No
CiteULike,N/A,N/A,N/A,N/A,N/A,N/A,?,?,?
colwiz,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,No
EndNote,Yes,Yes,No,No,No,No,Yes,No,No
F1000Workspace,Yes,Yes,No,No,No,No,Yes,Yes,No
JabRef,Yes,Yes,Yes,No,Yes,Yes,No,No,No
KBibTeX,Experimental,Experimental,Yes,?,Yes,Yes,No,No,No
Mendeley,Yes,Yes,Yes,No,No,No,Yes,Yes,No
Paperpile,Yes,Yes,Yes,Yes,No (requires Chromium),No (requires Chromium),in beta,in beta,No
Pybliographer,Partial[11],Partial[11],Yes,?,Yes,Yes,No,No,No
Qiqqa,Yes,No,No,?,No,No,No,Yes,No
ReadCube (now Papers),Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
refbase,Yes,Yes,Yes,?,Yes,Yes,No,No,No
RefDB,Yes,Yes,Yes,?,Yes,Yes,No,No,No
Reference Manager,Yes[12],No,No,?,No,No,No,No,No
Referencer,No,No,Yes,?,No,No,?,?,?
RefWorks[13],Yes,Yes,No,Yes,Yes,?,No - but is responsive,?,No
SciRef,Yes,No,No,?,No,No,?,?,?
Sente,No,Yes,No,?,No,No,Yes[14],?,?
Wikindx,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WizFolio,Yes,Yes,Yes,?,Yes,Yes,?,?,?
Zotero,Yes,Yes,Yes,?,Yes,Yes,third party,third party - Aziz  Lite![15],No
Software,BibTeX,Endnote/Refer/BibIX,Medline,MODS XML,RIS,Other
Bebop,Yes,No,No,No,No,unAPI
BibBase,Yes,No,No,No,No,none
BibDesk,Yes,No,Yes,Yes,Yes,Endnote XML  user customizable
BibSonomy,Yes,Yes,No,No,Yes,various [2]
Bibus,Yes,Yes,Yes,No,Yes,SQLite
Bookends,Yes,Yes,Yes,No,Yes,various user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,Yes,COinS  Delicious
colwiz,Yes,Yes,No,Yes,Yes,EndNote XML  CSL formatted HTML
EndNote,Yes,Yes,Yes,No,Yes,various[16]
F1000Workspace,Yes,No,No,No,Yes,CSV
JabRef,Yes,Yes,No,Yes,Yes,BibTeXML  DocBook  HTML  OpenDocument for OO.o  RTF  SQL database  user-customizable
KBibTeX,Yes,Yes,No,Depends[17],Yes,PDF  PostScript  HTML  XML  RTF
Mendeley,Yes,Yes,No,No,Yes,Endnote XML
Paperpile,Yes,No,No,No,Yes,none
Pybliographer,Yes,Yes,Yes,No,No,Ovid
ReadCube (now Papers),Yes,Yes,No,No,Yes,none
Qiqqa,Yes,No,No,No,No,none
refbase,Yes,Yes,No,Yes,Yes,COinS  OpenDocument for OO.o  SRW XML via SRU  unAPI  Word XML
RefDB,Yes,Yes,No,Yes,Yes,SRW XML via SRU web service  DocBook  TEI
Reference Manager,No,No,No,No,Yes,MEDLARS  TSV  CSV  Reference Manager XML  user-customizable
Referencer,Yes,No,No,No,No,none
RefWorks,Yes,Yes,No,Yes,Yes,RIS  BibTeX  Tab delimited or XML metadata
SciRef,No,No,No,No,Yes,Plain text  RTF
Sente,Yes,Yes,No,No,Yes,user-customizable
Wikindx,Yes,Yes,No,Yes,Yes,COinS  RTF  HTML  ADS  Word BIB
WizFolio,No,No,No,No,Yes,No
Zotero,Yes,Yes,as of version 4.0[18],Yes,Yes,COinS  CSV  Several RDF format standards  TEI  Wikipedia citation templates  Endnote XML  CSL JSON  Refer/BiblX  RefWorks tagged
Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder,Other
Bebop,Yes,No,No,No,No,No,No,No,No,No,No,none
BibBase,Yes,No,No,No,No,No,No,No,No,No,No,none
BibDesk,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,MARC  JSTOR  Reference Miner
Biblioscape,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
BibSonomy,Yes,No,No,Yes,No,No,No,No,No,No,No,Firefox bookmarks
Bibus,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,none
Bookends,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various [3]; user-customizable
Citavi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various
CiteULike,Yes,No,No,No,No,No,No,No,No,Yes,No,none
colwiz,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,with built-in browser  bookmarklet
EndNote,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various[19]
F1000Workspace,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,EndNote XML  NBIB from PubMed  Medline  PDF
JabRef,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BibTexML  Biblioscape  Biomail  Inspec  JSTOR  MSBib  PDF widh XMP annotations  REPEC (NEP)  SilverPlatter  SixPack
KBibTeX,Yes,No,No,Yes,No,No,Depends[17],No,Yes,Yes,No,none
Mendeley,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Browser bookmarks
Paperpile,Yes,No,No,No,No,No,No,No,No,Yes,No,PDF
Pybliographer,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,none
Qiqqa,Yes,No,No,Yes,No,No,No,No,Yes,No,No,none
ReadCube (now Papers),Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,PDF
refbase,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,RefWorks
RefDB,Yes,Yes[17],No,Yes[17],Yes[17],Yes,Yes,No,Yes,Yes,Yes[17],MARC  risx
Reference Manager,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,various;[20] user-customizable
Referencer,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,none
RefWorks,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,various[21]
SciRef,No,No,No,Yes,No,No,No,No,No,Yes,No,?
Sente,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Dublin Core  Marc21 SUTRS  JSTOR  SilverPlatter
Wikindx,Yes,Depends[17],No,Yes[citation needed],Depends[17],No,Depends[17],No,Yes[citation needed],Yes[citation needed],No,ISI  BibReX LaTeX
WizFolio,No,No,No,No,No,No,No,No,No,Yes,No,Internet Browser bookmarks[22]
Zotero[23],Yes,No[24],No[24],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,COinS  MARC  RDF  unAPI  Browser bookmarks  Endnote XML
Software,APA,Chicago/Turabian,Harvard,MLA,Other,Extension method
Bebop,No,No,No,No,none,none
BibBase,Yes,No,No,No,none,none
BibDesk,Yes,yes,No,No,various,BibDesk export templates
Biblioscape,Yes,Yes,Yes,Yes,2000+ styles[citation needed],Biblioscape format (through GUI)
BibSonomy,Yes,No,Yes,No,none,none
Bibus,Yes,No,No,No,56 styles  user-contributed,bibus format (through GUI)
Bookends,Yes,Yes,Yes,Yes,various[citation needed],?
Citavi,Yes,Yes,Yes,Yes,10600+ styles. Styles can be requested and are centrally corrected; any BibTeX style when used with LaTeX.,Citavi format (through GUI)  includes conditions and programmable components; BibTeX
CiteULike,Yes,Yes,Yes,Yes,various[citation needed],none
colwiz,Yes,Yes,Yes,Yes,9464 styles,CSL
EndNote,Yes,Yes,Yes,Yes,6926 styles,EndNote format (through GUI)
F1000Workspace,Yes,Yes,Yes,Yes,9464 styles,CSL
JabRef,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
KBibTeX,Yes,Yes,Yes,Yes,any BibTeX style,BibTeX
Mendeley,Yes,Yes,Yes,Yes,9464 styles,CSL
Paperpile,Yes,Yes,Yes,Yes,9464 styles,CSL
Pybliographer,Yes,No,No,No,none,Pybliographer XML
Qiqqa,Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
ReadCube (now Papers),Yes,Yes,Yes,Yes,9464 styles,BibTeX and CSL
refbase,Yes,Yes,Yes,Yes,various polar & marine journals,PHP
RefDB,Yes,Yes,Yes,Yes,21 biomedical & law journals,XML (citestylex.dtd)  interactive script
Reference Manager,Yes,Yes,Yes,Yes,various,Reference Manager format (through GUI)
Referencer,?,?,?,?,?,?
