Name,Official website,Programming language,Software license,Used by
Boost.Regex[Note 1],Boost C++ Libraries,C++,Boost,Notepad++ >= 6.0.0  EmEditor
Boost.Xpressive,Boost C++ Libraries,C++,Boost,[empty]
CL-PPCRE,Edi Weitz,Common Lisp,BSD,[empty]
cppre,Jeff Stuart,C++,GPL,[empty]
DEELX,RegExLab,C++,Free personal and commercial use,[empty]
FREJ[Note 2],Fuzzy Regular Expressions for Java,Java,LGPL,[empty]
GLib/GRegex[Note 3],GLib reference manual,C,LGPL,[empty]
GRETA,Microsoft Research,C++,?,[empty]
Gregex,Grovf Inc.,RTL  HLS,Proprietary,FPGA accelerated >100Gbps regex engine for cybersecurity  financial  e-commerce industries.
Helios RXPF,Titan IC,RTL,Proprietary,hardware accelerated regex engine for cybersecurity OEMs
Hyperscan,Intel,C  x86-specific assembly (SSSE3+[1]),3-clause BSD,Rspamd
ICU,International Components for Unicode,C  C++[Note 4],ICU,Foundation (Apple and Swift open-source versions)
Jakarta/Regexp,The Apache Jakarta Project,Java,Apache,[empty]
java.util.regex,Java's User manual,Java,GNU GPLv2 with Classpath exception,jEdit
JRegex,JRegex,Java,BSD,[empty]
MATLAB,Regular Expressions,MATLAB Language,MATLAB  The Language of Technical Computing,[empty]
Oniguruma,Kosako,C,BSD,Atom  Take Command Console  Tera Term  TextMate  Sublime Text  SubEthaEdit  EmEditor and jq
Onigmo (Oniguruma-mod),Onigmo,C,BSD,Ruby
Pattwo,Stevesoft,Java (compatible with Java 1.0),LGPL,[empty]
PCRE,pcre.org,C  C++[Note 5],BSD,Apache HTTP Server  Nginx  Julia  HHVM  Notepad++ < 6.0.0  PHP  Delphi  R
Qt/QRegExp,Digia,C++,Qt GNU GPL v. 3.0  Qt GNU LGPL v. 2.1  Qt Commercial,Kate  Kile
regex - Henry Spencer's regular expression libraries,ArgList,C,BSD,[empty]
RE2,RE2,C++,BSD,Go
Henry Spencer's Advanced Regular Expressions,Tcl,C,BSD,[empty]
RGX,RGX,C++ based component library,P6R,[empty]
SubReg,Matt Bucknall,C,MIT,[empty]
TPerlRegEx,TPerlRegEx VCL Component,Object Pascal,MPLv1.1,[empty]
TRE[Note 2],Ville Laurikari,C,BSD,[empty]
TRegExpr,RegExp Studio,Object Pascal,Dual-license: freeware  or LGPL with static linking exception,Total Commander
XRegExp,XRegExp,JavaScript,MIT,[empty]
Wolfram Language (Mathematica),Wolfram Language Documentation Center,Wolfram Language,[empty],Mathematica  the Wolfram Development Platform
[empty],"+" quantifier,Negated character classes,Non-greedy quantifiers[Note 1],Shy groups[Note 2],Recursion,Look-ahead,Look-behind,Backreferences[Note 3],>9 indexable captures
Boost.Regex,Yes,Yes,Yes,Yes,Yes[Note 4],Yes,Yes,Yes,Yes
Boost.Xpressive,Yes,Yes,Yes,Yes,Yes[Note 5],Yes,Yes,Yes,Yes
CL-PPCRE,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
EmEditor,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
FREJ,No[Note 6],No,Some[Note 6],Yes,No,No,No,Yes,Yes
GLib/GRegex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GNU grep,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Haskell,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Helios RXPF,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
ICU Regex,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Java,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
JavaScript (ECMAScript),Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
JGsoft,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Lua,Yes,Yes,Some[Note 7],No,No,No,No,Yes,No
.NET,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
OCaml,Yes,Yes,No,No,No,No,No,Yes,No
OmniOutliner 3.6.2,Yes,Yes,Yes,No,No,No,No,?,?
PCRE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Perl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PHP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Python,Yes,Yes,Yes,Yes,Yes[Note 8],Yes,Yes,Yes,Yes
Qt/QRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
RE2,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Ruby / Onigmo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TRE,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Vim,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
RGX,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Tcl,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
TRegExpr,Yes,?,Yes,?,?,?,?,?,?
XML Schema,Yes,Yes,No,N/A,No,No,No,No,N/A
XPath 3/XQuery,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
XRegExp,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
[empty],Directives[Note 1],Conditionals,Atomic groups[Note 2],Named capture[Note 3],Comments,Embedded code,Unicode property support [19],Balancing groups[Note 4],Variable-length look-behinds[Note 5]
Boost.Regex,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,No
Boost.Xpressive,Yes,No,Yes,Yes,Yes,No,No,No,No
CL-PPCRE,Yes,Yes,Yes,Yes,Yes,Yes,Some[Note 6],No,No
EmEditor,Yes,Yes,?,?,Yes,No,?,No,No
FREJ,No,No,Yes,Yes,Yes,No,?,No,No
GLib/GRegex,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,No
GNU grep,Yes,Yes,?,Yes,Yes,No,No,No,No
Haskell,?,?,?,?,?,No,No,No,No
Helios RXPF,Yes,Yes,No,Yes,Yes,No,No,No,No
ICU Regex,Yes,No,Yes,Yes[Note 7],Yes,No,Yes,No,No
Java,Yes,No,Yes,Yes[Note 8],Yes,No,Some[Note 6],No,No
JavaScript (ECMAScript),No,No,No,No,No,No,No,No,No
JGsoft,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],No,Yes
Lua,No,No,No,No,No,No,No,No,No
.NET,Yes,Yes,Yes,Yes,Yes,No,Some[Note 6],Yes,Yes
OCaml,No,No,No,No,No,No,No,No,No
OmniOutliner 3.6.2,?,?,?,?,No,No,?,No,No
PCRE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Perl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No[Note 9]
PHP,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Python,Yes,Yes,Yes[Note 10],Yes,Yes,No,Yes[Note 11],No,Yes[Note 10]
Qt/QRegExp,No,No,No,No,No,No,No,No,No
RE2,Yes,No,?,Yes,No,No,Some[Note 6],No,No
Ruby / Onigmo,Yes,Yes,Yes,Yes,Yes,Yes,Some[Note 6],No,No
Tcl,Yes,No,Yes,No,Yes,No,Yes,No,No
TRE,Yes,No,No,No,Yes,No,?,No,No
Vim,Yes,No,Yes,No,No,No,No,No,Yes
RGX,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
XML Schema,No,No,No,No,No,No,Yes,No,No
XPath 3/XQuery,No,No,No,No,No,No,Yes,No,No
XRegExp,Leading only,No,No,Yes,Yes,No,Yes,No,No
