Research Networking Tool,Link to Product Page,Developer/Owner,Open Source,Adopters
Activity Insight,Activity Insight[6],Digital Measures[7],No,Hundreds of major research institutions around the world
C-IKNOW[8][9],C-IKNOW,Science of Networks in Communities (SONIC) - Northwestern University,Yes,National Cancer Institute  National Science Foundation
PROFILES by Mentis (formerly Collaborative Partnership / Profile System),PROFILES by Mentis][10],Inknowledge  Inc (previously University of Texas at Arlington),No (Profiles is available in a free forever plan),UT Arlington  UT Pan American  University of North Texas Health Science Center  UT El Paso  UT San Antonio  UT Tyler  UT Health Science Center  University of North Texas (formerly)  UT Dallas  UT Health Center at Tyler  Texas Christian University  Gulf Coast Consortia: Rice University  Baylor College of Medicine and several others)
Community Academic Profiles - CAP,Community Academic Profiles,Stanford University,No,Stanford University
Converis,Converis,Clarivate Analytics,No,Several universities  governments and funders across North and South America  Europe  Middle East  North Africa  Sub Saharan Africa and Asia.
CurvitaTM Profile Manager,Curvita Profile Manager,SciMed Solutions,No,University of North Carolina  University of Virginia  Duke University
CUSP - Columbia University Scientific Profiles,CUSP,Columbia University,No,Columbia University
Digital Vita,DigitalVita,Center for Dental Informatics - University of Pittsburgh,Yes,University of Pittsburgh  Pitt Health Sciences Center
Dimensions,Dimensions,Digital Science,No,University of Michigan  University of Massachusetts - Lowell  University of California San Diego. See case studies.
Elsevier's Pure,Pure,Elsevier,No,250 implementations worldwide containing profiles for over 185.000 researcher profiles. See Pure client list.
Elsevier's SciVal,SciVal,Elsevier,No,Over 200 adopters worldwide
Epernicus Solutions & Epernicus Network,Epernicus,Epernicus,No (but Epernicus Network is free to use),Harvard  MIT  Indiana University  Stanford  University of California Berkeley (but not exclusively)
Epistemio,Epistemio,Epistemio,No,N/A (platform is directed toward individual researcher use)
ERIM Member Profile System (ERIM MIS),People ERIM People profile system,Erasmus Research Institute of Management  Erasmus University Rotterdam  Netherlands,No,Erasmus University
Esploro,Esploro,Ex Libris,No,> 10 in early adopter program; Ex-Libris has a large presence in the higher Education community
EUREKA!TM Enhancing Student Research,EUREKA,University of Texas at Austin (UTA),No,University of Texas at Austin
Expertise @ Maryland,UM Experts,University of Maryland,Yes (will be),University of Maryland College Park
Faculty Profile System,UC Irvine Faculty Profile System,University of California Irvine,No,UC Irvine
Faculty Profiles System,Stony Brook University Faculty Profiles System,Stony Brook University,No,Stony Brook University
Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,University of Pittsburgh,N/A,(formerly) University of Pittsburgh
Faculty Scholarly Productivity Index,Academic Analytics,Academic Analytics  LLC,No,Unknown
Faculty180,Faculty180,Interfolio,No,Institutions of higher education in the United States and Canada.
GENIUS,InfoEd GENIUS,InfoEd Global,No,Many Big Ten/CIC institutions
Google,Google search generated from an institution's home page or Google search limited to only one domain (e.g. university.edu),Google,No (but anyone can access Google),Anyone can access
HUBzero,HUBzero,Purdue University,Yes[11],Indiana CTSI  Indiana University  Purdue University  Notre Dame
iamResearcher,iamResearcher,University of Southampton  UK,Unknown,N/A (platform is directed toward individual researcher use)
iAMscientist,iAMscientist,iAMscientist.inc,No,Unknown
i2iConnect,i2iConnect,Indiana University,No (but original software from ThemesJoomla is),N/A (platform is directed toward individual researcher use)
InCites,InCites,Clarivate Analytics,No,Unknown
INDURE (Indiana Database for University Research Expertise),INDURE,Indiana University / Purdue University,No,Ball State  Indiana University  Purdue University  University of Notre Dame
IRIS (Institutional Research Information System),IRIS,CINECA,Yes (will be in CERIF mode in first half of 2016),60 universities[12]
Knode,Knode,Knode,No,Multiple  anyone can use  collaborating with VIVO and UCSF
Lattes Platform,Lattes,CNPq - Brazil,Unknown,N/A (Platform is directed toward individual researcher use in Brazil)
LatticeGrid[13],LatticeGrid public Wiki,Northwestern University Clinical and Translational Sciences Institute (NUCATS) - Biomedical Informatics Center (NUBIC),Yes,Northwestern Feinberg School of Medicine & Cancer Center  UCSF Cancer Center  Fox Chase Cancer Center  University of Michigan  Case Western University
