+Key,[empty],This indicates the Ballon d'Or winning player also won the FIFA World Player of the Year or The Best FIFA Men's Player award in the same year (available from 1991 – 2009 and 2016 – present)
Year,Rank,Player,Team,[empty]
Ballon d'Or (1956 – 2009),[added],[added],[added],[added]
1956,1st,Stanley Matthews,Blackpool,47
2nd,Alfredo Di Stéfano,Real Madrid,44,[added]
3rd,Raymond Kopa,Real Madrid,33,[added]
[empty],[added],[added],[added],[added]
1957,1st,Alfredo Di Stéfano,Real Madrid,72
2nd,Billy Wright,Wolverhampton Wanderers,19,[added]
3rd,Duncan Edwards,Manchester United,16,[added]
Raymond Kopa,Real Madrid,[added],[added],[added]
[empty],[added],[added],[added],[added]
1958,1st,Raymond Kopa,Real Madrid,71
2nd,Helmut Rahn,Rot-Weiss Essen,40,[added]
3rd,Just Fontaine,Stade de Reims,23,[added]
[empty],[added],[added],[added],[added]
1959,1st,Alfredo Di Stéfano,Real Madrid,80
2nd,Raymond Kopa,Stade de Reims,42,[added]
3rd,John Charles,Juventus,24,[added]
[empty],[added],[added],[added],[added]
1960,1st,Luis Suárez,Barcelona,54
2nd,Ferenc Puskás,Real Madrid,37,[added]
3rd,Uwe Seeler,Hamburg,33,[added]
[empty],[added],[added],[added],[added]
1961,1st,Omar S�vori,Juventus,46
2nd,Luis Suárez,Internazionale,40,[added]
3rd,Johnny Haynes,Fulham,22,[added]
[empty],[added],[added],[added],[added]
1962,1st,Josef Masopust,Dukla Prague,65
2nd,Eusébio,Benfica,53,[added]
3rd,Karl-Heinz Schnellinger,Köln,33,[added]
[empty],[added],[added],[added],[added]
1963,1st,Lev Yashin,Dynamo Moscow,73
2nd,Gianni Rivera,Milan,55,[added]
3rd,Jimmy Greaves,Tottenham Hotspur,50,[added]
[empty],[added],[added],[added],[added]
1964,1st,Denis Law,Manchester United,61
2nd,Luis Suárez,Internazionale,43,[added]
3rd,Amancio,Real Madrid,38,[added]
[empty],[added],[added],[added],[added]
1965,1st,Eusébio,Benfica,67
2nd,Giacinto Facchetti,Internazionale,59,[added]
3rd,Luis Suárez,Internazionale,45,[added]
[empty],[added],[added],[added],[added]
1966,1st,Bobby Charlton,Manchester United,81
2nd,Eusébio,Benfica,80,[added]
3rd,Franz Beckenbauer,Bayern Munich,59,[added]
[empty],[added],[added],[added],[added]
1967,1st,Flórián Albert,Ferencváros,68
2nd,Bobby Charlton,Manchester United,40,[added]
3rd,Jimmy Johnstone,Celtic,39,[added]
[empty],[added],[added],[added],[added]
1968,1st,George Best,Manchester United,61
2nd,Bobby Charlton,Manchester United,53,[added]
3rd,Dragan Džajić,Red Star Belgrade,46,[added]
[empty],[added],[added],[added],[added]
1969,1st,Gianni Rivera,Milan,83
2nd,Luigi Riva,Cagliari,79,[added]
3rd,Gerd Müller,Bayern Munich,38,[added]
[empty],[added],[added],[added],[added]
1970,1st,Gerd Müller,Bayern Munich,77
2nd,Bobby Moore,West Ham United,70,[added]
3rd,Luigi Riva,Cagliari,65,[added]
[empty],[added],[added],[added],[added]
1971,1st,Johan Cruyff,Ajax,116
2nd,Sandro Mazzola,Internazionale,57,[added]
3rd,George Best,Manchester United,56,[added]
[empty],[added],[added],[added],[added]
1972,1st,Franz Beckenbauer,Bayern Munich,81
2nd,Gerd Müller,Bayern Munich,79,[added]
Günter Netzer,Borussia Mönchengladbach,[added],[added],[added]
