Rank,Country and (Argentine provinces),Intl $
1,flag|Qatar,86008
2,flag|Luxembourg,82441
3,flag|Norway,53738
4,flag|Singapore,51226
5,flag|Brunei,50199
6,flag|United States,47440
€”,flag|Hong Kong,43847
7,flag|Switzerland,43196
8,flag|Ireland,42110
9,flag|Netherlands,40558
10,flag|Iceland,40471
11,flag|Kuwait,39915
12,flag|Austria,39887
13,flag|Canada,39098
14,flag|United Arab Emirates,38894
15,flag|Sweden,37334
16,flag|Denmark,37304
17,flag|Australia,36918
18,flag|Belgium,36416
19,flag|United Kingdom,36358
20,flag|Finland,36320
21,flag|Germany,35539
22,flag|Bahrain,34662
23,flag|France,34205
24,flag|Japan,34116
25,flag|China  Republic of (Taiwan),30912
26,flag|Greece,30681
27,flag|Italy,30631
28,flag|Spain,30589
29,flag|Cyprus,29853
30,flag|Slovenia,29521
31,flag|Israel,28474
32,flag|The Bahamas,27735
33,flag|South Korea,27692
34,flag|New Zealand,27083
,Santa Cruz,26438
,Tierra del Fuego,25993
35,flag|Czech Republic,25118
36,flag|Oman,24674
37,flag|Malta,23971
38,flag|Saudi Arabia,23814
€”,NeuquÃ©n,23380
€”,Chubut,22983
39,flag|Portugal,22232
40,flag|Slovakia,22097
41,flag|Seychelles,20829
42,flag|Estonia,20561
43,flag|Trinidad and Tobago,20338
€”,Buenos Aires City,20036
44,flag|Hungary,19553
45,flag|Antigua and Barbuda,19340
46,flag|Barbados,18977
47,flag|Lithuania,18977
48,flag|Croatia,18575
49,flag|Equatorial Guinea[1],18058
50,flag|Poland,17537
51,flag|Latvia,17106
52,flag|Russia,15948
€”,RÃo Negro,15046
53,flag|Botswana,14907
€”,Buenos Aires,14773
€”,San Luis,14649
54,flag|Gabon,14545
55,flag|Mexico,14534
56,flag|Chile,14529
,flag|Argentina,14408
57,Santa Fe,14216
58,flag|Libya,14192
€”,San Juan,14154
59,flag|Malaysia,14081
€”,Catamarca,14105
60,flag|Saint Kitts and Nevis,13826
€”,Mendoza,13795
€”,CÃ³rdoba,13708
€”,La Pampa,13658
61,flag|Turkey,13139
€”,Jujuy,13089
62,flag|Lebanon,13006
63,flag|Venezuela,12806
64,flag|Uruguay,12785
65,flag|Romania,12600
€”,Salta,12594
€”,Santiago del Estero,12532
€”,Entre RÃos,12420
66,flag|Bulgaria,12322
67,flag|Belarus,12313
€”,Corrientes,12148
€”,Misiones,12099
68,flag|Mauritius,12011
€”,Formosa,11616
€”,Chaco,11516
69,flag|Grenada,11464
70,flag|Kazakhstan,11434
71,flag|Panama,11362
72,flag|Montenegro,11111
73,flag|Iran,11052
74,flag|Serbia,10810
75,flag|Saint Lucia,10750
76,flag|Costa Rica,10735
€”,Tucuman,10811
77,flag|Brazil,10466
€”,noflagWorld[2],10433
€”,La Rioja,10414
78,flag|Saint Vincent and the Grenadines,10163
79,flag|South Africa,10136
80,flag|Dominica,10133
81,flag|Macedonia,9164
82,flag|Jamaica,8967
83,flag|Azerbaijan,8634
84,flag|Dominican Republic,8619
85,flag|Peru,8594
86,flag|Thailand,8239
87,flag|Colombia,8229
88,flag|Suriname,8188
89,flag|Tunisia,8002
90,flag|Belize,7954
91,flag|Ecuador,7786
92,flag|Bosnia and Herzegovina,7624
93,flag|El Salvador,7564
94,flag|Ukraine,7342
95,flag|Albania,6897
96,flag|Algeria,6709
97,flag|Namibia,6612
98,flag|Angola,6252
99,flag|Kiribati,6122
100,flag|China  People's Republic of,5970
101,flag|Egypt,5897
102,flag|Armenia,5792
103,flag|Turkmenistan,5757
104,flag|Swaziland,5749
105,flag|Samoa,5674
106,flag|Jordan,5537
107,flag|Tonga,5382
108,flag|Bhutan,5312
109,flag|Maldives,4967
110,flag|Guatemala,4907
111,flag|Georgia,4869
112,flag|Paraguay,4786
113,flag|Syria,4757
114,flag|Sri Lanka,4589
115,flag|Morocco,4362
116,flag|Bolivia,4345
117,flag|Honduras,4275
118,flag|Vanuatu,4251
119,flag|Fiji,4196
120,flag|Guyana,4029
121,flag|Indonesia,3980
122,flag|Republic of the Congo,3919
123,flag|Mongolia,3547
124,flag|Philippines,3515
125,flag|Iraq,3477
126,flag|Cape Verde,3472
127,flag|Moldova,2984
128,flag|Solomon Islands,2917
129,flag|Vietnam,2794
130,flag|India,2780
131,flag|Nicaragua,2698
132,flag|Uzbekistan,2634
133,flag|Pakistan,2624
134,flag|Yemen,2411
135,flag|Djibouti,2396
136,flag|TimorLeste,2368
137,flag|Sudan,2309
138,flag|Kyrgyzstan,2185
139,flag|Nigeria,2162
140,flag|Cameroon,2139
141,flag|Laos,2127
142,flag|Papua New Guinea,2108
143,flag|Cambodia,2082
144,flag|Mauritania,2055
145,flag|Tajikistan,2023
146,flag|SÃ£o TomÃ© and PrÃncipe,1752
147,flag|Senegal,1739
148,flag|Kenya,1712
149,flag|Chad,1663
150,flag|CÃ´te d'Ivoire,1643
151,flag|Benin,1608
152,flag|Ghana,1518
153,flag|Zambia,1482
154,flag|Bangladesh,1399
155,flag|The Gambia,1395
156,flag|Tanzania,1353
157,flag|Haiti,1317
158,flag|Lesotho,1305
159,flag|Burkina Faso,1268
160,flag|Comoros,1157
161,flag|Burma,1156
162,flag|Uganda,1147
163,flag|Nepal,1144
164,flag|Mali,1129
165,flag|Rwanda,1043
166,flag|Guinea,1014
167,flag|Madagascar,996
168,flag|Mozambique,903
169,flag|Ethiopia,898
170,flag|Malawi,836
171,flag|Togo,812
172,flag|Afghanistan,760
173,flag|Eritrea,748
174,flag|Central African Republic,740
175,flag|Niger,740
176,flag|Sierra Leone,725
177,flag|GuineaBissau,486
178,flag|Burundi,390
179,flag|Liberia,373
180,flag|Democratic Republic of the Congo,330
181,flag|Zimbabwe,268
