[empty],English,Esperanto,Novial
Infinitive,(to) love,ami,ama
Simple present,love(s),amas,ama
Future,will (shall) love,amos,sal ama
Simple past,loved,amis,did ama (amad)
Present perfect,have (has) loved,estas aminta(j),ha ama
Pluperfect,had loved,estis aminta(j),had ama
Future perfect,will (shall) have loved,estos aminta(j),sal ha ama
Future in the past,was going to (would  should) love,estis amonta(j),saled ama
Conditional,would (should) love,amus,vud ama
Conditional perfect,would (should) have loved,estus aminta(j),vud ha ama
First imperative,let us love!,ni amu!,let nus ama!
Second imperative,love!,amu!,ama!
Third imperative,let him love!,li amu!,let lo ama!
Present continuous,is (am  are) loving,estas amanta(j),es amant
Future continuous,shall (will) be loving,estos amanta(j),sal es amant
Past continuous,was (were) loving,estis amanta(j),did es (esed) amant
