Chart type / Framework,Adobe Flex builtin charts,Axiis,BirdEye,Flare,Flexmonster,IBM ILOG Elixir,Kap IT Labs,yFiles,amCharts,AnyChart,LiveGap Chart
Cost,free,free,free,free,nonfree contact vendor for prices,nonfree £556 (for EULA)  contact vendor for OEM,free for noncommercial  ‚¬2'500 (VAT excluded) for full 1developer package,nonfree contact vendor for prices,free (with link to amCharts) linkfree from ‚¬85,free (with link to AnyChart) Team license available,free
License,free|MPL,free|MIT,free|MIT,free|BSD,proprietary,proprietary,proprietary,proprietary,proprietary,proprietary,free
Open source,yes,yes,yes,yes,no,no,no,no,yes,yes,no
Bar/Column charts,Simple,yes,yes,yes,yes,yes,yes,no,no,yes,yes
Stacked,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes
Floating (Range),yes,yes,no,no,no,no,no,no,yes,yes,yes
Waterfall,yes,yes,no,no,no,no,no,no,yes,yes,no
Layered,no,yes,yes,no,no,yes,no,no,yes,yes,no
Line charts,Simple,yes,yes,yes,yes,yes,yes,no,no,yes,yes
Spline (Curve),yes,yes,yes,no,no,no,no,no,yes,yes,yes
Step,yes,no,no,no,no,yes,no,no,yes,yes,yes
Pie charts,Simple,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Doughnut (Ring),yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes
Exploded,yes,no,no,no,no,yes,yes,no,no,yes,no
Stacked,no,yes,yes,no,no,yes,yes,no,no,yes,no
Area charts,Simple,yes,yes,yes,yes,no,yes,no,no,yes,yes
Spline (Curve),yes,yes,yes,yes,no,no,no,no,yes,yes,yes
Stacked,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes
Floating (Range),no,yes,yes,no,no,no,no,no,yes,yes,yes
Histogram (Step),yes,no,no,no,no,yes,no,no,yes,yes,no
Scatter plot charts,Simple,yes,yes,yes,yes,no,no,no,no,yes,yes
Bubble,yes,yes,yes,no,no,no,no,no,yes,yes,no
Circular charts,Radar,no,no,yes,no,no,yes,yes,no,yes,yes
Polar,no,no,yes,no,no,no,no,no,yes,yes,yes
Accumulation charts,Pyramid,no,no,no,no,no,no,no,no,no,yes
Funnel,no,no,no,no,no,no,no,no,no,yes,no
Tree/Heat map charts,Tree map,no,yes,yes,yes,no,yes,yes,no,no,no
Heat map,no,no,no,no,no,yes,no,no,no,no,no
Finance charts,OHLC,yes,no,no,no,no,no,no,no,yes,no
Candlestick,yes,no,no,no,no,no,no,no,yes,no,no
Kagi,no,no,no,no,no,no,no,no,no,no,no
Gauge charts,no,no,no,no,no,yes,no,no,no,yes,no
Cartogram charts,no,no,yes,no,no,yes,no,no,no,no,no
Gantt charts,no,no,no,no,no,yes,no,no,no,yes,no
Dependency graphs,no,no,yes,yes,no,yes,yes,yes,no,no,no
Nomograms,Smith chart,no,yes,no,no,no,no,no,no,no,no
Organizational charts,no,no,no,no,no,yes,yes,yes,no,no,no
Flow charts,no,no,no,no,no,yes,yes,yes,no,no,no
