Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
Artillery,105 cm leFH 18,[empty],[empty],[empty],[empty],[empty],yes|1942 Second Edition,[empty],[empty]
88mm Flak 36,[empty],[empty],[empty],[empty],[empty],okay|Europe,okay|Europe 1940,[empty],[added]
105mm Howitzer,yes|Europe,okay|Europe,okay|Pacific 1940,okay|Europe,okay|Europe 1940,[empty],[empty],[empty],[added]
152mm Howitzer,[empty],[empty],[empty],yes|Europe 1940 Second Edition,yes|Europe 1940 Second Edition,[empty],[empty],[empty],[added]
BL 55 inch,[empty],[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Cannone da 75/32,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Ordnance QF 25 pounder,[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
Type 92 70mm,[empty],[empty],[empty],[empty],[empty],[empty],okay|Anniversary,yes|Pacific,[added]
Mechanized Infantry,M5 Halftrack,yes|Pacific 1940,okay|Pacific 1940,okay|Pacific 1940,[empty],[empty],[empty],[empty],[empty]
Priest,[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
RamKangaroo,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
SdKfz 251,[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940,okay|Pacific 1940,okay|Pacific 1940,[added]
SPA Dovunque 35,[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[added]
Type 1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[added]
ZIS42,[empty],[empty],[empty],yes|Pacific 1940,yes|Europe 1940,[empty],[empty],[empty],[added]
Tank,AC Sentinel,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty]
IS2,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
M14/41,[empty],[empty],[empty],[empty],[empty],[empty],okay|Anniversary,[empty],[added]
M15/42,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Matilda II,[empty],yes|Anniversary,okay|Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
Panther,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Europe 1940,[empty],[added]
Sherman,yes|Europe,okay|Europe,[empty],[empty],[empty],[empty],[empty],[empty],[added]
T34,[empty],[empty],[empty],yes|Pacific,yes|Europe 1940,[empty],[empty],[empty],[added]
Tiger,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
Type 95,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
Truck,GMC 2 1/2ton,yes|Battle of the Bulge,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Opel 3ton,[empty],[empty],[empty],[empty],[empty],yes|Battle of the Bulge,[empty],[empty],[added]
Antiaircraft Gun,(Generic),okay|Guadalcanal,[empty],[empty],[empty],[empty],[empty],[empty],okay|Guadalcanal
37in QFAA,[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
88cm Flak 41,[empty],[empty],[empty],[empty],[empty],yes|1942 Second Edition,[empty],[empty],[added]
75mm Type 88,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|1942 Second Edition,[added]
85mm M1939,[empty],[empty],[empty],yes|1942 Second Edition,yes|Europe 1940 Second Edition,[empty],[empty],[empty],[added]
90mm M1,yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
L/70 40mm,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Cannone da 90/53,[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[added]
Transport,Baltic Timber Ship,[empty],[empty],[empty],yes|Europe 1940 Second Edition,yes|Europe 1940 Second Edition,[empty],[empty],[empty]
sclass2|Fort|replenishment oiler|4,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
Hakusan Maru class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
Hilfskreuzer,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Anniversary,[empty],[added]
MV|Iridio Mantovani||2,[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[added]
Liberty ship,yes|Europe,yes|Europe,okay|Pacific 1940,okay|Pacific 1940,okay|Pacific 1940,[empty],[empty],[empty],[added]
HMNZS|Monowai|F59|2,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Yamazuki Maru class,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
Destroyer,sclass|Akizuki|destroyer (1942)|4,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941
sclass|Fubuki|destroyer|4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
sclass|Gnevny|destroyer|4,[empty],[empty],[empty],yes|1942,yes|Europe 1940,[empty],[empty],[empty],[added]
Johnston class,yes|Europe,okay|Europe,okay|Pacific 1940,okay|Europe,[empty],[empty],[empty],[empty],[added]
HMS|Saumarez|G12|2,[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
sclass|Soldati|destroyer|4,[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[added]
Sumner class,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
sclass2|Tribal|destroyer (1936)|4,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Zerstörer 1934,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Anniversary,[empty],[added]
Submarine,I class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific
Kaichu class,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
sclass|Marconi|submarine|4,[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[added]
