Site,Specialization,Is a tracker,Directory,Public,RSS,Oneclick download,Sortable,Comments,Multitracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
The Pirate Bay,yes|None,no,yes,yes,yes,yes,yes,yes,no,yes,yes,sort|000228|228[5]
Rarbg,yes|None,yes,yes,yes,yes,no,yes,yes,yes,no,no,sort|000330|330[6]
YTSAM[7],Movies,no,yes,yes,yes,yes,yes,yes,no,yes,no,sort|000175|175[8]
1337x[9],yes|None,no,yes,yes,no,no,yes,yes,yes,no[10],no,sort|000253|253[11]
Interlanguage link|Rutracker|ru|RuTrackerorg[12],yes|None,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,sort|000262|262[13]
Torrent Project[14],DHT search engine,no,yes[15],yes,yes,no,yes,yes,yes,no[16],no,sort|000826|826[17] >
Limetorrents[18],yes|None,yes,yes,yes,yes,yes,yes,yes,yes,no,no,sort|001266|1266[19]
Torrentsme[20],Search,no,yes,yes,no,no,yes,yes,no,no,no,sort|002264|2264[21]
Zooqle[22],Search,no,yes,yes,yes,yes,yes,yes,yes,no,no,sort|002330|2330[23]
Torrent downloads[24],yes|None,no,yes,yes,no,no,no,yes,no,no,no,sort|002421|2421[25]
IPTorrents[26],yes|None,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|002460|2460[27]
Demonoid,yes|None,yes,yes,yes,no,yes,yes,yes,?,?,yes,sort|003970|3970[28]
YourBittorrent,yes|None,yes,yes,yes,yes,yes,yes,yes,yes,no[29],no,sort|004131|4131[30]
Torlock[31],yes|None,no,yes,yes,yes,yes,yes,yes,yes,no[32],?,sort|004945|4945[33]
torrentleechorg[34],yes|None,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|007803|7803[35]
redactedch[36],Music,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|021129|21129[37]
HDBits[38],Movies,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|025941 |25941[39]
Worldwidetorrentsme[40],yes|None,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|026688|26688[41]
ETTV[42],yes|None,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|031902|31902[43]
RevolutionTT[44],yes|None,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|032860|32860[45]
apollorip[46],Music,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|046738|46738[47]
Waffles[48],Music,yes,yes,no,yes,yes,yes,yes,no,yes,no,sort|074558|74558 [49]
AnimeSuki,Anime & otaku subculture[50],no,yes[51],yes,yes,yes,no ,no,no,?,?,sort|093843|93843[52]
etree,Live concerts,yes,yes,yes,yes,yes,yes,yes,no,?,?,sort|097818| 97818[53]
MovieMagnet[54],Movies,no,yes,yes,no,yes,yes,yes,no,no,?,sort|349627|349627[55]
NyaaV2,CJK content  especially otaku and anime,yes,yes,yes,yes,yes,yes ,yes,no,yes,no,sort|000785|785[56]
Kickass Torrent [57],yes|None,no,yes,yes,no,yes,no,no,no,no,no,sort|3738|3738[58]
Site,Specialization,Is a tracker,Directory,Public,RSS,Oneclick download,Sortable,Comments,Multitracker index,Ignores DMCA,Tor friendly,Alexa Traffic Rank
