Data types,Java,C#
Arbitrarysize decimals,yes|Reference type; no operators[1],no|Third party library|style=background #8CF;[2]
Arbitrarysize integers,yes|Reference type; no operators,yes[3]
Arrays,yes[4],yes
Boolean type,yes,yes
Character,yes[5],yes
Complex numbers,no|Thirdparty library|style=background #8CF;[6],yes
Date/time,yes; reference type[7],yes; value type
Enumerated types,yes; reference type,yes; scalar
Highprecision decimal number,no|style=background #8CF;; but see 'Arbitrarysize decimals' above,yes|128bit (28 digits) Decimal type[8]
IEEE 754 binary32 floating point number,yes,yes
IEEE 754 binary64 floating point number,yes,yes
Lifted (nullable) types,no|style=background #8CF;; but wrapper types,yes
Pointers,no|style=background #8CF;;[9] only method references[10],yes[11]
Reference types,yes,yes
Signed integers,yes; 8  16  32  64 bits,yes; 8  16  32  64 bits
Strings,yes|Immutable reference type  Unicode,yes|Immutable reference type  Unicode
Type annotations,yes,yes
Singleroot (unified) type system,no|style=background #8CF;; but wrapper types,yes[12]
Tuples,no|style=background #8CF;; limited 3rd party available[13],yes[14]
Unsigned integers,no|style=background #8CF;; but some method support[15],yes; 8  16  32  64 bits
Value types,no|style=background #8CF;; only primitive types,yes
