Model,Image processor,Sensor format,Megapixels,Min ISO,Max ISO,Autofocus points,Viewfinder magnification  coverage,Display size  dots (ratio),Touchscreen,Live view,Max FPS,Storage,Release date,Weight (kg),Dimensions  W×H×D (mm),Video,Main battery,Comms
1Ds,1 DIGIC,Fullframe CMOS,114,50,1250,45,070×  100%,20"  0120k,No,No,3,CF,2002Q4,1265,156 × 158 × 80,,NPE3,[empty]
1Ds Mk II,2 DIGIC II,Fullframe CMOS,167,50,3200,45,070×  100%,20"  0230k,No,No,45,CF  SD,2004Q4,1215,156 × 158 × 80,,NPE3,[added]
1Ds Mk III,3D Dual DIGIC III,Fullframe CMOS,211,50,3200,45,076×  100%,30"  0230k,No,Yes,50,CF  SD,2007Q4,1210,156 × 160 × 80,,LPE4,[added]
1D,1 DIGIC,APSH CCD,4,100,3200,45,072×  100%,20"  0120k,No,No,80,CF,2001Q4,1250,156 × 158 × 80,,NPE3,[added]
1D Mk II,2 DIGIC II,APSH CMOS,82,50,3200,45,072×  100%,20"  0230k,No,No,85,CF  SD,2004Q2,1220,156 × 158 × 80,,NPE3,[added]
1D Mk II N,2 DIGIC II,APSH CMOS,82,50,3200,45,072×  100%,25"  0230k,No,No,85,CF  SD,2005Q3,1225,156 × 158 × 80,,NPE3,[added]
1D Mk III,3D Dual DIGIC III,APSH CMOS,101,50,6400,45,076×  100%,30"  0230k,No,Yes,10,CF  SD,2007Q1,1155,156 × 157 × 80,,LPE4,[added]
1D Mk IV,4D Dual DIGIC 4,APSH CMOS,161,50,102400,45,076×  100%,30"  0920k,No,Yes,10,CF  SD,2009Q4,1180,156 × 157 × 80,1080p30,LPE4,[added]
1D X,5D Dual DIGIC 5,Fullframe CMOS,181,50,204800,61,076×  100%,32"  1040k,No,Yes,14,CF (×2),2012Q2,1530,158 × 164 × 83,1080p30  720p60,LPE4N,[added]
1D C,5D Dual DIGIC 5,Fullframe CMOS,181,50,204800,61,076×  100%,32"  1040k,No,Yes,14,CF (×2),2012Q2,1530,158 × 164 × 83,4K  1080p60  720p60,LPE4N,[added]
1D X Mk II,5D Dual DIGIC 6,Fullframe CMOS,202,50,409600,61,076×  100%,32"  1620k,Fixed,Yes,16,CFast  CF,2016Q1,1530,158 × 164 × 83,4Kp60  1080p120,LPE19,[added]
5D,2 DIGIC II,Fullframe CMOS,128,50,3200,9,071×  96%,25"  0230k,No,No,3,CF,2005Q3,081,152 × 113 × 75,,BP511A,[added]
5D Mk II,4 DIGIC 4,Fullframe CMOS,211,50,25600,9,071×  98%,30"  0920k,No,Yes,39,CF,2008Q4,081,152 × 113 × 75,1080p30  480p30,LPE6,[added]
