Blacklist operator,DNS blacklist,Zone,Listing goal,Nomination,Listing lifetime,Notes,Collateral listings,Notifies upon listing
Abusix,combined,combinedmailabusixzone,Aggregate zone,Aggregate zone,Aggregate Zone,Single lookup that contains results from black  exploit and policy lists,no,no
black,blackmailabusixzone,Lists individual IP addresses that have sent mail to spam traps And some manual added netblocks,Mostly Automatic with some manual additions,For automated listings 56 days after last event  manual additions are permanent,[empty],no,rarely|No (but planned),[added]
exploit,exploitmailabusixzone,Lists IP addresses behaving in a way that indicates the IP is compromised  infected  proxy  VPN  TOR  malware ,Automatic,56 days after last event,[empty],no,rarely|No (but planned),[added]
policy,dynamicmailabusixzone,Lists IP addresses that should not be connecting directly to MX  such as residential IPs etc,Automatic,Permanent (until delist requested),Lists ranges that have generic or templated rDNS Individual IPs can be delisted immediately via web,no,no,[added]
dblack,dblackmailabusixzone,Lists domains seen in spam hitting traps,Automatic,56 days after last event,Can be used as an RHSBL and a URIBL,no,rarely|No (but planned),[added]
nod,nodmailabusixzone,Lists domains that are newly observed (first use),Automatic,25 hours,Based on historical passive DNS data  lists domains first seen in the wild within the last 25 hours),no,no,[added]
shorthash,shorthashmailabusixzone,Lists short URLs (SHA1 hashed) seen in traps,Automatic,56 days after last event,Created to handle popular shorteners that are misused to hide domains from blacklisting,no,no,[added]
drivehash,drivehashmailabusixzone,Lists URLs of online drive services (SHA1 hashed) seen in traps,Automatic,56 days after last event,Current only listing Google Drive and Yandex Disk URLs that are used to avoid domain blacklisting,no,no,[added]
WebIron LLC RBL,BABL,bablrblwebironnet,Lists IP ranges belonging to officially published abuse addresses that either bounce or request not to receive abuse notices The aim of this list is to block companies that openly shrug their abuse responsibilities,Abuse addresses that fail to be deliverable for 3 out of the last 7 days are automatically added,Lifetime listing or automatic once mail delivery resumes in the case of automated additions,[empty],yes,no
CABL,cablrblwebironnet,Lists IP ranges belonging to abuse addresses that have failed to handle abuse issues for at least 30 days The aim of this list is to hold companies accountable for the abuse that originates from their networks rather than just ignoring it,IP ranges belonging to abuse addresses with reported and unresolved issues for at least 30 days are automatically added,Automatic removal is done once all hosts with abuse unresolved for 30 days have been clean for 2 weeks,Data for lists are generated from live data collected by the WebIron web security platform,yes,yes,[added]
STABL,stablrblwebironnet,Lists single IP addresses recently attacking websites and servers,Lists IP addressed belonging to hosts that have attacked at least twice within the last 48 hours,Automatic removal is done once a host has gone 24 hours without an incident,Data for lists are generated from live data collected by the WebIron web security platform,no,no,[added]
All,allrblwebironnet,Contains IP addresses and ranges from BABL  CABL  and STABL,Depends on list,Depends on list,[empty],yes,no,[added]
Crawler,crawlerrblwebironnet,Web Crawler IP lookup used to match user agents with known crawler IP addresses Data from this list is considered BETA,[empty],[empty],This DNSRBL contains valid and legitimate crawlers Matching alone should not be used for blocking,no,no,[added]
ARM Research Labs  LLC GBUdb,Truncate,truncategbudbnet,Extremely conservative list of single IP4 addresses that produce exclusively spam/malware as indicated by the GBUdb IP Reputation system Most systems should be able to safely reject connections based on this list,Automatic IPs are added when the GBUdb "cloud" statistics reach a probability figure that indicates 95% of messages produce a spam/malware pattern match and a confidence figure that indicates sufficient data to trust the probability data,Automatic Continuous while reputation statistics remain bad Warning Produces false positives  and has no remedy/removal process IPs are dropped quickly if the statistics improve (within an hour) IPs are dropped within 36 hours (typ) if no more messages are seen (dead zombie),Source data is derived from a global network of Message Sniffer[1] filtering nodes in realtime Truncate data is updated from statistics every 10 minutes,no,no
invaluement DNSBL,ivmSIP,n/a|Paid access via rsync,Single IP addresses which only send UBE Specializing in snowshoe spam and other 'under the radar' spams which evade many other DNSBLs Has FPlevel comparable to Zen,Automatic (upon receipt of a spam to a real person's mailbox)  with extensive whitelists and filtering to prevent false positives,Typically an automatic expiration 11 days after the last abuse was seen  but with some exceptions,Spam samples are always kept on file for each listing Removal requests are manually reviewed and processed without fees,no,no
ivmSIP/24,n/a|Paid access via rsync,Lists /24 blocks of IP addresses which usually only send UBE and containing at least several addresses which are confirmed emitters of junk mail Collateral listings are kept to a minimum because subsections are often carved from /24 listings when spammers and legit senders share the same /24 block,Automatic once at least several IP addresses from a given block are individually listed on ivmSIP  with extensive whitelists and filtering to prevent false positives,Expiration time increases to many weeks as the fraction of IP addresses in the /24 block in question sending junk mail increases,Removal requests are quickly and manually reviewed and processed without fees,yes,no,[added]
ivmURI,n/a|Paid access via rsync,Comparable to uriblcom and surblorg  this is a list of IP addresses and domains which are used by spammers in the clickable links found in the body of spam messages,Automatic (upon receipt of a spam to a real person's mailbox)  with extensive whitelists and filtering to prevent false positives,Typically an automatic expiration several weeks after the last abuse was seen,Spam samples are always kept on file for each listing Removal requests are quickly and manually reviewed and processed without fees,no,no,[added]
strikethrough|proxyBL,strikethrough|dnsbl,strikethrough|dnsblproxyblorg,strikethrough|Lists all types of open (publicly accessible) proxies,strikethrough|Automated listing through crawling of websites,strikethrough|As long as proxy is verified open (automated)[2] Service discontinued mid 2014,strikethrough|Time between verifications increases exponentially in relation to the number of times the host was verified an open proxy,yes|strikethrough|Yes,no|strikethrough|No
UCEPROTECTNetwork,UCEPROTECT Level 1,dnsbl1uceprotectnet (also free available via rsync [3]),Single IP addresses that send mail to spamtraps,Automatic by a cluster of more than 60 trapservers [4],Automatic expiration 7 days after the last abuse was seen  optionally express delisting for a small fee,UCEPROTECT's primary and the only independent list,no,no
UCEPROTECT Level 2,dnsbl2uceprotectnet (also free available via rsync [3]),Allocations with exceeded UCEPROTECT Level 1 listings,Automatic calculated from UCEPROTECTLevel 1,Automatic removal as soon as Level 1 listings decrease below Level 2 listing border  optionally express delisting (for a fee),Fully depending on Level 1,yes,no,[added]
UCEPROTECT Level 3,dnsbl3uceprotectnet (also free available via rsync [3]),ASN's with excessive UCEPROTECT Level 1 listings,Automatic calculated from UCEPROTECTLevel 1,Automatic removal as soon as Level 1 listings decrease below Level 3 listing border  optionally express delisting (fee),Fully depending on Level 1,yes,no,[added]
Spam and Open Relay Blocking System (SORBS),dnsbl,dnsblsorbsnet,Unsolicited bulk/commercial email senders,N/A (See individual zones),N/A (See individual zones),Aggregate zone (all aggregates and what they include are listed on SORBS)[5],n/a|As per component list,yes|Via SORBS Report Manager
safednsbl,safednsblsorbsnet,Unsolicited bulk/commercial email senders,N/A (See individual zones),N/A (See individual zones),"Safe" Aggregate zone (all zones in dnsblsorbsnet except "recent"  "old"  "spam" and "escalations"),no,yes|Via SORBS Report Manager,[added]
httpdnsbl,httpdnsblsorbsnet,Open HTTP proxy servers,Feeder servers,Until delisting requested,[empty],no,yes|Via SORBS Report Manager,[added]
socksdnsbl,socksdnsblsorbsnet,Open SOCKS proxy servers,Feeder servers,Until delisting requested,[empty],no,yes|Via SORBS Report Manager,[added]
miscdnsbl,miscdnsblsorbsnet,Additional proxy servers,Feeder servers,Until delisting requested,Those not already listed in the HTTP or SOCKS databases,no,yes|Via SORBS Report Manager,[added]
smtpdnsbl,smtpdnsblsorbsnet,Open SMTP relay servers,Feeder servers,Until delisting requested,[empty],no,yes|Via SORBS Report Manager,[added]
webdnsbl,webdnsblsorbsnet,IP addresses with vulnerabilities that are exploitable by spammers (eg FormMail scripts),Feeder servers,Until delisting requested or Automated Expiry,[empty],no,yes|Via SORBS Report Manager,[added]
newspamdnsbl,newspamdnsblsorbsnet,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 48 hours,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spamdnsblsorbsnet',[empty],no,yes|Via SORBS Report Manager,[added]
recentspamdnsbl,recentspamdnsblsorbsnet,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 28 days,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spamdnsblsorbsnet',[empty],no,yes|Via SORBS Report Manager,[added]
oldspamdnsbl,oldspamdnsblsorbsnet,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last year,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on 'spamdnsblsorbsnet',[empty],no,yes|Via SORBS Report Manager,[added]
spamdnsbl,spamdnsblsorbsnet,Hosts that have allegedly sent spam to the admins of SORBS or SORBS Spamtraps at any time,SORBS Admin and Spamtrap,Until delisting requested,[empty],no,yes|Via SORBS Report Manager,[added]
escalationsdnsbl,escalationsdnsblsorbsnet,Netblocks of service providers believed to support spammers,SORBS Admin fed,Until delisting requested and matter resolved,Service providers are added on receipt of a 'third strike' spam,yes,yes|Via SORBS Report Manager,[added]
blockdnsbl,blockdnsblsorbsnet,Hosts demanding that they never be tested,Request by host,N/A,[empty],no,yes|Via SORBS Report Manager,[added]
zombiednsbl,zombiednsblsorbsnet,Hijacked networks,SORBS Admin (manual submission),Until delisting requested,[empty],no,yes|Via SORBS Report Manager,[added]
duldnsbl,duldnsblsorbsnet,Dynamic IP address ranges,SORBS Admin (manual submission),Until delisting requested,Not a list of dialup IP addresses,no,yes|Via SORBS Report Manager,[added]
noserversdnsbl,noserversdnsblsorbsnet,No Servers Permitted by ISP Policy,Netblock Owner Administered,Not Applicable,No Servers Permitted by ISP Policy,no,yes|Via SORBS Report Manager,[added]
rhsbl,rhsblsorbsnet,Aggregate RHS zones,N/A,N/A,[empty],no,no,[added]
badconfrhsbl,badconfrhsblsorbsnet,Domains with invalid A or MX records in DNS,Open submission via automated testing page,Until delisting requested,[empty],no,no,[added]
nomailrhsbl,nomailrhsblsorbsnet,Domains which the owners have confirmed will not be used for sending email,Owner submission,Until delisting requested,[empty],no,no,[added]
Spamhaus,SBL Advisory,sblspamhausorg,Verified sources of spam  including spammers and their support services  per policy,Manual,From five minutes to a year or more  depending on issue and resolution,[empty],rarely|Rarely (escalation),yes (partial)
XBL Advisory,xblspamhausorg,Illegal thirdparty exploits (eg open proxies  email spambots  malware download sites and botnets),Thirdparty with automated additions,Varies  under a month  self removal via Composite Blocking List lookup,Consists of the Composite Blocking List,no,no,[added]
PBL Advisory,pblspamhausorg,Addresses not meant to be initiating SMTP connections  such as residential dynamic IPs,Manual  by providers controlling the IPs or by Spamhaus PBL Team,Selfremoval (see spamhaus web site),Should not be confused with the MAPS DUL and Wirehub Dynablocker lists,no,no,[added]
SBLXBL,sblxblspamhausorg,A single lookup for querying the SBL and XBL databases,[empty],[empty],[empty],n/a|As per component list,n/a|As per component list,[added]
Zen,zenspamhausorg,A single lookup for querying the SBL  XBL and PBL databases,[empty],[empty],Preferred list to check all Spamhaus listings with one query,n/a|As per component list,n/a|As per component list,[added]
strikethrough|ORBITrbl Aggressive RBL,strikethrough|RBL,strikethrough|rblorbitrblcom,strikethrough|Unsolicited bulk/Commercial email senders (/24 IP address block),strikethrough|Feeder servers,strikethrough|Until delisting requested? (Only when found to not be a spam source)Their web server is down[6] 20141117  Their RBL server is reporting all queries as SPAM,strikethrough|Aggregate zone,yes|strikethrough|Yes,no|strikethrough|No
Composite Blocking List,CBL,cblabuseatorg (also free available rsync access  on request see FAQ [7]),Only IP addresses exhibiting characteristics specific to open proxies  spamware  malware downloaders  botnets and the like,Automatic large spamtraps  production mail servers and other detection methods,Less than a month after last listable event  selfremoval via CBL lookup,Use Spamhaus XBL or Spamhaus Zen instead; they include CBL,no,no
IBM DNS Blacklist,Cobion,dnsblcobioncom,[empty],[empty],[empty],This DNSBL zone is part of the default configuration for Proventia Mail Security System and Lotus Protector for Mail Security,no,no
Passive Spam Block List,PSBL,psblsurrielcom (also free available via rsync [1]),IP addresses used to send spam to trap,spamtraps,Temporary  until spam stops,[empty],no,no
DNSRBL  DNS Realtime Blackhole List,DNSRBL,dnsrblorg,IP addresses used to send spam to trap,spamtraps,Temporary  until spam stops,[empty],no,no
Weighted Private Block List,WPBL,dbwpblinfo,IP addresses used to send UBE to members,spamtraps,Temporary  until spam stops,[empty],no,no
strikethrough|Protected Sky RBL,strikethrough|RBL,strikethrough|badpskyme,strikethrough|IP Reputation based Seems to be proprietary,strikethrough|Automatic  "based on several factors",strikethrough|Temporary Has self removal  users can not request delisting,strikethrough|Accused by Spamhaus of unauthorized and undisclosed listings reuse[8],yes|strikethrough|Yes,no|strikethrough|No
SpamCop Blocking List,SCBL,blspamcopnet,IP addresses which have been used to transmit reported email to SpamCop users,Users submit,Temporary  until spam stops  has self removal,[empty],no,yes (partial)
SpamRats,RATSNoPtr,noptrspamratscom,IP addresses detected as abusive at ISP's using MagicMail Servers  with no reverse DNS service,Automatically Submitted,Listed until removed  and reverse DNS configured,[empty],yes,no
RATSDyna,dynaspamratscom,IP addresses detected as abusive at ISP's using MagicMail Servers  with nonconforming reverse DNS service (See Best Practises) indicative of compromised systems,Automatically Submitted,Listed until removed  and reverse DNS set to conform to Best Practises,[empty],yes,no,[added]
RATSSpam,spamspamratscom,IP addresses detected as abusive at ISP's using MagicMail Servers  and manually confirmed as spam sources,Manually Submitted,Listed until removed,[empty],yes,no,[added]
RATSAuth,authspamratscom,IP addresses detected probing passwords or authenticating without sending mail,Automatically Submitted,Listed until removed,[empty],yes,no,[added]
strikethrough|SpamCannibal,strikethrough|spamcannibalorg,strikethrough|blspamcannibalorg,strikethrough|IP addresses and related generic netblocks that have sent spam,strikethrough|spamtraps,strikethrough|Until removal requested and matter resolved by changing server DNS ptr record to a nongeneric name,strikethrough|Even if a particular IP has not sent spam  it may be included in a generic netblock which will provide many false positives listed=127002 Offline since 20180530,yes|strikethrough|Yes,no|strikethrough|No
