Name,First public release date,Creator,Owner or maintainer As of|2016|lc=y,License
86DOS 042,19810225,Seattle Computer Products,rowspan="15" no|Support ended,rowspan="16" Proprietary
86DOS 100,19810428,[added],[added],[added]
PC DOS 10,19810812,Microsoft (for IBM),[added],[added]
PC DOS 11,198205??,[added],[added],[added]
PC DOS 20,198303??,[added],[added],[added]
PC DOS 21,198310??,[added],[added],[added]
PC DOS 30,198408??,[added],[added],[added]
PC DOS 31,1985,[added],[added],[added]
PC DOS 32,1986,[added],[added],[added]
PC DOS 33,1987,[added],[added],[added]
IBM DOS 40 (called PC DOS 40),1988,[added],[added],[added]
IBM DOS 50 (called PC DOS 50),1991,[added],[added],[added]
PC DOS 61  PC DOS 63,1993,[added],[added],[added]
PC DOS 70 (revision 0),1995,[added],[added],[added]
PC DOS 2000 (PC DOS 70 revision 1),1998,[added],[added],[added]
PC DOS 710,2003,no|Support ended by IBM,[added],[added]
MSDOS 125[1] (first version named "MSDOS"),1982,Microsoft,rowspan="16" no|Support ended,Free  MIT License
ZDOS 125,198205??,OEM Zenith Data Systems,Proprietary,[added]
MSDOS 20,198303??,Microsoft,Free  MIT License,[added]
MSDOS 211,198312??,rowspan="21" Proprietary,[added],[added]
MSDOS 30,1984,[added],[added],[added]
MSDOS 31,1984,[added],[added],[added]
MSDOS 32,1986,[added],[added],[added]
MSDOS 33,1987,[added],[added],[added]
MSDOS 40,1988,[added],[added],[added]
MSDOS 50,1991,[added],[added],[added]
MSDOS 60,1993,[added],[added],[added]
MSDOS 620,1993,[added],[added],[added]
MSDOS 621,1994,[added],[added],[added]
MSDOS 622,1994,[added],[added],[added]
MSDOS 70 (Windows 95A),1995,[added],[added],[added]
MSDOS 710 (Windows nowrap|95 OSRs 2 and 25  98  nowrap|98 SE),1996,[added],[added],[added]
MSDOS 80 (Windows ME and later)[2],2000,No|Support ended by Microsoft[3],[added],[added]
DOS Plus 11  12/12a,1985,Digital Research,rowspan="7" no|Support ended,[added]
DOS Plus 21,1986,[added],[added],[added]
DR DOS 331335,1988,[added],[added],[added]
DR DOS 340341,1989,[added],[added],[added]
DR DOS 50,1990,[added],[added],[added]
DR DOS 60,1991,[added],[added],[added]
Novell DOS 7,1993,Novell,[added],[added]
Caldera OpenDOS 701,1997,Caldera  Inc; Caldera UK  Ltd,some|Support ended officially; a derivative  Enhanced DRDOS  is maintained by Udo Kuhnt,rowspan="2" Partial  free noncommercial use
Caldera DROpenDOS 702,rowspan="2" no|Support ended,[added],[added],[added]
Caldera DRDOS 702,1998,rowspan="4" Proprietary,[added],[added]
Caldera DRDOS 703,1999  1998 prereleased,Caldera Thin Clients  Inc; Caldera UK  Ltd; Lineo  Inc,yes|DRDOS  Inc,[added]
DRDOS 80,2004,DeviceLogics,rowspan="2" no|Support ended,[added]
DRDOS 81[4],2005,DRDOS  Inc,[added],[added]
FreeDOS 10,20060903,Jim Hall  et al,rowspan="3" yes|The FreeDOS Project,rowspan="3" Free  GPL
FreeDOS 11,20120102,[added],[added],[added]
FreeDOS 12,20161225,[added],[added],[added]
PTSDOS 64,1993,PhysTechSoft[5],rowspan="5" no|PhysTechSoft,rowspan="11" Proprietary
PTSDOS 65,?,[added],[added],[added]
PTSDOS 66,?,[added],[added],[added]
PTSDOS 2000 (67),?,[added],[added],[added]
PTSDOS 32 (70),?,[added],[added],[added]
PTSDOS 651,ca 1995,Paragon Technology Systems,rowspan="2" no|Paragon Technology Systems,[added]
Paragon DOS 2000 Pro,?,[added],[added],[added]
ROMDOS 622[6],?,Datalight,rowspan="2" yes|Datalight,[added]
ROMDOS 71[6],?,[added],[added],[added]
Embedded DOS,?,General Software,no|General Software,[added]
DIP DOS 211,1989,DIP Research  Atari Corporation,no|Support ended,[added]
RxDOS,1994,Michael Podanoffsky,?,?
SISNE plus,?,Itautec  Scopus Tecnologia,no|Support ended,Proprietary
