DDC,LCC,Description
[added],[added],[added]
000,QA71-90,Computer science  knowledge and general works
001,A,knowledge
002,Z4-659,The book
003,[empty],Systems
004,QA(subrange),Data processing & computer science
005,QA(subrange),Computer programming  programs & data
006,QA(subrange),Special computer methods
010,Z1001–8999,Bibliography
020,Z665–718.8,Library & information sciences
030,AE,General encyclopedic works
050,AI,General serials & their indexes
060,AM111–160,General organization & museology
070,AN,News media
070,PN4699–5650,Journalism
070,Z278–549,Publishing
080,AC,General collections
090,Z105–115.5,Manuscripts
090,Z1019–1033,Rare books
100,B,Psychology & Philosophy
111,BD300–450,Ontology
115,BD493–701,Time
120,BD143–237,Epistemology
120,BD?,Causation
120,BD?,Humankind
124,BD493–701,Teleology
130,BF1404–2055,Paranormal phenomena / Occult sciences
150,BF,Psychology
152,HM1041–1101,Perception
152,QH?,Movement
152,BF511–593,Emotions
155,BF712–724,Developmental psychology
160,BC,Logic
170,BJ,Ethics (moral philosophy)
180,B108–708,Classic philosophy
181,B850–5739,Oriental philosophy
182,B108–708,Ancient philosophy
183,B108–708,Sophists & Socratic philosophies
185,B108–708,Aristotelian philosophy
186,B108–708,Skeptic & Neoplatonic philosophies
187,B108–708,Epicurean philosophy
188,B108–708,Stoic philosophy
189,B720–765,Medieval Western philosophy
190,B790–5802,Modern Western philosophy
200,BL,Religion
210,BL175–265,Natural theology
212,BL205–216,Nature of God
220,BS,Bible
221,BS701–1830,Old Testament
225,BS1901–2970,New Testament
226,BS2547–2970?,Gospels & Acts of the Apostles
227,BS2640–2765.6,Epistles
228,BS2547–2970?,Revelation
229,BS2547–2970?,Apocrypha
230,BR,Christian theology
232,BT198–590,Jesus & his family
236,BT819–891,Eschatology
250,BR?,Christian orders & local church
260,BR?,Christian social theology
270,BR140–1510,Christian church history
280,BX?,List of Christian denominations
282,BX800–4795,Roman Catholic Church
283,BX5001–6093,Anglican churches (English and Protestant Episcopal)
284,BX?,Protestants of Continental origin
286,BX6201–6495  BX7301–7343  BX6101–6193,Baptist  Disciples of Christ  Adventist
287,BX8201–8495,Methodist & related churches
289,BX7601–7795  BX7801–7843  BX8101–8144  BX 8799–8809  BX9751–9793  BX9998,Other denominations and sects
290,BL660–2680,Non-Christian religion
292,BL700–820,Greek mythology and Roman mythology
295,BL1500–1590,Zoroastrianism
296,BM,Judaism
297,BP,Islam  Báb�sm  Bahá'� Faith
300,H,Social sciences
301,HM,Sociology
301,GN,Anthropology
310,HA154–473,General statistics (of parts of the world)
320,J,Political science
327,JZ,International relations
330,HB,Economics
331,HD4801–8943,Labor economics
332,HG,Financial economics
333,HD101–1399,Economics of land
333,HD9502,Economics of energy
336,HJ,Public finance
339,HB?,Macroeconomics
340,K,Law
341,KZ,International law
345,K5000–5582,Criminal law
346,KB479,Private law
347,K2201–2385,Civil procedure
347,K2100–2385,Courts
350,JF,Public administration
352,JS,City government
353,JK1–9593,U.S. federal government
353,JK2403–9593,U.S. state governments
355,U,Military Science
360,H,Social services; association
361,HN,General social problems & services
362,HN,Social welfare problems & services
363,HN,Other social problems & services
364,HV6001–7220,Criminology
365,HV8301–9920,Penal & related institutions
366,HS,Association
367,HS,General clubs
368,K1960–1973,(Social) Insurance
370,L,Education
371,LB3011–3095,School management
371,LC3950–4806.5,Special education
372,LB1501–1602,Elementary education
373,LB1603–1699,Secondary education
374,LC5201–6661,Adult education
376,LC1401–2572,Education of women
377,LC321–951,Schools & religion
378,LB2300–2430,Higher education
380,HF,Commerce  communications  transport
382,HF1,International commerce (Foreign trade)
383,HE6000–7500,Postal communications
384,HE,Communications
384,HE7601–8700.9,Telecommunication
385,HE1001–5600,Railways
386,HE380–560,Inland waterway
386,HE5751–5870,Ferry transportation
387,HE380–971,Water transportation
387,HE9761–9900,Air transportation
387,TL787–4050,Space transportation
388,HE,Transport
390,GT,Customs
390,BJ1801–2195,Etiquette
390,GR,Folklore
391,GT500–2370,Costume and Personal Appearance
392,GT2400–3390.5,Customs of life cycle & domestic life
393,GT2400–3390.5,Customs of Death
395,BJ1801–2195,Etiquette
398,GR,Folklore
400,P,Language
410,P101–410,Linguistics
411,P327–327.5,Writing systems
412,P321–324.5,Etymology
414,P?,Phonology phonetics
415,P201–299,Grammar
419,PM8001–8995,Sign language
420,PE,English language
430,PD,Germanic languages
440,PC2001–3761,French language
449,PC3201–3366,Provençal
449,PC3801–3976,Catalan
450,PC1001–1977,Italian language
459,PC601–872,Romanian language
459,PC901–986,Rhaeto–Romanic language
460,PC4001–4977,Spanish language
469,PC5001–5498,Portuguese language
470,PA2001–2915,Latin language
480,PA201–899,Greek language
490,P501–769,Indo-European Languages
492,PJ991–995,Afro-Asiatic languages
494,PL1–481,Altaic languages
495,PL3521–4001,Sino-Tibetan languages
