Application and developer,Latest version/release  date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
Advanced Design System by Keysight EEsof EDA,2019 Start date and age|2018|11|15|p=1|br=1|df=yes[1],yes,yes,yes,yes[2],yes[2],SuSE  RHEL[2],nonfree|No,en,HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB  artwork; more,HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB  artwork; more,Python  Application Extension Language (proprietary; "AEL")
ActiveHDL by Aldec,103 Start date and age|2016|3|16|p=1|br=1|df=yes,yes,yes,no,no,yes,no,nonfree|No,en,EDIF  Viewlogic  more,PDF  HTML  Verilog  VHDL  EDIF  Zuken  more,[added]
Altium Designer (former Protel) by Altium,19015 Start date and age|2019|4|18|p=1|br=1|df=yes,yes,yes,yes,no,yes,Wine,nonfree|No,Multilingual,OrCAD  Allegro  PADS Logic  PADS PCB  Expedition  DxDesigner  EAGLE  Gerber  STEP  Solidworks  IDF  more,3D PDF  Gerber  Gerber X2  Excellon  ODB  DXF  STEP  OrCAD  EAGLE  more,Delphi  JS  VB
CADSTAR  Board Designer  and Visula by Zuken,18 Start date and age|2017|06|30|p=1|br=1|df=yes,yes,yes  Spice,yes,no,yes,no,nonfree|No,en,PADS  OrCAD  PCAD  Protel  DXF  IDF,PDF  Gerber  Excellon  ODB  DXF  IDF more,[added]
CircuitLogix by Logic Design Inc,Release 10 Start date and age|2019|01||p=1|br=1|df=yes,yes,yes,yes,no,yes,no,nonfree|No,en,SPICE  Gerber  DXF,SPICE  PDF  Gerber  DXF,[empty]
CircuitMaker by Altium,130119 Start date and age|2016|08||p=1|br=1|df=yes,yes,no,yes,no,yes,Wine,nonfree|No,en,AD09  AD10  AD12  PADS  PCAD  OrCAD  Protel  EAGLE  DXF,Gerber  Excellon  DXF  STEP  more,[added]
CircuitStudio by Altium,15113 Start date and age|2018|5|25|p=1|br=1|df=yes,yes,yes,yes,no,yes,Wine,nonfree|No,en,AD09  AD10  AD12  PADS  PCAD  OrCAD  Protel  EAGLE  DXF,Gerber  Excellon  SPICE  DXF  STEP  more,[added]
CR5000 by Zuken,13 Start date and age|2011|05|17|p=1|br=1|df=yes,yes,yes  SI & PI,yes,yes,yes,Unix  Linux,nonfree|No,en  jp,EDIF  DXF  IGES  IDF  BSDL  STEP  ACIS  Gerber  Excellon  more,PDF  Gerber  Excellon  ODB (must request[3])  DXF  STEP  IPC D356  IPC2581  EPS  ACIS,[added]
DipTrace by Novarm,3310 Start date and age|2018|11|29|p=1|br=1|df=yes,yes,yes|External (Spice netlist export),yes,Yes,yes,Mac  Wine,nonfree|No,21 languages,EAGLE  Altium  PCAD  PADS  OrCAD  Gerber  N/C Drill  DXF  BSDL Pinlist  Netlists,Gerber  Gerber X2  Excellon  ODB  DXF  PCAD  PADS  OrCAD  IPCD356  STEP  VRML  Pick and Place  CSV  BOM,[added]
DesignSpark PCB from RS Components,8 Start date and age|2016|06|16|p=1|br=1|df=yes,yes,Yes  Spice,yes,no,yes,no,nonfree|No,Various,EAGLE  DXF  EDIF,Gerber  Excellon  ODB  DXF  IDF  PDF  LPKF,[added]
EAGLE by Autodesk/CadSoft Computer,932 Start date and age|2019|3|21|br=1|p=1|df=yes,yes,yes|Ngspice,yes,yes,yes,yes|Linux  Mac,nonfree|No,de  en  zh  hu  ru,EAGLE (XML)  ACCEL (PCAD  Altium  Protel)  ULTIBOARD  Netlists  BMP  Custom,EAGLE (XML)  Protel  Netlists  Images  Gerber  Gerber X2  Excellon  Sieb & Meyer  HPGL  PostScript/EPS  PDF  Images  HyperLynx  IDF  Custom,Proprietary User Language Programming (ULP)
EasyEDA,5412 Start date and age|2018|05|07|br=1|p=1|df=yes,yes,yes|Ngspice,yes,yes,yes,Linux  Mac  and Chrome OS as a Web application,nonfree|No,en  fr  de  pl  jp  ru  es  se  ua  zh ,Altium  EAGLE  KiCad libraries  LTspice asc/asy files  JSON  Spice,PDF  PNG  SVG  JSON  Gerber  Excellon  Pick and Place CSV file  CSVformatted drill chart  Bill of Materials CSV file  Altium netlist  FreePCB netlist  PADS Layout Netlist  Spice netlist,JSON
Fritzing,093b[4] Start date and age|2016|06|03|p=1|br=1|df=yes,yes   breadboard,no,yes,yes,yes,Linux  Mac,yes,en  de  nl  es  it  fr  pt  ru  zh  jp  ,gEDA symbols  KiCad symbols  SVG,Gerber  DIY etching  BOM  SVG  PDF  EPS,[added]
