Country,Motorways,Express/ Speedways,Motor & Express/ Speedways directions,Primary roads,Secondary roads outside urban areas,Warning signs,Road works / Detours[2]
Name,Code,white on green,white on blue,n/a,white on green,white on blue,white on green
Austria,A,[empty],w/b,[empty],[empty],w/b,[empty]
Czech Republic,CZ,w/g,[empty],[empty],[empty],w/b,w/g[5]
Germany,D,[empty],w/b,[empty],[empty],w/b,[empty]
Liechtenstein,LI,w/g,[empty],[empty],w/g,[empty],w/g
Lithuania,LT,w/g,[empty],[empty],[empty],w/b,w/g
France,F,[empty],w/b,[empty],[empty],w/b,[empty]
Greece,GR,yw/g,[empty],[empty],[empty],yw/b,°yw/g[5]
Ireland,IRL,[empty],w/b,Ã—,[empty],[empty],[empty]
Italy,I,w/g,[empty],[empty],[empty],w/b[7],°w/g[5]
Netherlands,NL,[empty],w/b,[empty],[empty],w/b,[empty]
Norway,N,[empty],w/b,[empty],[empty],w/b,[empty]
Poland,PL,[empty],w/b,[empty],[empty],w/b,[empty]
Portugal,P,[empty],w/b,[empty],[empty],w/b,[empty]
Romania,RO,w/g,[empty],x,[empty],[empty],w/g
Slovakia,SK,[empty],w/b,[empty],[empty],w/b,w/g
Sweden,S,w/g,[empty],[empty],w/g,[empty],w/g
Switzerland,CH,w/g,[empty],[empty],w/g,[empty],w/g
United Kingdom,GB,[empty],w/b,x,[empty],[empty],[empty]
Legend t/b €“ applied text/icon and background colour code (black  blue  green  gleaming green  orange  red  yellow  white) ° €“ partially applicable Ã— €“ not applicable,[added],[added],[added],[added],[added],[added],[added]
