Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
ALFTP,ESTsoft,2000,531 Start date and age|2012|02|01,Proprietary,dunno
ExpanDrive (Mac),ExpanDrive  Inc,2008,Latest stable software release/ExpanDrive,Proprietary,yes
ExpanDrive (Windows) (formerly SFTPDrive),ExpanDrive  Inc,2005,Latest stable software release/ExpanDrive,Proprietary,yes
ForkLift,BinaryNights  LLC,2007,322 Start date and age|2018|04|10,Proprietary,yes
FTP Commander,Internetsoft Corporation,1997,921 Start date and age|2010|11|08,Proprietary,yes
FTP Explorer,FTPx Corp,October  1996,10153; January 2012,Proprietary,dunno
Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),1006 Start date and age|2014|08|18,Proprietary,yes
Steed,French Fry  SAS,2012,1211169 Start date and age|2017|06|27,Proprietary,yes
Transmit,Panic  Inc,1998,504 Start date and age|2017|10|02,Proprietary,yes
WISEFTP,AceBIT,1998,70 (Build 704) Start date and age|2012|03|16,Proprietary,dunno
edtFTPj,Bruce P Blackshaw,2000,230 Start date and age|2011|08|26,Proprietary,yes
edtFTPnet,Bruce P Blackshaw,2003,221 Start date and age|2011|08|26,Proprietary,yes
