Model,Processor,Memory,Display,Input method,Stack,Programming languages,Computer algebra system,Character set,Connectivity,Power supply,Release year,Predecessors,Successors
HP Prime G2 (2AP18AA),528 MHz NXP iMX 6ULL MCIMX6Y2 (Cortex A7 core  ARMv7 architecture),256 MB RAM  512 MB flash,320Ã—240 pixel 16bit color multitouch TFT LCD with backlight,Algebraic  Entry RPN,Fixed (128 level),PPL,Xcas/Giacbased,Unicode,USB (MicroAB) USBOTG,USBrechargeable 37V/2000mAh/74Wh LiIon  USB,2018,HP Prime G1,None
HP Prime G1 (NW280AA  G8X92AA),400 MHz Samsung S3C2416XH40 (ARM926EJ core  ARMv5 architecture),32 MB RAM  256 MB flash,320Ã—240 pixel 16bit color multitouch TFT LCD with backlight,Algebraic  Entry RPN,Fixed (128 level),PPL,Xcas/Giacbased,Unicode,USB (MicroAB) (USBOTG only with G8X92AA model),USBrechargeable 37V/1500mAh/555Wh LiIon (compatible Samsung Galaxy S3 2200mAh)  USB,2013,HP 39gII  (HP 50g),HP Prime G2
HP 50g (F2229A  NW240AA),75 MHz (203 MHz) Samsung S3C2410A[1] (ARM920T core  ARMv4T architecture),512 KB RAM  2 MB flash  expandable via 2 GB SD card,131Ã—80 pixel monochrome LCD,Entry RPN  Algebraic,Dynamic,RPL  Algebraic RPL,Erablebased,8bit RPL character set (with euro sign[2][3][4]),USB (MiniB)  IrDA  1Ã—4pin 33V TTL serial (RS232 via active converter),4Ã—15V (6V) AAA  1Ã—3V CR2032  USB,2006€“2015[5][6][7],hp 49g,(HP Prime)
hp 49g (F2228A),75 MHz (203 MHz) Samsung S3C2410X01 (ARM920T core  ARMv4T architecture),512 KB RAM  2 MB flash  expandable via 2 GB SD card,131Ã—80 pixel monochrome LCD,Entry RPN  Algebraic,Dynamic,RPL  Algebraic RPL,Erablebased,8bit RPL character set (with euro sign[2][3][4]),USB (MiniB)  IrDA,3Ã—15V (45V) AAA  1Ã—3V CR2032,2003€“2006,HP 49G,HP 50g
HP 48gII (F2226A),48 MHz (203 MHz) Samsung S3C2410X01 (ARM920T core  ARMv4T architecture),128 KB RAM (256 KB RAM  2007 model only)  not flashable,131Ã—64 pixel monochrome LCD,Entry RPN  Algebraic,Dynamic,RPL  Algebraic RPL,Erablebased,8bit RPL character set (with euro sign[3][4]),(USB (MiniB)  2007 model only)  IrDA  1Ã—4pin 33V TTL serial (RS232 via active converter),3Ã—15V (45V) AAA (4Ã—15V (6V) AAA  2007 model only)  1Ã—3V CR2032  USB (2007 model only),2003,HP 48G,HP 49g
HP 49G (F1633A  F1896A),4 MHz Yorke (Saturn 1LT8 core),512 KB RAM  2 MB flash,131Ã—64 pixel monochrome LCD,Entry RPN  Algebraic,Dynamic,RPL  Algebraic RPL,Erablebased,8bit RPL character set (with euro sign[3][4]),2Ã—5pin RS232,3Ã—15V (45V) AAA,1999€“2003,HP 48GX  HP 48G,hp 49g
HP 48G (F1630A  F1894A),4 MHz Yorke (Saturn 1LT8 core),128 KB RAM  not flashable,131Ã—64 pixel monochrome LCD,Entry RPN,Dynamic,RPL,Rudimentary[8],8bit RPL character set[9][10],1Ã—4pin RS232  HP SIR,3Ã—15V (45V) AAA,1998€“2003[11],HP 48G,HP 49G
HP 48G,3684 MHz Yorke (Saturn 1LT8 core),32 KB RAM  not flashable,131Ã—64 pixel monochrome LCD,Entry RPN,Dynamic,RPL,Rudimentary[8],8bit RPL character set[9][10],1Ã—4pin RS232  HP SIR,3Ã—15V (45V) AAA,1993€“2003[11],HP 48S,HP 48G  HP 49G
HP 48GX (F1895A),4 MHz Yorke (Saturn 1LT8 core),128 KB RAM  expandable via 128 KB and 4 MB max card slots  not flashable,131Ã—64 pixel monochrome LCD,Entry RPN,Dynamic,RPL,Rudimentary[8],8bit RPL character set[9][10],1Ã—4pin RS232  HP SIR,3Ã—15V (45V) AAA,1993€“2003[11],HP 48SX,HP 49G
