S No,Name,Operator,Manufacturer,Max range,Missile mass,Warhead/payload,Status,First flight,MIRV,Mobility,Accuracy (CEP)
1,RS28 Sarmat,Russia,State Rocket Center Makeyev,10000 km,220 tonnes [1],10000 kg [2],Under development,2018,Yes,Silo,16
2,BZhRK Barguzin,Russia,Votkinsk,12600 km,4550 tonnes,N/A,Under development,N/A,Yes,Railroad,N/A
3,R36M2 Voevoda[3],USSR,Yuzhny MachineBuilding Plant,11000 km (or 16000 km with a single warhead)[4],211400 kg[4],10 x 800 kt / 8730 kg[4],Active,1986,Yes,Silo,220 m
4,UR100N UTTKh,USSR,Khrunichev MachineBuilding Plant,10000 km,105600 kg,6 x 550 kt / 4350 kg,Active,1977[5],Yes,Silo,N/A
5,RT2PM Topol,USSR,Votkinsk Machine Building Plant,10500 km,45100 kg,800 kt,Active,1985,No,Roadmobile TEL,200 m
6,RT2PM2 TopolM,Russia,Votkinsk Machine Building Plant,11000 km,47200 kg,800 kt,Active,1994,Yes,Silo  roadmobile TEL,200 m
7,RS24,Russia,Votkinsk Machine Building Plant,12000 km,49000 kg,4 x 300 kt,Active,2007,Yes,Silo  roadmobile TEL,150 m
8,R29R,Russia,State Rocket Center Makeyev,6500 km,35300 kg,1650 kg,Active,N/A,N/A,Delta III Submarine,N/A
9,R29RK,Russia,State Rocket Center Makayev,6500 km,34388 kg,1650 kg,Active,N/A,Yes,Delta III Submarine,N/A
10,R29RL,Russia,State Rocket Center Makeyev,9000 km,35300 kg,1650 kg,Active,N/A,Yes,Delta III Submarine,N/A
11,R29RM,Russia,Krasnoyarsk MachineBuilding Plant,8300 km,40300 kg,2800 kg,Active,N/A,Yes,Delta IV Submarine,N/A
12,R29RMU Sineva,Russia,Krasnoyarsk MachineBuilding Plant,11547 km,40300 kg,N/A,Active,2004,Yes (6),Delta IV Submarine,N/A
13,R29RMU2 Layner,Russia,Krasnoyarsk MachineBuilding Plant,11000 km,40000 kg,N/A,Active,2011,Yes (12),Delta IV Submarine,N/A
14,RSM56 Bulava,Russia,Votkinsk Plant State Production Association,10000 km,36800 kg,6 x 150 kt,Active,2005,Yes,Borei class submarine,200 m
15,R7 Semyorka[6],USSR,Soviet Academy of Sciences,12000 km,280000 kg,29 Mt of TNT,Inactive,1959,No,Launch pad,5000 m
16,R16,USSR,Khartron,11000 km,141000 kg,5 Mt,Inactive,1961,No,Silo,2700 m
17,R9 Desna,USSR,NPO Energomash Khartron,11000 km,N/A,23 Mt,Inactive,1961,No,Silo,2000 m
18,UR100,USSR,Khrunichev MachineBuilding Plant,10600 km,41400 kg,1 Mt,Inactive,1966,No,Silo,N/A
19,RT2,USSR,[empty],8000 km,34000 kg,600 kt,Inactive,1968,No,Silo,[empty]
