Processor,Series Nomenclature,Code Name,Production Date,Supported Features (Instruction Set),Clock Rate,Socket,Fabri cation,TDP,Number of Cores,Bus Speed,L1 Cache,L2 Cache,L3 Cache,Overclock Capable
4004,N/A,N/A,Nov 151971,N/A,740 kHz,DIP,10micron,[empty],1,N/A,N/A,N/A,N/A,[added]
8008,N/A,N/A,April 1972,N/A,200 kHz  800 kHz,DIP,10micron,[empty],1,200 kHz,N/A,N/A,N/A,[empty]
8080,N/A,N/A,April 1974,N/A,2 MHz  3125 MHz,DIP,6micron,[empty],1,2 MHz,N/A,N/A,N/A,[empty]
8085,N/A,N/A,March 1976,N/A,3 MHz  5 MHz  6 MHz,DIP,3micron,[empty],1,2 MHz,N/A,N/A,N/A,[empty]
8086,N/A,N/A,June 8  1978,N/A,10 MHz  8 MHz  477 MHz,DIP,3micron,[empty],1,10 MHz  8 MHz  477 MHz,N/A,N/A,N/A,[empty]
8088,N/A,N/A,June 1979,N/A,8 MHz  477 MHz,DIP,3micron,[empty],1,8 MHz  477 MHz,N/A,N/A,N/A,[empty]
80286,N/A,N/A,Feb 1982,N/A,12 MHz  10 MHz  6 MHz,DLPP,15micron,[empty],1,12 MHz  10 MHz  6 MHz,N/A,N/A,N/A,[empty]
i80386,DX  SX  SL,N/A,1985  1990,N/A,33 MHz  25 MHz  20 MHz  16 MHz,DLPP,1  15micron,[empty],1,33 MHz  25 MHz  20 MHz  16 MHz,N/A,N/A,N/A,[empty]
i80486,DX  SX  DX2  DX4  SL,N/A,1989  1992,N/A,25 MHz  100 MHz,Socket 1  Socket 2  Socket 3,1  06micron,[empty],1,25 MHz  50 MHz,8 KiB  16 KiB,N/A,N/A,[empty]
Intel Pentium,N/A,P5  P54C  P54CTB  P54CS,1993  1999,[empty],65 MHz  250 MHz,Socket 2  Socket 3  Socket 4  Socket 5  Socket 7,800 nm  350 nm,Unknown,1,50 MHz  66 MHz,16 KiB,N/A,N/A,[empty]
Intel Pentium MMX,N/A,P55C  Tillamook,1996  1999,[empty],120 MHz  300 MHz,Socket 7,350 nm  250 nm,Unknown,1,60 MHz  66 MHz,32 KiB,N/A,N/A,[empty]
Intel Atom,Z5xx  Z6xx  N2xx  2xx  3xx  N4xx  D4xx  D5xx  N5xx  D2xxx  N2xxx,Diamondville  Pineview  Silverthorne  Lincroft  Cedarview  Medfield  Clover Trail,2008  2009 (as Centrino Atom) 2008€“present (as Atom),[empty],800 MHz  213 GHz,Socket PBGA437  Socket PBGA441  Socket microFCBGA8 559,32 nm  45 nm,065 W  13 W,1  2 or 4,400 MHz  533 MHz  667 MHz  25 GT/s,56 KiB per core,512 KiB  1 MiB,N/A,[empty]
Intel Celeron,3xx  4xx  5xx,Banias  Cedar Mill  Conroe  Coppermine  Covington  Dothan  Mendocino  Northwood  Prescott  Tualatin  Willamette  Yonah  Merom  Penryn  Arrandale  Sandy Bridge  Ivy Bridge  Haswell  Broadwell  Bay TrailM  Braswell  Skylake,1998€“present,[empty],266 MHz  36 GHz,Slot 1  Socket 370  Socket 478  Socket 479  Socket 495  LGA 775  Socket M  Socket P  FCBGA6  ¼FCBGA 956  BGA479  Socket G1  BGA1288  Socket G2  BGA1023  Socket G3  BGA1168  BGA1364  BGA1168  FCBGA 1170  BGA 1356  LGA 1156  LGA 1155  FCBGA 1170  LGA 1150  LGA 1151  BGA 1440,14 nm  22 nm  32 nm  45 nm  65 nm  90 nm  130 nm  180 nm  250 nm,4 W  86 W,1  2 or 4,66 MHz  100 MHz  133 MHz  400 MHz  533 MHz  800 MHz,8 KiB  64 KiB per core,0 KiB  1 MiB,0 KiB  2 MiB,[empty]
Intel Pentium Pro,52x,P6,1995  1998,[empty],150 MHz  200 MHz,Socket 8,350 nm  500 nm,292 W  47 W,1,60 MHz  66 MHz,16 KiB,256 KiB  512 KiB  1024 KiB,N/A,[empty]
Intel Pentium II,52x,Klamath  Deschutes  Tonga  Dixon,1997  1999,[empty],233 MHz  450 MHz,Slot 1  MMC1  MMC2  MiniCartridge,250 nm  350 nm,168 W  382 W,1,66 MHz  100 MHz,32KiB,256 KiB  512 KiB,N/A,[empty]
Intel Pentium III,52x  53x,Katmai  Coppermine  Tualatin,1999  2003,[empty],450 MHz  14 GHz,Slot 1  Socket 370,130 nm  180 nm  250 nm,17 W  345 W,1,100 MHz  133 MHz,32 KiB,256 KiB  512 KiB,N/A,[empty]
Intel Xeon,n3xxx  n5xxx  n7xxx,Allendale  Cascades  Clovertown  Conroe  Cranford  Dempsey  Drake  Dunnington  Foster  Gainestown  Gallatin  Harpertown  Irwindale  Kentsfield  Nocona  Paxville  Potomac  Prestonia  Sossaman  Tanner  Tigerton  Tulsa  Wolfdale  Woodcrest,1998€“present,[empty],400 MHz  44 GHz,Slot 2  Socket 603  Socket 604  Socket J  Socket T  Socket B  LGA 1150  LGA 1155  LGA 1156  LGA 1366  LGA 2011,45 nm  65 nm  90 nm  130 nm  180 nm  250 nm,16 W  165 W,Up to 28 Cores,100 MHz  133 MHz  400 MHz  533 MHz  667 MHz  800 MHz  1066 MHz  1333 MHz  1600 MHz  48 GT/s  586 GT/s  64 GT/s,8 KiB ~ 64 KiB per core,256 KiB  12 MiB,4 MiB  16 MiB,[empty]
Pentium 4,5xx  6xx,Cedar Mill  Northwood  Prescott  Willamette,2000  2008,[empty],13 GHz  38 GHz,Socket 423  Socket 478  LGA 775  Socket T,65 nm  90 nm  130 nm  180 nm,21 W  115 W,1 /w hyperthreading,400 MHz  533 MHz  800 MHz  1066 MHz,8 KiB  16 KiB,256 KiB  2 MiB,2 MiB,[empty]
Pentium 4,5xx  6xx,Gallatin  Prescott 2M,2000  2008,[empty],32 GHz  373 GHz,Socket 478  Socket T,90 nm  130 nm,92 W  115 W,1 /w hyperthreading,800 MHz  1066 MHz,8 KiB,512 KiB  1 MiB,0 KiB  2 MiB,[empty]
Pentium M,7xx,Banias  Dothan,2003  2008,[empty],800 MHz  2266 GHz,Socket 479,90 nm  130 nm,55 W  27 W,1,400 MHz  533 MHz,32 KiB,1 MiB  2 MiB,N/A,[empty]
Pentium D/EE,8xx  9xx,Smithfield  Presler,2005  2008,[empty],266 GHz  373 GHz,Socket T,65 nm  90 nm,95 W  130 W,2,533 MHz  800 MHz  1066 MHz,16 KiB per core,2Ã—1 MiB  2Ã—2 MiB,N/A,[empty]
Intel Pentium DualCore,E2xxx  E3xxx  E5xxx  T2xxx  T3xxx,Allendale  Penryn  Wolfdale  Yonah,2006  2009,[empty],16 GHz  293 GHz,Socket 775  Socket M  Socket P  Socket T,45 nm  65 nm,10 W  65 W,2,533 MHz  667 MHz  800 MHz  1066 MHz,64 KiB per core,1 MiB  2 MiB,N/A,[empty]
Intel Pentium (2009),E2xx0  E5xxx  E6xxx  T2xxx  T3xx  T4xxx  SU2xxx  SU4xxx  G69xx  P6xxx  U5xxx  G6xx  G8xx  B9xx  G2xxx  2xxx  G3xxx  3xxx  J2xx0  J3xxx  N3xxx  G4xx0  4xxx,Penryn  Wolfdale  Clarkdale  Sandy Bridge  Ivy Bridge  Haswell  Bay TrailD  Braswell  Skylake,2009€“present,[empty],12 GHz  333 GHz,Socket 775  Socket P  Socket T  LGA 1156  LGA 1155  LGA 1150  LGA 1151,14 nm  22 nm  32 nm  45 nm  65 nm,29 W  73 W,1 or 2,800 MHz  1066 MHz  25GT/s  5 GT/s,64 KiB per core,2x256 KiB  2 MiB,0 KiB  3 MiB,[empty]
Intel Core,Txxxx  Lxxxx  Uxxxx,Yonah,2006  2008,[empty],106 GHz  233 GHz,Socket M,65 nm,55 W  49 W,1 or 2,533 MHz  667 MHz,64 KiB per core,2 MiB,N/A,[empty]
Intel Core 2,Uxxxx  Lxxxx  Exxxx  Txxxx  P7xxx  Xxxxx  Qxxxx  QXxxxx,Allendale  Conroe  Merom  Penryn  Kentsfield  Wolfdale  Yorkfield,2006  2011,intel core quad,106 GHz  333 GHz,Socket 775  Socket M  Socket P  Socket J  Socket T,45 nm  65 nm,55 W  150 W,1  2 or 4,533 MHz  667 MHz  800 MHz  1066 MHz  1333 MHz  1600 MHz,64 KiB per core,1 MiB  12 MiB,N/A,[empty]
Intel Core i3,i3xxx  i32xxx  i33xxx  i34xxx  i361xx  i363xx,Arrandale  Clarkdale  Sandy Bridge  Ivy Bridge  Haswell  Skylake  Kaby Lake  Coffee Lake,2010€“present,[empty],12 GHz  37 GHz,LGA 1156  LGA 1155  LGA 1150  LGA 1151,14 nm  22 nm  32 nm,35 W  73 W,2 /w hyperthreading,1066 MHz  1600 MHz  25  5 GT/s,64 KiB per core,256 KiB,3 MiB  4 MiB,[empty]
Intel Core i5,i57xx  i56xx  i52xxx  i53xxx  i54xxx  i564xx  i565xx  i566xx  i574xx  i575xx  i576xx  i584xx  i585xx  i586xx,Arrandale  Clarkdale  Clarksfield  Lynnfield  Sandy Bridge  Ivy Bridge  Haswell  Broadwell  Skylake  Kaby Lake  Coffee Lake,2009€“present,[empty],106 GHz  42 GHz,LGA 1156  LGA 1155  LGA 1150  LGA 1151,14 nm  22 nm  32 nm  45 nm,17 W  95 W,2 /w hyperthreading  4,25  5 GT/s,64 KiB per core,256 KiB,4 MiB  8 MiB,[empty]
Intel Core i7,i76xx  i77xx  i78xx  i79xx  i72xxx  i737xx  i738xx  i747xx  i748xx  i758xx  i759xx  i767xx  i768xx  i769xx  i77700K,Bloomfield  Nehalem  Clarksfield  Clarksfield XM  Lynnfield  Sandy Bridge  Sandy BridgeE  Ivy Bridge  Ivy BridgeE  Haswell  Haswell Refresh  Devil€˜s Canyon  Broadwell  Skylake  Kaby Lake  Coffee Lake,2008€“present,[empty],16 GHz  44 GHz,LGA 1156  LGA 1155  LGA 1366  LGA 2011  LGA 1150  LGA 1151,14 nm  22 nm  32 nm  45 nm,45 W  130 W,4  4 /w hyperthreading  8,48 GT/s  64 GT/s,64 KiB per core,4Ã—256 KiB,6 MiB  10 MiB,[empty]
Intel Core i7 (Extreme Edition),i7970  i7980  i7980x  i7990x  i739xx  i749xx  i75820K  i759xx  i76800K  i76850K  i76900K  i76950X  (i57640X)  i77740X  i77820X,Gulftown  Sandy BridgeE  Ivy BridgeE  HaswellE  BroadwellE  Skylake  Kaby Lake,2011€“present,[empty],30 GHz  50 GHz,LGA 1366  LGA 2011  LGA 2011v3  LGA 2066,14 nm  22 nm  32 nm,130 W  150 W,4  6  8 or 10 (with hyperthreading),25GT/s  64 GT/s,64 KiB per core,6x256 KiB,12 MiB  20 MiB,Yes
Intel Core i9,i99900K  i99900  i99900T  i99880H  i99980HK  8950HK,Coffee Lake,2018€“present,[empty],30 Ghz  50 Ghz,LGA 1151,14 nm,45 W  95 W,6  8,8 GT/s,512 KiB,2 MiB,16 MiB,Some
Intel Core i9 (Extreme Edition),i97900X  i97920X  i97940X  i97960X  i97980XE  i99900T,Kaby Lake Cascade Lake,Q3 2017€“present,[empty],290 GHz 430 GHz,LGA 2066,14 nm,35 W  165 W,818 (with hyperthreading),8 GT/s,64 KiB per core,1 MiB per core,1375MiB2475MiB,Yes
Processor,Series Nomenclature,Code Name,Production Date,Supported Features (Instruction Set),Clock Rate,Socket,Fabri cation,TDP,Number of Cores,Bus Speed,L1 Cache,L2 Cache,L3 Cache,Overclock Capable
