[empty],Creator,Latest release date,Current stable version,Programming language,License
bbPress<ref></ref>,WordPress Foundation,2019-09-04,5.2.3,PHP<ref name=":2"></ref>,GPL<ref></ref>
Beehive Forum<ref></ref>,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
Discourse<ref></ref>,Civilized Discourse Construction Kit  Inc.,2019-02-08,2.2.1,Ruby  JavaScript,GPL
Discuz!<ref></ref>,Comsenz Inc.,2018-01-01,X3.4,PHP,Discuz! EULA (proprietary  gratis for non-commercial use)
FluxBB<ref></ref>,FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
FUDforum<ref></ref>,Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
Ikonboard<ref></ref>,Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
Invision Power Board<ref></ref>,Invision Power Services Inc.,2019-06-12,4.4.4,PHP,Proprietary
MyBB<ref></ref>,MyBB Group,2019-06-10,1.8.21,PHP,LGPL  moving to BSD in 2.0<ref></ref>
Phorum<ref> Open Source PHP Forum Software|url = http://www.phorum.org/|website = www.phorum.org|accessdate = 2015-11-24}}</ref>,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
phpBB<ref></ref>,phpBB Ltd.,2019-05-05,3.2.8,PHP,GPL
PunBB<ref></ref>,PunBB,2015-10-14,1.4.4,PHP,GPL
Simple Machines Forum<ref></ref>,Simple Machines,2017-11-19<ref name="simplemachines.org"></ref>,2.0.15<ref name="simplemachines.org"/>,PHP,BSD License
Syndie<ref></ref>,Anonymous (related to I2P),2014-08-14,1.107b,Java,Open source  multiple licenses
Thredded<ref name="thredded"></ref>,Joel Oliveira  Gleb Mazovetskiy  et al.,2019-08-17,0.16.13,Ruby,MIT
Vanilla Forums<ref></ref>,Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary/GPL<ref></ref>
vBulletin<ref></ref>,vBulletin Solutions Inc.,2019-05-14,5.5.2,PHP<ref></ref>,Proprietary<ref></ref>
XenForo,XenForo Limited  Kier Darby  Mike Sullivan.,2019-03-12,2.1.1,PHP<ref></ref>,Proprietary
[empty],Creator,Latest release date,Current stable version,Programming language,License
[empty],Flat,Threaded,User selectable themes,Unread message tracking,WYSIWYG Editor,Export  portability,Email / NNTP interface,Languages,SSO
bbPress,<ref name=forummatrix></ref>,[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref><ref></ref>,<ref></ref>,[empty]
Beehive Forum,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/> (using TinyMCE),<ref></ref>,[empty],[empty],[empty]
Discourse,[empty],<ref></ref>,<ref></ref>,[empty],[empty],<ref></ref>,<ref></ref>,<ref></ref><ref></ref>,</ref>  Custom<ref></ref>}}
Discuz!,[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[added]
FluxBB,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,[empty],[empty],<ref></ref>,[empty]
FUDforum,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref>For admins: http://fudforum.org/forum/index.php?t=msg&th=120851</ref>,<ref>Native NNTP gateway: http://fudforum.org/forum/index.php?t=msg&th=120406&goto=167140&#msg_167140</ref>,<ref></ref>,[added]
Invision Power Board,<ref name=forummatrix/>,[empty],<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,[empty],<ref>Only 3 languages updated in one year. https://invisionpower.com/files/category/107-language-packs/?sortby=file_name&filter=file_free&sortby=file_updated&sortdirection=desc&page=1 </ref>,[empty],<ref></ref>
MyBB<ref name=":1"></ref>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref></ref>,<ref></ref><ref></ref>,<ref></ref>,[empty]
Phorum,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref></ref>,[empty],<ref></ref>,[empty]
phpBB<ref name=phpbbfeatures></ref>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref></ref>,<ref></ref><ref></ref>,<ref></ref>,(LDAP  OAuth)<ref></ref>
PunBB<ref name=":0"></ref>,<ref name=forummatrix/>,[empty],<ref name=forummatrix/>,<ref name=forummatrix/>,[empty],[empty],[empty],<ref></ref><ref></ref>,[empty]
Simple Machines Forum,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref>PM: http://custom.simplemachines.org/mods/index.php?action=search;basic_search=export</ref>,<ref></ref>,<ref></ref>,[empty]
Thredded,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>,<ref name=thredded/>
Vanilla Forums,<ref name=forummatrix/>,[empty],<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref>Attachments: http://vanillaforums.org/addon/myattachments-plugin</ref><ref>Admin-only: http://vanillaforums.org/addon/porter-core</ref>,[empty],<ref> 2 languages 100 % translated.</ref>,<ref></ref>
vBulletin<ref name=vbfeatures></ref>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref></ref><ref>vB 4: https://www.vbulletin.org/forum/showpost.php?p=2489379&postcount=1069</ref>,[empty],<ref></ref>,[empty]
XenForo,<ref name=forummatrix/>,[empty],<ref name=forummatrix/>,<ref name=forummatrix/>,<ref name=forummatrix/>,<ref>https://xenforo.com/xf2-docs/manual/importing/</ref>,[empty],<ref>https://xenforo.com/community/resources/categories/xenforo-translations.14/ Available translations for latest version.</ref>,<ref>https://xenforo.com/xf2-docs/manual/connected-accounts/ OAuth SSO provided by Connected accounts feature.</ref>
[empty],MySQL,PostgreSQL,MSSQL,Oracle,SQLite,Firebird,Flat file
bbPress<ref name=":2" />,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Beehive Forum,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Discourse,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Discuz!,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FluxBB,[empty],[empty],[empty],[empty],</ref>}},[empty],[empty]
FUDforum,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Iko,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ikonboard,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Invision Power Board,[empty],[empty],</ref>}},[empty],[empty],[empty],[empty]
kusaba,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MyBB<ref name=":1" />,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Phorum,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
phpBB<ref name="phpbbfeatures" />,[empty],</ref><ref></ref>}},[empty],[empty],[empty],[empty],[empty]
PunBB<ref name=":0" />,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Simple Machines Forum,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Syndie,(HSQLDB),[empty],[empty],[empty],[empty],[empty],[empty]
Thredded<ref name=thredded/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Vanilla Forums,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
vBulletin<ref name="vbfeatures" />,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XenForo,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
