Framework,Version compared,Size,License,Source language
Angular,7 nowrap|18 Oct 2018,nowrap|563 kB (minified & compressed),free|MIT,TypeScript
AngularJS,150 nowrap|5 Feb 2016,nowrap|144 kB (minified & compressed),free|MIT,JavaScript
QCObjects [1],21x nowrap|13 Dec 2019,nowrap|79 kB (not minified & not compressed),free|LGPLv3,JavaScript
Apache Royale,094 nowrap|5 Nov 2018,nowrap|19 kB (zipped),free|Apache,ActionScript 3  MXML  CSS
Backbonejs,121 nowrap|June 2015,nowrap|73 kB (Packed and gzipped),free|MIT,JavaScript
Dojo,1104 nowrap|18 Jan 2015,Variable Base size nowrap|41 kB (minified & gzipped)  nowrap|155 kB (minified)  nowrap|598 kB (uncompressed)[2],free|BSD & AFL,JavaScript  HTML
Emberjs,170 nowrap|19 Aug 2014,nowrap|95 kB (minified & gzipped)  nowrap|340 kB (minified)  nowrap|15 MB (uncompressed),free|MIT,JavaScript
Enyo,201 nowrap|30 Aug 2012,nowrap|<25 kB (core gzipped),free|Apache 2 [3],JavaScript
Expressjs,[empty],[empty],[empty],[empty]
Ext JS,42 nowrap|13 Mar 2013,nowrap|84€“502 kB,GPL & Commercial [4],JavaScript
Google Web Toolkit,270 nowrap|November 2014,Variable,free|Apache,Java
jQuery (library),340 nowrap|10 Apr 2019,nowrap|301 KiB (minified & gzipped)  nowrap|86 KiB (minified) [5] nowrap|283 KiB (uncompressed)[5],free|MIT,JavaScript
jQWidgets,391 nowrap|29 Oct 2015,nowrap|3102 KB (minified)  nowrap|7486 KB (uncompressed),Creative Commons AttributionNonCommercial 30 and Commercial[6],JavaScript  HTML  CSS
Knockout,350 nowrap|22 February 2019,664 KB minified / 309 KB (development mode),free|MIT,JavaScript
MooTools,160 nowrap|14 Jan 2016,Variable; nowrap|73€“65 KiB nowrap|(YUI Compressor) [7] Variable; nowrap|73€“65 KiB nowrap|(YUI Compressor) [8] nowrap|101 KiB (uncompressed)[9],free|MIT,JavaScript
Nodejs,[empty],[empty],[empty],[empty]
React (JavaScript library),1611 November 28  2017,reactproductionminjs 641KB reactdomproductionminjs 924KB Total 9881KB,free|MIT,JavaScript
SAP OpenUI5,1449 nowrap|28 Mar 2017,208MB (1347 runtime  minified  zipped) 68MB(1347 runtime mobile  minified  zipped) 521MB (1347 SDK  zipped),free|Apache 2[10],JavaScript
Prototype & script aculous[11],Prototype 173 nowrap|22 Sep 2015 scriptaculous 190 nowrap|23 Dec 2010,nowrap|46€“278 kB,free|MIT,JavaScript
qooxdoo,501 nowrap|15 Sep 2015,Variable  starting at nowrap|6 kB (gzipped),free|LGPL & EPL,JavaScript
SmartClient & SmartGWT,SmartClient 111 nowrap|June 2017 SmartGWT 61 nowrap|June 2017,nowrap|100€“500 kb (gzipped),LGPL & Commercial,Server Java Client Java (Smart GWT) or Javascript (SmartClient) or XML (both)
SproutCore,1112 nowrap| 2 May 2016,nowrap|250€“700 kb (gzipped),free|MIT,JavaScript
Svelte,3121 nowrap| 14 Oct 2019,Variable,free|MIT,JavaScript
Vuejs,2610 nowrap|20 Mar 2019 ,335 KB (minified & gzipped) 9148 KB (minified) [12] 33346 KB (uncompressed) [12],free|MIT,JavaScript
Wakanda,9 nowrap|14 Nov 2014,Variable,GPL3 (framework)  AGPL (server) & Commercial,JavaScript  HTML  CSS
Webix,41 nowrap|November 2016,188 kB (gzipped),GPL & Commercial,JavaScript
ZK,801 nowrap|19 Jan 2016,Variable,LGPL & GPL & ZOL,XML  Java (JavaScript optional)
Yuneta,30,Variable,GPL,Javascript  C
