Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,date|2006|iso,310[2],dunno,date|20190613|iso,Proprietary|X,LEAF Project,security  lightweight  general,Free|Gratis,site active
ALT Linux,ALT Linux Team,ALT Linux Team  ALT Linux LLC,date|2001|iso,82[3],dunno,date|20130710|iso,Proprietary|X,Mandrake Linux,general  school,Free|Gratis,site active
antiX,Anticapitalista,Anticapitalista,date|2007|iso,1741[4],dunno,date|20170824|iso,Proprietary|X,Debian  MEPIS,old computers,Partial|Some editions are gratis,site active
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,dunno,Proprietary|X,Arch Linux (UKM Edition),general,Free|Gratis,site active
Arch Linux,Judd Vinet,dev team,date|2002|iso,Rolling,Rolling,Rolling,Proprietary|X,Independent  inspired from CRUX,general,Free|Gratis,site active
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,date|2002|iso,140k,dunno,date|20110504|iso,Free|100% Free GNU FSDG,Fedora,desktop,Free|Gratis,site inactive
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,date|2011|iso,500[5],dunno,date|20180822|iso,Proprietary|X,Debian  Ubuntu,desktop  lightweight,Free|Gratis,site active
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,date|2007|iso,60[6],dunno,date|20180319|iso,Proprietary|X,Debian  Ubuntu,Government of Venezuela,Free|Gratis,site active
CentOS,CentOS Project,CentOS Project,date|2003|iso,801905,10 years[7],date|20191016|iso,Proprietary|X,Red Hat Enterprise Linux (RHEL),server  workstation,Free|Gratis,site active
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,date|2010|iso,Rolling,Rolling,dunno,Proprietary|X,Arch Linux[8],desktop,Free|Gratis,site active
Chrome OS,Sundar Pichai,Google,2009,7503770129[9],65 years[10],20190709,Proprietary|X,Chromium OS,web applications,Free|Gratis,site active
ClearOS,Peter Baldwin,ClearFoundation,date|2000|iso,760[11],dunno,date|20190509|iso,Proprietary|X,RHEL  CentOS,server  gateway  network,Partial|Some editions are gratis,site active
CrunchBang Linux,Philip Newborough,Philip Newborough,date|2008|iso,11[12],dunno,date|20130506|iso,Proprietary|X,Debian,desktop,Free|Gratis,site inactive
Damn Small Linux,John Andrews,dev team,date|2003|iso,4410[13],dunno,date|20081118|iso,Proprietary|X,Debian  Knoppix,lightweight  portable,Free|Gratis,site active
Debian,Ian Murdock,Debian Project,date|1993|iso,102[14],~3 years[15],date|20191116|iso,Free|Debian Social Contract and DFSG (main is 100% free  nonfree packages are optional)[16],Softlanding Linux System (SLS)[17],general  server  desktop,Free|Gratis,site active
Debian Edu,[empty],Debian Project,date|2004|iso,90edu0[18],~3 years[15],date|20170618|iso,Partial|Debian Social Contract and DFSG,Debian,schools,Free|Gratis,site active
Devuan,The "Veteran Unix Admins" (VUA),The "Veteran Unix Admins" (VUA),date|2016|iso,200[19],dunno,date|20180916|iso,Proprietary|X [20],Debian,general,Free|Gratis,site active
Deepin,Wuhan Deepin Technology Co  Ltd,Wuhan Deepin Technology Co  Ltd,date|2004|iso,15102[21],dunno,date|20190705|iso,dunno,Debian(current)  Ubuntu  Morphix(formerly),general,Free|Gratis,site active
Dragora GNU/LinuxLibre,Matias A Fonzo,Matias A Fonzo,date|2009|iso,30alpha2[22],dunno,date|20180928|iso,Free|100% Free GNU FSDG,Independent  inspired from Slackware,general,Free|Gratis,site active
dynebolic,Jaromil,Jaromilx,date|2005|iso,300,dunno,date|20110908|iso,Free|100% Free GNU FSDG,Debian,multimedia,Free|Gratis,site inactive
Elementary OS,Daniel ForÃ©,elementary LLC,date|2011|iso,50[23],dunno,date|20181016|iso,Proprietary|X,Ubuntu  Debian,general,Free|Gratis,site active
ELinOS,SYSGO,SYSGO,date|1999|iso,62[24],dunno,date|20171001|iso,Proprietary|X,€“,embedded systems,partial,site active
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,date|2009|iso,31,Endoflife,date|20130615|iso,Proprietary|X,Debian,embedded systems,Free|Gratis,site inactive
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,date|2019|iso,Rolling,Rolling,20190715,Proprietary|X,Arch Linux,general,Free|Gratis,site active
Fedora,Fedora Project,Fedora Project,date|2003|iso,31[25],1 year,date|20191029|iso,Partial|Fedora Licensing Guidelines[26],Red Hat Linux,general,Free|Gratis,site active
Freespire,Lindowscom  Inc,PC/OpenSystems LLC,date|2001|iso,48[27],dunno,date|20181220|iso,Proprietary|X,Ubuntu,desktop,Free|Gratis,site active
Gentoo Linux,Daniel Robbins,Gentoo Foundation  Inc,date|2002|iso,Rolling,Rolling,Rolling,Partial|Gentoo Social Contract,Enoch Linux,general,Free|Gratis,site active
Guix,Ludovic CourtÃ¨s,Ludovic CourtÃ¨s  Ricardo Wurmus  the Guix community,date|2012|iso,101[28],Rolling,date|20190502|iso,Free|100% Free GNU FSDG,€“,general,Free|Gratis,site active
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,date|2006|iso,40 (Ucclia)[29],dunno,date|20160502|iso,Free|100% Free GNU FSDG,Debian,general  server,Free|Gratis,site active
gnuLinEx,Regional Government of Extremadura,dev team,date|2002|iso,LinEx 2013,dunno,date|20130211|iso,Proprietary|X,Debian,desktop,Free|Gratis,site inactive
Grml,Michael Prokop,The Grml Team,date|2005|iso,201812[30],dunno,date|20181231|iso,Proprietary|X,Debian,live  maintenance  security  network  forensic  accessibility,Free|Gratis,site active
Hyperbola GNU/Linuxlibre,Hyperbola Founders,Hyperbola Founders,date|2017|iso,03[31],3 years (stable)  5 years (old stable)[32],date|20190923|iso,free|100% Free GNU FSDG followed in Hyperbola Social Contract,Arch Linux,general,free|Gratis,site active
Instant WebKiosk,Marco Buratto,Binary Emotions,date|2012|iso,160[33],dunno,date|20170405|iso,Proprietary|X,Debian,web kiosks  digital signage  personal web navigation,free|Gratis,site active
Kali Linux,Max Moser  Mati Aharoni  Martin J Muench,Offensive Security,date|2013|iso,20192[34],dunno,date|20190521|iso,Proprietary|X,Debian,auditing  forensic  security  network,Free|Gratis,site active
Knoppix,Klaus Knopper,dev team,date|2000|iso,86[35],dunno,date|20190808|iso,Proprietary|X,Debian,live,Free|Gratis,site active
Kodibuntu,The XBMC Project,Team Kodi,date|2008|iso,dunno,dunno,dunno,Proprietary|X,Debian  Ubuntu,multimedia,Free|Gratis,site inactive
Korora,Chris Smart,Dev Team,date|2005|iso,26[36],dunno,date|20170916|iso,Proprietary|X,Fedora,desktop,Free|Gratis,site inactive
LibreCMC,LibreCMC team,LibreCMC team,date|2010|iso,148[37],dunno,date|20190630|iso,Free|100% Free GNU FSDG,Merged from LibreWRT,embedded systems,Free|Gratis,site active
Linspire,Linspire  Inc,Linspire  Inc,Date|2001|iso,70 SP1[38],dunno,date|20180408|iso,Proprietary|X,Ubuntu,dunno,no|Commercial[39],site active
Linux Mint,Clement Lefebvre,dev team,date|2006|iso,193[40],~3 years (LMDE); 5 years (main editions),date|20190802|iso,Proprietary|X,Debian(LMDE)  Ubuntu (LTS versions),desktop,Free|Gratis,site active
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,44[41],dunno,20181101,Proprietary|X,Ubuntu,desktop,Free|Gratis,site active
Mageia,Mageia Community,mageiaorg,date|2010|iso,71[42],1 year,date|20190701|iso,Proprietary|X,Mandriva Linux,general,Free|Gratis,site active
Mandriva Linux,Mandrakesoft SA,Mandriva SA,date|1998|iso,2011,dunno,date| 20110828|iso,Proprietary|X,Red Hat Linux,general,Partial|Some editions are gratis,site inactive
Manjaro Linux,Roland Singer,dev team,date|2012|iso[43],Rolling,Rolling,Rolling,Proprietary|X,Arch Linux,general,Free|Gratis,site active
MEPIS,Warren Woodford,MEPIS LLC,date|2003|iso,11990,dunno,dunno,Proprietary|X,Debian,desktop  server,Free|Gratis,site inactive
Musix GNULinux,Musix team,Musix team,date|2008|iso,301,dunno,date|20140313|iso,Free|100% Free GNU FSDG,Debian,multimedia,Free|Gratis,site active
Netrunner,Blue Systems,dev team,date|2009|iso,201808[44],as per Debian Testing or Manjaro (rolling),date|20180311|iso,Proprietary|X,Debian  Manjaro/Arch,desktop,Free|Gratis,site active
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,date|2003|iso,1903,05 years,date|20190502|iso,Proprietary|X,€“,general  server  desktop,Free|Gratis,site active
Novell Open Enterprise Server,Novell,Novell  Inc dev team,date|2003|iso,OES 2018 SP1,dunno,dunno,Proprietary|X,SUSE Linux Enterprise Server,server,no|Commercial[45],site active
OpenELEC,Stephan Raue  OpenELEC Team,OpenELEC Team,date|2011|iso,804,dunno,date|20170604|iso,Proprietary|X,Kodi,multimedia,Free|Gratis,site active
openSUSE,SUSE Linux  Novell,openSUSE Project,date|2006|iso,Leap 151[46],3 years[47],date|20190522|iso,Proprietary|X,€“,general  desktop,Free|Gratis,site active
OpenWrt,dunno,OpenWrt team,date|2007|iso,18064[48],dunno,date|20190701|iso,Proprietary|X,€“,embedded systems,Free|Gratis,site active
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,date|2013|iso,40,dunno,date|20190512|iso,Free|100% Free GNU FSDG,Mandriva Linux,general,Free|Gratis,site active
Oracle Linux,Oracle Corporation,Oracle Corporation,date|2006|iso,76[49],dunno,date|20181107|iso,Proprietary|X,Red Hat Enterprise Linux (RHEL),server,Free|Gratis,site active
Parabola GNU/Linuxlibre,Parabola Hackers,Parabola Hackers,date|2009|iso,Rolling[50],Rolling,date|20170528|iso,Free|100% Free GNU FSDG followed in Parabola Social Contract,Arch Linux,general,Free|Gratis,site active
Pardus,Scientific and Technological Research Council of Turkey (TÃœB°TAK),TÃœB°TAK,date|2005|iso,175[51],dunno,date|2018113|iso,Proprietary|X,Gentoo (20112) Debian,general,Free|Gratis,site active
Parsix,Alan Baghumian,Parsix Project,date|2005|iso,815,dunno,date|20170125|iso,Proprietary|X,Debian,desktop,Free|Gratis,site inactive
PCLinuxOS,Bill Reynolds,dev team,date|2003|iso,201906[52],Semirolling,date|20190616|iso,Proprietary|X,Mandriva Linux,desktop,Free|Gratis,Active
Pop! OS,Carl Ritchell,System76,date|2017|iso,1910,dunno,date|20191019|iso,Proprietary|X,Ubuntu,desktop  server  laptop,Free|Gratis,Active
Pentoo,Michael Zanetta  Rick Farina  Jens Pranaitis,Pentoo,date|2005|iso,20191,dunno,date|20190117|iso,Proprietary|X,Gentoo Linux,auditing  security,free|Gratis,site active
Porteus,Fanthom,Porteus,date|2010|iso,40[53],dunno,date|20180429|iso,Proprietary|X,Slackware,lightweight  portable,free|Gratis,site active
Puppy Linux,Barry Kauler,Puppy Foundation,date|2003|iso,80[54],dunno,date|20190411|iso,Proprietary|X,Independent  inspired from Vector linux,lightweight  portable,Free|Gratis,site active
Qubes OS,Joanna Rutkowska,Invisible Things Lab,date|2012|iso,401[55],dunno,date|20190109|iso,Proprietary|X,Xen and Fedora,security by compartmentalization  desktop,Free|Gratis,site active
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,date|2002|iso,80,10 years[56],date|20190507|iso,Proprietary|X,Red Hat Linux  Fedora,server  workstation,no|Commercial[57][58],site active
Red Hat Linux,Red Hat,Red Hat,date|1995|iso,9,dunno,20030331,Proprietary|X,€“,server  workstation,Free|Gratis,site inactive
ROSA,dunno,LLC NTC IT ROSA,date|2011|iso,R11[59],dunno,20190315,Proprietary|X,Mandriva,server  general,Free|Gratis,site active
