Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,yes[210],Unknown,yes|PaX,no|Discontinued in 380,Unknown
BLAG,Unknown,Unknown,Unknown,Unknown,Unknown
Debian/Ubuntu,yes,Yes|SELinux  AppArmor,Yes|PaX optional,Optional,Optional
Dragora GNU/LinuxLibre,Unknown,Unknown,Unknown,Unknown,Unknown
dynebolic,Unknown,Unknown,Unknown,Unknown,Unknown
Fedora,Yes,Yes|SELinux[211],Yes|Exec Shield[212],No,No
Gentoo,Optional,Optional|SELinux  AppArmor,Yes|PaX optional,Optional,Optional
gNewSense,Unknown,Yes|SELinux  AppArmorEfn|Based on Debian,Unknown,Unknown,Unknown
Guix System Distribution,Unknown,Unknown,Unknown,Unknown,Unknown
LibreCMC,Unknown,Unknown,Unknown,Unknown,Unknown
Mandriva,Unknown,Yes|AppArmor,Unknown,Unknown,Yes
Musix GNULinux,Unknown,Unknown,Unknown,Unknown,Unknown
Parabola GNU/Linuxlibre,Unknown,optional|Optional[213],Unknown,optional|Optional[213],Unknown
Slackware,Unknown,Yes|AppArmor  tomoyo,Unknown,Unknown,optional
SUSE Linux,Yes,Yes|AppArmor[214],Yes|Hardware NX and other methods in mainline kernel and toolchain[215],No,No
Solus,Yes,Yes|AppArmor,Unknown,No,Unknown
Torramdisk,Unknown,Unknown,Yes|PaX,Yes,No
Trisquel,Unknown,Yes|SELinux  AppArmorEfn|Based on Ubuntu,Unknown,Unknown,Unknown
Ututo,Unknown,Unknown,Unknown,Unknown,Unknown
