Model,Processor,Memory,FSB,Storage,RPM,Graphics,VRAM,Display resolution,MSRP
Mac Mini<ref name="ministore"></ref>,1.4 GHz dual-core Intel Core i5,4 GB,5 GT/s,500 GB HDD,5400,Intel HD Graphics 5000,1.5 GB shared,[empty],$499 (USD) / $599 (CAD) / £479 (GBP) / €549 (EUR) / $779 (AUD)
iMac 21.5 inch<ref name="imacstore"></ref>,1.6 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,Intel HD Graphics 6000,1.5 GB shared,1920 � 1080,$1099 (USD) / $1399 (CAD) / £1049 (GBP) / €1249 (EUR) / $1699 (AUD)
iMac 21.5 inch with 4K Retina Display<ref name="imacstore" />,3.1 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,Intel Iris Pro Graphics 6200,1.5 GB shared,4096 � 2304,$1499 (USD) / $1899 (CAD) / £1449 (GBP) / €1699 (EUR) / $2299 (AUD)
iMac 27 inch with 5K Retina Display<ref name="imacstore" />,3.2 GHz quad-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,AMD Radeon R9 M380,2 GB,5120 � 2880,$1799 (USD) / $2299 (CAD) / £1749 (GBP) / €2099 (EUR) / $2799 (AUD)
Mac Pro Quad-Core<ref name="macprostore"></ref>,3.7 GHz Quad-core Xeon E5,16 GB,5 GT/s,256 GB PCIe-based flash storage,[empty],Dual AMD FirePro D300,2 GB each,[empty],$2999 (USD) / $3499 (CAD) / £2999 (GBP) / €3399 (EUR) / $4899 (AUD)
Mac Pro 6-Core<ref name="macprostore" />,3.5 GHz 6-core Xeon E5,16 GB,5 GT/s,256 GB PCIe-based flash storage,[empty],Dual AMD FirePro D500,3 GB each,[empty],$3999 (USD) / $4699 (CAD) / £3899 (GBP) / €4599 (EUR) / $6499 (AUD)
Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD&nbsp;card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR&nbsp;receiver
Mac mini<ref name="ministore"/>,[empty],[empty],[empty],[empty],HDMI and Thunderbolt 2,[empty],[empty],[empty],[empty]
iMac 21.5 in<ref name="imacstore"/>,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
iMac 21.5 in Retina Display<ref name="imacstore"/>,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
iMac 27 in<ref name="imacstore"/>,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
Mac Pro Quad-Core<ref name="macprostore"/>,[empty],[empty],[empty],[empty],HDMI and Thunderbolt 2,[empty],[empty],[empty],[empty]
Mac Pro 6-Core<ref name="macprostore"/>,[empty],[empty],[empty],[empty],HDMI and Thunderbolt 2,[empty],[empty],[empty],[empty]
MacBook Air<ref name="macbookair" />,[empty],[empty],[empty],[empty],Thunderbolt 2,[empty],[empty],[empty],[empty]
MacBook Pro 13 in 2.0 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
MacBook Pro 13 in 2.9 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
MacBook Pro 15 in 2.6 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
MacBook Pro 15 in 2.7 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],Thunderbolt 3,[empty],[empty],[empty],[empty]
MacBook Pro 13 in 2.7 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],HDMI and Thunderbolt 2,[empty],[empty],[empty],[empty]
MacBook Pro 15 in 2.2 GHz<ref name="macbookpro" />,[empty],[empty],[empty],[empty],HDMI and Thunderbolt 2,[empty],[empty],[empty],[empty]
Model,Memory slots,Memory Max,User-replaceable HDD/SSD?,HDD/SSD bays,Expansion slots
Mac Mini<ref name="ministore"/>,[empty],16 GB,[empty],1,[empty]
iMac<ref name="imacstore"/>,None (21.5")  4 (27"),16 GB (21.5")  64 GB (27"),[empty],1,[empty]
Mac Pro<ref name="macprostore"/>,4,64 GB,[empty],1,[empty]
MacBook Air<ref name="macbookair" />,[empty],8 GB,[empty],1,[empty]
MacBook,[empty],16 GB,[empty],[empty],[empty]
MacBook Pro (2017)<ref name="macbookpro" />,[empty],16 GB,[empty],[empty],[empty]
MacBook Pro (2015)<ref name="macbookpro" />,[empty],16 GB,[empty],1,[empty]
