File format,Office Open XML,OpenDocument
Based on a format developed by,Microsoft,StarDivision / Sun Microsystems
Predecessor file format,Microsoft Office XML formats,OpenOfficeorg XML
Standardized by,Ecma International  ISO/IEC,OASIS  ISO/IEC
First public release date,2006,2005
First stable version,Ecma International Standard ECMA376 Office Open XML File Formats 1st edition,OASIS OpenDocument Format for Office Applications (OpenDocument) v10
Latest stable version,ISO/IEC IS 2950012012€”Office Open XML File Formats[1],OASIS Open Document Format for Office Applications (OpenDocument) v12
Latest ISO/IEC standardised version,ISO/IEC IS 2950012012€”Office Open XML File Formats[1],ISO/IEC IS 263002006€”Open Document Format for Office Applications (OpenDocument) v10
Language type,Markup language (XML),Markup language (XML)
XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 197572),RELAX NG (ISO/IEC 197572)
Expression of extensibility rules,NVDL (ISO/IEC 197574),[empty]
Compression format,ZIP,ZIP
Container structure,Open Packaging Convention (ISO/IEC 2950022012)[2],ODF Package[3]
Metadata format,Dublin Core (ISO 15836),subset of Dublin Core and €œurnoasisnamestcopendocumentxmlnsmeta€? elements
Drawing language,DrawingML  VML,€œurnoasisnamestcopendocumentxmlnsdrawing€? elements and €œurnoasisnamestcopendocumentxmlnssvgcompatible€? elements
Mathematical notation language,Office MathML (OMML),MathML[4][5]
Changetracking,yes|supported[6],yes|supported[7]
Conditional formatting in spreadsheets,yes|supported[8],yes|supported[9]
Spreadsheet formula language,yes|part of the standardCitation needed|date=May 2010,yes|based on OpenFormula
Macro language,no|applicationdefined,no|applicationdefined
Digital signatures,yes|part of the standardCitation needed|date=May 2010,yes|supported
Thumbnails,JPEG (ISO/IEC 10918),PNG (ISO/IEC 15948)
Interchange of digital font information,Open Font Format (ISO/IEC 1449622),[empty]
PANOSE font specifications,yes|part of the standard[10],[empty]
Filename extensions,docx  docm  xlsx  xlsm  pptx  pptm,odt  ods  odp  odg  odf
Internet media types,application/vndopenxmlformatsofficedocumentwordprocessingmldocument application/vndmsworddocumentmacroEnabled12 application/vndopenxmlformatsofficedocumentspreadsheetmlsheet application/vndmsexcelsheetmacroEnabled12 application/vndopenxmlformatsofficedocumentpresentationmlpresentation application/vndmspowerpointpresentationmacroEnabled12,application/vndoasisopendocumenttext application/vndoasisopendocumentspreadsheet application/vndoasisopendocumentpresentation application/vndoasisopendocumentgraphics application/vndoasisopendocumentformula
Application support,Office Open XML software,OpenDocument software
Standard licensing,ISO/IEC copyrighted free download[11] Ecma copyrighted free download / copying allowed,ISO/IEC copyrighted free download[11] OASIS copyrighted free download / copying allowed
Additional technology patent licensing,Reasonable and Non Discriminatory Licensing (RANDZ) Microsoft Open Specification Promise (OSP)[12] Microsoft Covenant Not to Sue (CNS)[13],Sun Microsystems intellectual property covenant IBM Interoperability Specifications Pledge[14]
Implementations covered by patent license,yes|Patent license covers conforming implementations[12],yes|Patent license covers fully compliant implementations[14]
Implemented,yes|Microsoft Office 2013 (and later)[15][16][17][18] and LibreOffice (for Microsoft Office 2007 Office Open XML),yes|Many including LibreOffice  OpenOfficeorg  KOffice  AbiWord  Lotus Notes and Microsoft Office (since 2007 SP2)
File format,Office Open XML,OpenDocument
