File format,OpenXPS,PDF
Based on a format developed by,Microsoft,Adobe Systems
Standardized by,Ecma International[2],ISO
First public release date,2006[3],1993[4]
Latest stable version,Ecma International Standard ECMA388 €” Open XML Paper Specification €” 1st Edition,ISO 3200012008 €” Document management €” Portable document format €” Part 1 PDF 17
Latest standardised version,Ecma International Standard ECMA388 €” Open XML Paper Specification €” 1st Edition,ISO 3200012008 €” Document management €” Portable document format €” Part 1 PDF 17
Language type,Markup language (XML)[5][6],PDF is a database of objects that may be created from PostScript or generated directly by an application
XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 197572)[7],N/A
Compression format,ZIP[5][6][8],LZW for both text and images; JPEG  JPEG 2000  and RLE for images only[9]
Container structure,Open Packaging Conventions (ISO/IEC 2950022008)[5][6],[empty]
3D graphic content,X3D (ISO/IEC 19775/19776)[10],U3D (Standard ECMA363)[11][12]
[added],[added],[added]
Full file content compression,yes[13],partial|Compression of collections of objects[14]
Fast page by page download from web servers,yes[13],yes[13]
Multiple documents in one file,yes[13],yes[15]
Document bookmarks and outline,yes[13][16],yes[13][17]
Reflowable,no[18],With Tagged PDF[19]
Hyperlinks,yes[13][20][21],yes[13][17]
Page thumbnails,yes[13][20],yes[13][22]
Annotations,yes[20],yes[13][17]
Image transparencies,yes[13],yes[13]
Gradient fills,yes[13][21],yes[13]
Alpha channel in color definitions,yes[13],yes[13]
Support for multiple transparency blending modes,dunno,yes[14]
Change tracking,no[13],no[13]
Password protection,yes[13],yes[13][17]
Digital signatures,yes[6][8][13][20],yes[17][23]
JPEG (RGB and CMYK) (ISO/IEC 109181),yes[8][13],yes[23]
JPEG 2000 (ISO/IEC 154441),no[13],yes[23]
JBIG2 for bilevel images,no[13],yes[14]
PNG,yes[13],yes[13]
TIFF (RGB and CMYK),yes[13],no[13]
HD Photo / JPEG XR (ISO/IEC 2919922009),yes[5],no[13]
Gray support,yes[13],yes[13]
RGB support,yes[13],yes[13]
CMYK support,yes[13],yes[13]
Spot color support,yes[13],yes[13]
Filename extensions,oxps[10],pdf[24]
Internet media types,application/oxps[10],application/pdf
Standard licensing,Ecma copyrighted free download,ISO copyrighted free download
File format,OpenXPS,PDF
