Spanish,Portuguese,English
cola (< Lat. ),fila; bicha; cauda; rabo; linha (< Fr. file; < Lat. ; < Lat. ; < Lat. ; < Lat. ),queue  file  tail
vaso (< Lat. ),copo (< Lat. ),glass  cup
copo (< Lat. ),floco (< Lat. ),flake
competencia (< Lat. ),concorrência  competição (< Lat. ),competition
despido (< Lat. ),demissão (< Lat. ),dismissal  firing
oso (< Lat. ),urso (< Lat. ),bear
pez (< Lat. ),peixe (< Lat. < Indo-European ),fish
polvo (< Lat. ),pó (< Lat. ),dust
tienda (< Lat. ),loja; negócio; butique; estabelecimento; depósito (< Fr. loge < Frankish ; < Lat. ; < Fr. boutique < Lat. ; < Lat. ; < Lat. ),shop  business  depot
ganancia (< Gothic ),ganho  lucro  interesse  rendimento  proveito  vencimento  acréscimo (< Frankish ; < Lat. ; < Lat. ; < Lat. + ; < Lat. ; < Lat. ; < Lat. + suffix -imo),profit  gain  interest
inversión (< Lat. ),investimento (< Lat. ),investment
embarazada (< Port. embaraçada),grávida (< Lat. + ),pregnant
estafa (< Ital. staffa),calote  fraude  burla (< Fr. culotte; < Lat.; < probably Lat. ),swindle  fraud  trickery
exquisito (< Lat. ),refinado; esmerado (< Lat. ; < Lat. ),exquisite
molestia (< Lat. ),incómodo  inconveniência  maçada (< Lat. ; < Lat. ; < Lat. + Port. -ada),inconvenience  disturbance
servicios (< Lat. ),lavabo  lavatório  toilette  toalete  WC  sanitário (< Lat. ; < Lat. ; < Fr. toilette; < Eng. water closet; < Lat. ),toilet  WC  lavatory
perro (probably < onomatopoeic perr),cão (< Lat. )  cachorro (< Lat. + Basque -orro),dog
berro (< Celt. ),agrião (< Gr. ),watercress
aceite (< Ar. az-zayt),óleo (< Lat. ),oil
oficina (< Lat. < < + ),escritório  gabinete  atelier  agência  cartório  bureau/birô  departamento  workshop  oficina de reparação automóvel  garagem auto mecânica (< Lat. ; < Fr. cabinet; < Fr. atelier; < Ital. agenzia; < Lat. + suffix ; < Fr. atelier; < Lat. ; < Lat. + Gr ; < Eng. workshop; < Fr. garage + Gr. α�?το + Lat. ),office  workshop
firma (< Lat. ),assinatura (< Lat. ),signature
presunto (< Lat. ),presum�vel  suspeito  provável (< Lat. ; < Lat. ; < Lat. ),presumed  suspect
risco (< Lat. ),falésia (< Fr. falaise),cliff
topo (< Lat. ),toupeira (< Lat. + Port. -eira),mole  moleskin
Portuguese,Spanish,English
[added],[added],[added]
cola (< Lat. ),pegamento  cola (< Lat.   < Lat. ),glue
vaso (< Lat. ),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. ),vase  flowerpot
floco (< Lat. ),copo (< Lat. ),flake
competência (< Lat. ),aptitud  capacidad (< Lat. ),competence  competency
despido (< Lat. ),desnudo (< Lat. + ),naked
osso (< Lat. ),hueso (< Lat. ),bone
pez (< Lat. ),brea (< Fr. brayer),pitch  resin
polvo (< Gr. ),pulpo (< Gr. ),octopus
tenda (< Lat. ),tienda  lona  toldo (< Lat. ; < Fr. Olonne; < Fr. taud < Old Germ. tialz),tent  marquee
ganância (< Gothic ),codicia  avaricia  afán (< Lat. ; < Lat. ; probably < Lat. ),greed  avarice  covetousness
inversão (< Lat. ),inversión (< Lat. ),inversion
embaraçada (< Lat. + O.Port. baraça  of uncertain origin),avergonzada (< Lat. ),embarrassed
estafa (< Ital. staffa),agotamiento  fatiga  extenuación (< Lat.; < Lat.; < Lat. ),exhaustion  tiredness  wear out
esquisito (< Lat. ),raro  extraño  peculiar (< Lat. ; < Lat. ; < Lat. ),odd  strange  peculiar
moléstia (< Lat. ),enfermedad  achaque  plaga  peste (< Lat. ; < Ar. šak�?; < Lat. ; < Lat. ),disease  plague
serviço (< Lat. ),servicio (< Lat. ),service
perro (origin uncertain  maybe < Sp. perro),oxidado (< Greek + Lat. suffix ),rusty
berro (< Lat. ),chillido  berrido (< Lat. ; < Lat. ),screech  shriek
aceite (< Lat. ),aceptado (< Lat. ),accepted
oficina (< Lat. < ),taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. ; < Old Fr. astelier + Lat. + Gr. α�?το),auto repair centre  repair garage  workshop
firma (< Lat. ),empresa; compañ�a; sociedad  negocio (< Lat. ),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat. ),jamón (< Fr. jambon),ham  prosciutto
risco (< Lat. ),riesgo (< Arabic rizq<ref></ref> or maybe Italian rischio}}),risk  line
topo (< Gr. ),cumbre (< Lat. or ),top
Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat.,álibi < Lat.,[added]
store  shop,tienda < Late Lat. (< ),loja < Fr.,[added]
knee,rodilla < Lat. ('little wheel'),joelho < Lat.,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. e,Lar < Lat.,[added]
street,calle < Lat.,rua < Lat.,[added]
(legal) prosecutor,fiscal < Lat.,procurador < Lat.,[added]
highway  road,carretera < carreta + ?era < carro < Lat. < Gaulish carros,estrada < Lat.,[added]
retailer,minorista < Lat.,retalhista < Late Lat.,Brazilian Port. uses varejista
sales,rebajas < Lat. prefix 're' +,saldos  liquidação < Ita.   Lat.,[added]
grocer,abarrotero Uncertain < Lat. or < Pre-Roman,merceeiro < Lat.,[added]
organic food,comida orgánica < Lat. + Greek,alimentação biológica  Bio < Lat. + Greek,Brazilian Port. tends to use orgânica.
leather,piel < Lat.,couro  coiro < Lat.,Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'.
fight  brawl,pelea < Lat.,briga < Ita. or Occitan,[added]
riff-raff  mob,chusma < Genoese ciüsma < Gr.,canalha < Occitan,Brazilian Port. tends to use ralé  gentalha
police station,comisar�a (de polic�a) < Lat. + Gr.,esquadra  posto de pol�cia < Lat. + Gr.,Brazilian Port. tends to use delegacia (de pol�cia)
litter  rubbish,basura < Lat.,lixo < Lat.,[added]
hole,agujero < Lat. + suffix,buraco < Proto-Germanic </ref>}},[added]
drill,taladro < Lat.,berbequim < Fr. < Dutch,Brazilian Por. uses furadeira
demolition hammer,rompedor < Lat.,martelo demolidor < Lat.,[added]
sauce,salsa < Lat.,molho < Lat.,[added]
plane,cepilladora < Lat.,plaina < Lat.,[added]
camshaft  camshaft tree,árbol de levas < Lat.,árvore de cames < Lat. + Germanic,[added]
gills,branquias < Lat. < Gr.,guelras < Proto-Germanic,In zoology  Port. also uses brânquias (branchiae).
goose,oca < Lat.,ganso < Gothic/Suebian,Spanish also has ganso.
chicken,pollo < Lat.,frango < Probably Fr. francolin < Ita. francolino  all of,[added]
lamp,lámpara < Lat.,'candeeiro'' < Lat.,Portuguese lâmpada usually means 'light bulb' (except in certain idioms  like lâmpada de Aladino  i.e.  'Aladdin's lamp')
meal,comida < Lat.,refeição  repasto (arch.) < Lat.,Portuguese 'comida' means food
owl,búho < Lat.,coruja (*maybe from Lat. cunicularis) of,[added]
kennel,perrera < uncertain origin  perhaps Pre-Roman.,canil < Lat.,[added]
cattery,criadero < Lat.,gatil < Proto-Ger.,[added]
ground,suelo < Lat.,chão < Lat.,Port. also has solo.
office,despacho < Lat.,gabinete  escritório < Occitan  Lat.,[added]
ground floor,planta baja < Lat.,rés-do-chão  rés-de-chão< Lat.,Brazilian Port. tends to use térreo
buoy,flotador < Fr. + Sp. suffix,boia < Old Fr. bouée < Frankish,[added]
nappy  diaper (baby),pañal < Lat.,fralda < Gothic,[added]
performance,representación < Lat.,performance < Eng 'performance' < Anglo-French,[added]
preemptive,preventivo < Lat.,preemptivo < Eng 'preemptive' < Lat,[added]
report,informe < Lat.,relatório < Lat. relatus + ório suffix <,[added]
highlight,realce < Lat. + prefix,destaque < Germanic,[added]
prison,cárcel < Lat.,prisão< Lat.,Span. also has prisión and Port. archaic cárcere.
squirrel,ardilla < Pre-Roman or probably Berber,esquilo Lat. scūr��?lus < Gr.,[added]
garret  mansard,''zaquizam� <ref>http://dle.rae.es/srv/search?m=30&w=zaquizam%C3%AD</ref> buhardilla < Hisp-Ar.   < Lat.,água-furtada  mansarda < Lat.   < Fr.,[added]
watercress,berro < Celtic,agrião < Gr.,[added]
mint,menta < Lat. mentha < Gr.,hortelã < Lat.,Port. also has menta.
sour cherry,cereza gordal < Lat.,ginja < Frankish,[added]
stepchild,hijastro(a) < Lat.,enteado(a) < Lat.,[added]
step-brother,hermanastro(a) < Lat. + suffix,meio-irmã(o) < Lat.,[added]
stump  amputated limb,muñón < Pre-Roman/Basque,coto < Celtic-Goidelic,[added]
baby changing (area),cambiador (infantil) < Lat + dor,fraldário < Gothic + arius,[added]
blade,hoja < Lat.,lâmina < Lat.,[added]
butcher(s)(shop),carniceria < Lat.,talho < Lat.,Brazilian Port. uses açougue
shoe polish,betún < Lat.,graxa < Lat.,[added]
shaving,afeitar < Lat.,barbear < Lat.,[added]
pocket knife,navaja < Lat.,canivete < Old Fr. </ref> }},Portuguese 'navalha' means razor.
