Portuguese,Spanish,English
cola (< Lat sm|coloere),pegamento  cola (< Lat sm|pix  < Lat sm|coloere),glue
vaso (< Lat sm|vasum),maceta  tiesto (< HispAr maceta  maybe < Ital mazzetto; < Lat sm|testu),vase  flowerpot
floco (< Lat sm|floccus),copo (< Lat sm|cuppa),flake
competÃªncia (< Lat sm|competentia),aptitud  capacidad (< Lat sm|aptitÅ«do; capact?tis),competence  competency
despido (< Lat sm|expedire),desnudo (< Lat sm|ex  sm|nudus),naked
osso (< Lat sm|ossum),hueso (< Lat sm|ossum),bone
pez (< Lat sm|pix),brea (< Fr brayer),pitch  resin
polvo (< Gr sm|€¿»?€¿…‚),pulpo (< Gr sm|€¿»?€¿…‚),octopus
tenda (< Lat sm|tenda < tend•re),tienda  lona  toldo (< Lat sm|tenda < tend•re; < Fr Olonne; < Fr taud < Old Germ tialz),tent  marquee
ganÃ¢ncia (< Gothic sm|ganan),codicia  avaricia  afÃ¡n (< Lat sm|cupiditia; < Lat sm|avaritia; probably < Lat sm|afannae),greed  avarice  covetousness
inversÃ£o (< Lat sm|inversionis),inversiÃ³n (< Lat sm|inversionis),inversion
embaraÃ§ada (< Lat sm|in  OPort baraÃ§a  of uncertain origin),avergonzada (< Lat sm|verecundia),embarrassed
estafa (< Ital staffa),agotamiento  fatiga  extenuaciÃ³n (< Latsm|gutta; < Latsm|fatig?re; < Lat sm|extenu?re),exhaustion  tiredness  wear out
esquisito (< Lat sm|exquisitus),raro  extraÃ±o  peculiar (< Lat sm|rarus; < Lat sm|extr?neus; < Lat sm|peculi?ris),odd  strange  peculiar
molÃ©stia (< Lat sm|molestiae),enfermedad  achaque  plaga  peste (< Lat sm|infirmitas; < Ar Å¡ak?; < Lat sm|plaga; < Lat sm|pestis ),disease  plague
serviÃ§o (< Lat sm|servitium),servicio (< Lat sm|servitium),service
perro (origin uncertain  maybe < Sp perro),oxidado (< Greek sm|oxis  Lat suffix sm|tatus),rusty
berro (< Lat sm|barrire),chillido  berrido (< Lat sm|cisclare; < Lat sm|barrire),screech  shriek
aceite (< Lat sm|accept?re),aceptado (< Lat sm|accept?re),accepted
oficina (< Lat sm|offic«na < sm|officium),taller; taller de coches; taller mecÃ¡nico de autos (< Old Fr astelier; < Old Fr estalier  Lat sm|cocca; < Old Fr astelier  Lat sm|mechanicus  Gr ±½?„¿),auto repair centre  repair garage  workshop
firma (< Lat sm|firmus),empresa; compaÃ±Ãa; sociedad  negocio (< Lat sm|prenhendere; companio; societas; nec otium),business  firm  company  corporation  enterprise  venture  establishment  group  house
presunto (< Lat sm|persuctus),jamÃ³n (< Fr jambon),ham  prosciutto
risco (< Lat sm|reseca),riesgo (< Arabic rizq[5] or maybe Italian rischio),risk  line
topo (< Gr sm|tÃ³pos),cumbre (< Lat sm|columen or sm|culmen),top
