Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat sm|coarctare,Ã¡libi < Lat sm|alibi,[empty]
store  shop,tienda < Late Lat sm|tendam (< sm|tendere),loja < Fr sm|loge < Frankish laubja,[empty]
knee,rodilla < Lat sm|rotellam ('little wheel'),joelho < Lat sm|genuculum,The learned word rÃ³tula ('kneecap' in both Sp and Port) is from the same root as Spanish rodilla Sp de hinojos 'kneeling' is from the same source as Port joelho
home,hogar < Lat esm|focus,Lar < Lat sm|Lar,[added]
street,calle < Lat sm|callem,rua < Lat sm|[viam] rÅ«gam,[empty]
(legal) prosecutor,fiscal < Lat sm|fiscalis,procurador < Lat sm|procurator,[added]
highway  road,carretera < carreta  ?era < carro < Lat sm|carrus < Gaulish carros,estrada < Lat sm|strata,[empty]
retailer,minorista < Lat sm|minor  ista,retalhista < Late Lat sm|taliare  ista,Brazilian Port uses varejista
sales,rebajas < Lat prefix 're'  sm|bassus,saldos  liquidaÃ§Ã£o < Ita sm|saldo < soldo  Lat sm|liquidus,[empty]
grocer,abarrotero Uncertain < Lat or < PreRoman sm|barra,merceeiro < Lat sm|merx  suffix eiro,[empty]
organic food,comida orgÃ¡nica < Lat  Greek sm|comederorgancum < Ã³rganon ,alimentaÃ§Ã£o biolÃ³gica  Bio < Lat  Greek sm|alere  ²¯¿‚»¿³¯±,Brazilian Port tends to use orgÃ¢nica
leather,piel < Lat sm|pellis,couro  coiro < Lat sm|cÅ?rum,Spanish also has cuero Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'
fight  brawl,pelea < Lat sm|pilus,briga < Ita or Occitan sm|briga,[empty]
riffraff  mob,chusma < Genoese ciÃ¼sma < Gr sm|º»µ…ƒ¼±,canalha < Occitan sm|canalha,Brazilian Port tends to use ralÃ©  gentalha
police station,comisarÃa (de policÃa) < Lat  Gr sm|comissarius  politia < €¿»¹„µ¯± ,esquadra  posto de polÃcia < Lat  Gr sm|exquadrata  positus  politia < €¿»¹„µ¯±,Brazilian Port tends to use delegacia (de polÃcia)
litter  rubbish,basura < Lat sm|versÅ«ra,lixo < Lat sm|l«x < l«cis,[empty]
hole,agujero < Lat  suffix sm|acucÅla  ero,buraco < ProtoGermanic sm|burÅ?  burÅ?n…[9],[empty]
drill,taladro < Lat sm|taratrum,berbequim < Fr sm|vilebrequin < Dutch sm|wimmelkijn,Brazilian Por uses furadeira
demolition hammer,rompedor < Lat sm|rumpere  dor,martelo demolidor < Lat sm|martulus demolitio  dor,[empty]
sauce,salsa < Lat sm|salsus,molho < Lat sm|manuculus < manipulus,[empty]
plane,cepilladora < Lat sm|cippus  dora,plaina < Lat sm|planea,[empty]
camshaft  camshaft tree,Ã¡rbol de levas < Lat sm|arbÅ?s  levare,Ã¡rvore de cames < Lat  Germanic sm|arbÅ?s  kamm,[empty]
gills,branquias < Lat < Gr sm|brancha < ²?±³‡¹±,guelras < ProtoGermanic sm|gelunaz,In zoology  Port also uses brÃ¢nquias (branchiae)
goose,oca < Lat sm|auca,ganso < Gothic/Suebian sm|gans,Spanish also has ganso
chicken,pollo < Lat sm|pullus,frango < Probably Fr francolin < Ita francolino  all of sm|uncertain origin|,[empty]
lamp,lÃ¡mpara < Lat sm|lampƒda,'candeeiro < Lat sm|candelae,Portuguese lÃ¢mpada usually means 'light bulb' (except in certain idioms  like lÃ¢mpada de Aladino  ie  'Aladdin's lamp')
meal,comida < Lat sm|comedere,refeiÃ§Ã£o  repasto (arch) < Lat sm|refectionis  repastus|,Portuguese 'comida' means food
owl,bÃºho < Lat sm|bubo,coruja (*maybe from Lat cunicularis) of sm|uncertain origin|,[empty]
kennel,perrera < uncertain origin  perhaps PreRoman sm|perro  era,canil < Lat sm|canis  il|,[empty]
cattery,criadero < Lat sm|cre?re  era,gatil < ProtoGer sm|kattuz  il|,[empty]
ground,suelo < Lat sm|solum,chÃ£o < Lat sm|planus,Port also has solo
office,despacho < Lat sm|dispactus,gabinete  escritÃ³rio < Occitan  Lat sm|cabana  scriptÅ?rium,[empty]
ground floor,planta baja < Lat sm|planta  bassus,rÃ©sdochÃ£o  rÃ©sdechÃ£o< Lat sm|r?sus  planus,Brazilian Port tends to use tÃ©rreo
buoy,flotador < Fr  Sp suffix sm|flotter  dor,boia < Old Fr bouÃ©e < Frankish sm|baukan,[empty]
nappy  diaper (baby),paÃ±al < Lat sm|pannus,fralda < Gothic sm|falthan/faldan,[empty]
performance,representaciÃ³n < Lat sm|representatio,performance < Eng 'performance' < AngloFrench sm|performer < parfornir,[empty]
preemptive,preventivo < Lat sm|praeventus,preemptivo < Eng 'preemptive' < Lat sm|praeemptio,[empty]
report,informe < Lat sm|informis,relatÃ³rio < Lat relatus  Ã³rio suffix < sm|refferre,[empty]
highlight,realce < Lat  prefix sm|re  altiare,destaque < Germanic sm|stak,[empty]
prison,cÃ¡rcel < Lat sm|carcer,prisÃ£o< Lat sm|prehensionis,Span also has prisiÃ³n and Port archaic cÃ¡rcere
squirrel,ardilla < PreRoman sm|harda or probably Berber sm|a¡Ã¡rda,esquilo Lat scÅ«rÅ?lus < Gr sm|ƒº¯¿…?¿‚,[empty]
garret  mansard,zaquizamÃ [10] buhardilla < HispAr sm| Ø³‚? ?Š Ø§„Ø³…Ø§Ø¡ (saqf fassam?)  < Lat sm|bufus < buharda,Ã¡guafurtada  mansarda < Lat sm|aquam  furtus  < Fr sm|mansarde < FranÃ§ois Mansart (architect),[empty]
watercress,berro < Celtic sm|bº¹rÅro,agriÃ£o < Gr sm|¬³?¹¿‚,[empty]
mint,menta < Lat mentha < Gr sm|¼¯½¸·,hortelÃ£ < Lat sm|hortus,Port also has menta
sour cherry,cereza gordal < Lat sm|cerasium  gurdus ,ginja < Frankish sm|w«hsina,[empty]
stepchild,hijastro(a) < Lat sm|filiaster,enteado(a) < Lat sm|ante  natum,[empty]
stepbrother,hermanastro(a) < Lat  suffix sm|germanus  astro,meioirmÃ£(o) < Lat sm|medius  germ?nus,[empty]
stump  amputated limb,muÃ±Ã³n < PreRoman/Basque sm|muno,coto < CelticGoidelic sm|cotach < cuid ,[empty]
baby changing (area),cambiador (infantil) < Lat  dor sm|cambium,fraldÃ¡rio < Gothic  arius sm|faldan,[empty]
blade,hoja < Lat sm|folium,lÃ¢mina < Lat sm|lammna,[empty]
butcher(s)(shop),carniceria < Lat sm|carniceus,talho < Lat sm|taleare,Brazilian Port uses aÃ§ougue
shoe polish,betÃºn < Lat sm|bitÅ«men,graxa < Lat sm|crassus,[empty]
shaving,afeitar < Lat sm|affect?re,barbear < Lat sm|barba  ear,[empty]
pocket knife,navaja < Lat sm|novacÅla,canivete < Old Fr sm|canivet < Frankish 'knif'[11] ,Portuguese 'navalha' means razor
diving,buceo < Port sm|bÃºzio < Lat bucna,mergulho < Lat sm|merguli?re,[empty]
bait,cebo < Lat sm|cibus,isca < Lat sm|escae,[empty]
skirt,falda < Germanic sm|faldan,saia < Lat sagum < Celtic sm|sagos  sag,[empty]
glasses,gafas < Uncertain  maybe Arabic sm|qafca[12],Ã³culos < Lat sm|oculus,[empty]
stiffness (muscular),agujetas < Lat sm|acus  suffix eta,dor muscular < Lat sm|dolor  mus culus,[empty]
operating theatre,quirÃ³fano < Gr sm|‡µ¯?  †±¯½‰,sala de operaÃ§Ãµes  sala de cirurgia  bloco operatÃ³rio < Ger  Lat sm|sal  operatio  < Ger  Gr sm|sal  ‡µ¹?¿…?³¹º®  < Ger  Lat sm|bluk(k)an  operatio,[empty]
stem cell research,investigaciÃ³n con cÃ©lulas madre < Lat sm|vestigium  cum  cellula  mater,pesquisa de cÃ©lulas estaminais < Lat sm|perquirere  de  cellula  staminis,Brazilian Por uses pesquisa de cÃ©lulas tronco
stream  creek,arroyuelo < PreRoman sm|arrugia,ribeira  ribeiro < Lat sm| riparius < ripae,[empty]
stubborn,terco or testarudo < Lat sm|testa  rudis,teimoso < Lat sm|thema  < Gr sm|thÃ©ma,[empty]
plateau,meseta < Lat sm|mensa  Sp suffix eta,planalto < Lat sm| planus  altus,[empty]
wave,ola < Uncertain origin sm|,vaga < Gothic sm|vega[13] or < Old Norse sm|vÃ¡gr [14] both from Ancient Germanic 'vigan' to shake,Both in Brazilian Por and European Por onda is used
broom,aulaga < Ar sm|algawlÃ¡qa,vassoura  giesta  carqueja < Lat sm|verrere  < Lat sm|genista  < Maybe Lat sm|quercus,[empty]
pants  knickers,bragas < Lat braca < Celtic sm|bracae,cuecas < Lat sm|culus  suffix 'ecas',[empty]
(bed) sheet,sÃ¡bana < Lat sm|sabƒna,lenÃ§ol < Lat sm|linteolum,[empty]
basketball,baloncesto < Frankish sm|balla  Lat sm|cista,basquetebol < Eng sm|basketball,[empty]
reporter,periodista  periodicista < sm|periÃ³dico suffix 'ista',repÃ³rter < Eng sm|reporter < Medieval Fr reporteur,Spanish also has reportero
ricochet,rebote < Frankish  Lat prefix sm|boter,ricochete < Fr sm|ricochet,[empty]
riffraff  mob,chusma < Genoese ciÃ¼sma < Gr sm|º»µ…ƒ¼±,canalha < Occitan sm|canalha,[empty]
cashew,anacardo < Lat sm|anacardium,caju < Tupi sm|aka'yu,[empty]
mushroom,seta < Uncertain origin or hongo'",cogumelo < Lat sm|cucumellum < cucuma,[empty]
oleander,adelfa < Ar sm|Ø¯?„‰ diflÃ ,aloendro  loendro < Lat sm|lorandrum,[empty]
pumpkin,calabaza < PreRoman,abÃ³bora < Lat sm|peporis,Port cabaÃ§a means 'calabash
squid,calamar < Lat sm|calamarius,lula < Lat sm|lura,Port also has calamar
date,fecha < Lat sm|facta,data < Lat sm|data,[empty]
elsewhere  somewhere  nowhere,en otro lugar < Lat sm|in alter localis  en alguna parte < Lat sm|in aliquis unos pars  en ningÃºn lugar < Lat sm|in nec unus localis,alhures < ProvenÃ§al sm|alhors  algures < Lat  ProvenÃ§al sm|aliquod  hors  nenhures < Lat  ProvenÃ§al sm| nec  hors,[empty]
nobody,nadie < Lat sm|nati < natus,ninguÃ©m < Lat sm|nec  quem,[empty]
lawn,cÃ©sped < Lat caespes,relvado  grama < Lat relevare  < Lat gramen,[empty]
holiday  vacation,vacaciones < Lat vacatio < vacationis,FÃ©rias < Lat feriae,[empty]
card,tarjeta < Fr targe  diminutive suffix eta,cartÃ£o  carta < Gr ‡¬?„·‚ < Lat charta,[empty]
beef steak,filete < Lat filum,bife < Eng beef steak,Port also has filÃ©
retaliation,retorsiÃ³n < Lat retorsus,retaliaÃ§Ã£o < Lat retalio,[empty]
remorse,arrepentimiento < Lat sm|re  paenitere,remorso(s) < Lat sm|remorsus < remordere,Sp also has remordimiento and Port also has arrependimento
boot (car),maletero < Old Fr  Sp suffix malle  eta  ero,portabagagens < Lat  Germanic portare  baugaz,Brazilian Port tends to use portamalas or bagageira
