Name,Version,Date
BProlog,81,20140223
JIProlog,4161,20180317
Ciao,1180,20181219
DOSPROLOG,60,[empty]
ECLiPSe,70,20180122
GNU Prolog,145,20180714
Jekejeke Prolog,131,20181102
JLog,136,20070913
JScriptLog,075 beta,20070910
jTrolog,[empty],[empty]
LPAPROLOG,60,[empty]
Open Prolog,[empty],[empty]
Poplog Prolog,V1565,20151014
SICStus Prolog,451,20190403
Strawberry Prolog,30 Beta 4,20131210
SWIProlog,803,20190619
tuProlog,321,20170214
Visual Prolog,90  Build 902,20190426
XSB Prolog,38,20171029
YAProlog,633,20130121
