English,Irish,Scottish Gaelic,Notes
in,lang|ga|i  in,lang|gd|(ann) an,In Classical Irish the forms were "i"  "a"  "in"  "an" Äì "i/in" when the following sound was slender  and "a/an" when the following sound was broad In both Irish and Scottish  in the spoken language  the four forms of "i"  "a"  "in"  "an" still exist
minister,lang|ga|ministir  minist√©ir,lang|gd|ministear,In Irish  lang|ga|aire for a government minister
Bible,lang|ga|B√obla,lang|gd|B√¨oball,[empty]
Germany,lang|ga|An Ghearm√°in,lang|gd|A' Ghearmailt,[empty]
America,lang|ga|Meirice√°  Meirice,lang|gd|Ameireaga,[empty]
England,lang|ga|Sasana,lang|gd|Sasainn,[empty]
London,lang|ga|Londain,lang|gd|Lunnain,[empty]
road,lang|ga|b√≥thar/r√≥d,lang|gd|rathad,[empty]
cold (sickness),lang|ga|slaghd√°n,lang|gd|cnatan,Meaning illness
talking,lang|ga|ag caint,lang|gd|a' bruidhinn,lang|ga|Bru√on (formerly lang|ga|bruighean) in Irish means "fighting"  "quarrelling" lang|gd|Cainnt in Scottish Gaelic is used as a noun only  meaning "speech " except in Arran where it is also a verb[9]
